Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 48 | Construction Law (jpg:48,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(5|49)
1.000000,2.0,(6|0)
1.000000,2.0,(17|13)
0.9123377,1.0,(29|20)
0.9065217,1.0,(28|20)
0.8773748,1.0,(29|19)
0.8737864,2.0,(12|8)
0.8507463,3.0,(16|12)
0.8191490,4.0,(16|13)
0.7868853,4.0,(15|11)
0.7800000,2.0,(13|10)
0.7536232,3.0,(16|10)
0.7535461,3.0,(16|11)
0.7500000,4.0,(14|12)
0.6850829,2.0,(13|9)
0.6666667,2.0,(12|13)
0.6650000,4.0,(15|9)
0.6592179,4.0,(8|45)
0.6592179,4.0,(9|45)
0.6569768,3.0,(15|13)
0.6510067,4.0,(15|10)
0.6453901,3.0,(14|9)
0.6307693,2.0,(13|8)
0.6267281,3.0,(30|20)
0.6174242,4.0,(15|12)
0.5783972,2.0,(16|9)
0.5714286,2.0,(13|14)
0.5600000,1.0,(29|21)
0.5567010,2.0,(12|9)
0.5384616,1.0,(28|19)
0.5324675,3.0,(14|10)
0.5056180,4.0,(13|13)
0.5000000,1.0,(28|21)
0.4973262,1.0,(14|8)
0.4852071,2.0,(17|12)
0.4461538,2.0,(13|11)
0.4000000,4.0,(16|2)
0.3750000,3.0,(16|8)
0.3698630,4.0,(11|12)
0.3486238,3.0,(14|13)
0.3304348,2.0,(15|8)
0.3170732,2.0,(15|3)
0.3157895,1.0,(14|7)
0.3116883,3.0,(17|3)
0.2834646,3.0,(18|3)
0.2830189,2.0,(13|12)
0.2727273,3.0,(17|14)
0.2685185,4.0,(7|45)
0.2463768,2.0,(12|10)
0.2316384,2.0,(16|3)
0.2295082,4.0,(12|14)
0.2000000,2.0,(12|16)
0.2000000,2.0,(18|8)
0.1770833,3.0,(18|1)
0.1766562,1.0,(11|9)
0.1744186,4.0,(14|49)
0.1739130,1.0,(20|4)
0.1739130,1.0,(20|5)
0.1690141,3.0,(11|17)
0.1627907,3.0,(11|47)
0.1627907,3.0,(12|48)
0.1515152,2.0,(17|6)
0.1395349,2.0,(5|42)
0.1395349,2.0,(6|43)
0.1379310,2.0,(16|1)
0.1333333,1.0,(12|7)
0.1333333,1.0,(12|12)
0.1333333,1.0,(18|5)
0.1333333,1.0,(19|6)
0.1308411,3.0,(18|2)
0.1304348,3.0,(5|35)
0.1250000,2.0,(21|6)
0.1153846,2.0,(16|7)
0.1153846,2.0,(17|9)
0.1086956,2.0,(14|48)
0.1046512,1.0,(19|4)
0.1000000,1.0,(1|20)
0.1000000,2.0,(17|2)
0.09826589,1.0,(16|4)
0.09523810,2.0,(13|2)
0.09302326,1.0,(18|6)
0.09210526,2.0,(10|28)
0.08823530,3.0,(13|1)
0.08695652,4.0,(14|11)
0.08108108,1.0,(19|5)
0.07947020,1.0,(10|12)
0.07894737,3.0,(9|48)
0.07692308,2.0,(7|37)
0.07692308,1.0,(20|29)
0.07258064,4.0,(11|18)
0.06666667,1.0,(4|24)
0.06666667,3.0,(11|13)
0.06349207,2.0,(11|29)
0.06250000,1.0,(8|22)
0.06250000,1.0,(9|36)
0.06250000,2.0,(26|12)
0.05860806,4.0,(6|36)
0.05607476,2.0,(25|4)
0.05555556,3.0,(2|14)
0.05376344,2.0,(17|1)
0.05128205,3.0,(3|8)
0.05128205,3.0,(21|5)
0.05084746,1.0,(6|48)
0.05072464,4.0,(15|1)
0.05047319,4.0,(18|7)
0.04854369,3.0,(21|12)
0.04787234,2.0,(8|47)
0.04666667,3.0,(19|9)
0.04651163,1.0,(48|11)
0.04621849,3.0,(10|11)
0.04597701,3.0,(9|43)
0.04562738,3.0,(20|6)
0.04545455,2.0,(5|37)
0.04545455,3.0,(6|37)
0.04405286,2.0,(7|0)
0.04405286,2.0,(7|1)
