Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 61 | Loan Doc (jpg:61,idx:42)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(43|18)
0.9900990,2.0,(26|22)
0.9858804,2.0,(26|23)
0.9323671,5.0,(25|23)
0.9090909,2.0,(24|24)
0.8864865,4.0,(14|35)
0.8699610,3.0,(17|32)
0.8649426,4.0,(16|33)
0.8649123,3.0,(15|34)
0.8556701,5.0,(15|31)
0.8554745,3.0,(16|34)
0.8388430,5.0,(13|39)
0.8290698,4.0,(16|32)
0.8205128,2.0,(25|24)
0.8080808,5.0,(12|35)
0.8000000,3.0,(16|31)
0.7971014,4.0,(27|23)
0.7820513,5.0,(14|34)
0.7807018,4.0,(14|33)
0.7800000,4.0,(15|33)
0.7758621,4.0,(12|40)
0.7753623,5.0,(13|35)
0.7740586,5.0,(11|41)
0.7456141,5.0,(13|37)
0.7415730,1.0,(29|25)
0.7393365,5.0,(13|40)
0.7383512,5.0,(13|36)
0.7362832,5.0,(15|32)
0.7299578,5.0,(12|39)
0.7171717,5.0,(12|41)
0.6981132,5.0,(11|42)
0.6923077,4.0,(12|42)
0.6840491,4.0,(13|38)
0.6666667,3.0,(10|42)
0.6638656,5.0,(12|38)
0.6303030,3.0,(25|22)
0.6296296,5.0,(12|37)
0.6153846,5.0,(11|38)
0.6081081,2.0,(24|23)
0.6078432,4.0,(14|23)
0.6034483,5.0,(13|41)
0.6034483,5.0,(13|42)
0.5925926,5.0,(10|38)
0.5833333,3.0,(7|17)
0.5750000,5.0,(13|34)
0.5555556,5.0,(10|32)
0.5404040,5.0,(12|36)
0.5384616,5.0,(10|31)
0.5333334,4.0,(11|37)
0.5185185,4.0,(9|42)
0.5185185,4.0,(10|41)
0.5128205,2.0,(14|32)
0.5000000,2.0,(2|35)
0.5000000,4.0,(8|44)
0.5000000,4.0,(11|40)
0.5000000,3.0,(16|35)
0.4793389,5.0,(12|34)
0.4285714,2.0,(22|49)
0.4269006,5.0,(10|39)
0.4226190,5.0,(13|28)
0.4222222,5.0,(11|43)
0.4205607,4.0,(15|35)
