Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 63 | Law Firm Management (jp:63,idx:4)
Class Probability,Ex Count at BMU,BMU Map Loc
0.09480812,42.0,(8|14)
0.07142857,1.0,(6|17)
0.07031250,27.0,(9|13)
0.05555556,2.0,(7|14)
0.05555556,2.0,(9|14)
0.03703704,1.0,(9|11)
0.01793722,4.0,(8|12)
0.01086957,1.0,(14|48)
0.009661836,6.0,(9|12)
0.007812500,1.0,(7|12)
0.006172840,1.0,(10|14)
0.006006006,2.0,(17|39)
0.004201681,1.0,(10|11)
0.003802281,1.0,(7|46)
0.002341920,1.0,(23|32)
