Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 67 | Banking (jp:67,idx:6)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5858268,372.0,(12|27)
0.5625000,9.0,(11|26)
0.4000000,8.0,(12|26)
0.3838384,38.0,(11|28)
0.3487085,378.0,(14|27)
0.3333333,1.0,(14|26)
0.2800000,49.0,(12|28)
0.2745098,56.0,(11|25)
0.2628571,46.0,(11|27)
0.2536585,52.0,(13|25)
0.1785714,10.0,(10|26)
0.1598985,63.0,(14|25)
0.1428571,17.0,(13|27)
0.1406250,27.0,(15|27)
0.1388889,5.0,(9|26)
0.1386139,14.0,(12|24)
0.1300000,13.0,(13|24)
0.1022727,9.0,(10|43)
0.09947644,19.0,(10|27)
0.09941521,17.0,(15|26)
0.09090909,2.0,(13|26)
0.08695652,2.0,(14|28)
0.08648649,16.0,(16|26)
0.07692308,1.0,(9|28)
0.07536232,52.0,(12|21)
0.07500000,9.0,(11|24)
0.07500000,6.0,(12|25)
0.07142857,1.0,(10|40)
0.06741573,6.0,(14|22)
0.06547619,11.0,(13|28)
0.06349207,4.0,(11|29)
0.05785124,7.0,(7|44)
0.05405406,4.0,(10|25)
0.04347826,3.0,(12|23)
0.04255319,4.0,(31|48)
0.03947368,3.0,(10|28)
0.03846154,5.0,(13|30)
0.03703704,1.0,(9|11)
0.03448276,2.0,(9|20)
0.03225806,1.0,(21|17)
0.03092784,3.0,(8|49)
0.02857143,3.0,(9|46)
0.02739726,8.0,(13|23)
0.02739726,4.0,(17|37)
0.02702703,4.0,(13|22)
0.02577320,5.0,(7|42)
0.02577320,5.0,(7|43)
0.02525252,5.0,(12|41)
0.02500000,1.0,(22|0)
0.02452316,9.0,(24|27)
0.02290076,3.0,(8|41)
0.02202643,5.0,(9|40)
0.02173913,3.0,(16|23)
0.02150538,2.0,(15|23)
0.02137767,9.0,(21|33)
0.02108434,7.0,(12|1)
0.02108434,7.0,(13|49)
0.02000000,2.0,(4|43)
0.02000000,2.0,(5|44)
0.01960784,1.0,(14|23)
0.01904762,2.0,(10|33)
0.01886792,5.0,(7|33)
0.01851852,1.0,(4|19)
0.01851852,2.0,(7|45)
0.01818182,2.0,(12|31)
0.01748252,10.0,(8|42)
0.01739130,2.0,(8|46)
0.01709402,2.0,(21|5)
0.01694915,1.0,(9|23)
0.01587302,1.0,(10|32)
0.01554404,3.0,(17|48)
0.01533742,5.0,(13|38)
0.01492537,2.0,(5|43)
0.01421801,3.0,(13|40)
0.01388889,3.0,(30|48)
0.01298701,1.0,(17|3)
0.01282051,1.0,(5|13)
0.01255230,3.0,(11|41)
0.01200000,3.0,(15|33)
0.01129944,2.0,(16|39)
0.01127820,3.0,(24|30)
0.01092896,2.0,(10|18)
0.01086957,2.0,(45|24)
0.01086957,2.0,(45|25)
0.01081081,4.0,(15|38)
0.01069519,2.0,(18|0)
0.01063830,1.0,(30|47)
0.01041667,4.0,(9|13)
0.01041667,1.0,(18|1)
0.01033592,4.0,(21|23)
0.01010101,1.0,(16|40)
0.009708738,1.0,(9|34)
0.009569378,2.0,(6|38)
0.009345794,1.0,(1|32)
