Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 87 | Energy (jp:87,idx:13)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8875502,442.0,(30|23)
0.7894737,15.0,(17|22)
0.5000000,1.0,(40|15)
0.5000000,1.0,(41|16)
0.3955343,248.0,(18|22)
0.3250000,13.0,(6|21)
0.3142857,99.0,(19|21)
0.3060109,56.0,(10|18)
0.3000000,3.0,(12|18)
0.2996795,187.0,(19|22)
0.2978723,14.0,(19|23)
0.2978723,14.0,(20|22)
0.2898551,60.0,(9|17)
0.2777778,5.0,(10|10)
0.2745902,134.0,(18|20)
0.2741936,34.0,(11|18)
0.2707424,62.0,(10|17)
0.2676056,19.0,(11|17)
0.2647059,9.0,(9|15)
0.2647059,9.0,(11|14)
0.2500000,7.0,(18|21)
0.2306649,170.0,(20|23)
0.2089552,14.0,(9|19)
0.2054795,15.0,(7|20)
0.2012987,31.0,(9|18)
0.1976744,119.0,(19|20)
0.1871838,111.0,(11|20)
0.1851852,5.0,(10|16)
0.1768293,29.0,(17|20)
0.1758958,54.0,(7|21)
0.1666667,3.0,(18|23)
0.1250000,1.0,(12|19)
0.1203008,16.0,(8|18)
0.09375000,6.0,(20|20)
0.08865248,25.0,(11|19)
0.08750000,7.0,(12|20)
0.08108108,9.0,(8|21)
0.07920792,8.0,(11|16)
0.07843138,4.0,(18|19)
0.07563026,9.0,(17|23)
0.07291666,21.0,(8|19)
0.06779661,4.0,(9|23)
0.06770834,13.0,(9|44)
0.06666667,1.0,(20|19)
0.05839416,16.0,(11|15)
0.05821918,34.0,(8|20)
0.05769231,3.0,(16|27)
0.05454545,3.0,(17|0)
0.05000000,1.0,(12|16)
0.04724409,6.0,(13|15)
0.04545455,4.0,(10|43)
0.04444445,2.0,(11|8)
0.04347826,1.0,(14|28)
0.04255319,2.0,(9|30)
0.04225352,3.0,(5|38)
0.04225352,3.0,(6|39)
0.04166667,6.0,(14|15)
0.04098361,5.0,(11|39)
0.04093567,7.0,(10|39)
0.03975535,13.0,(17|18)
0.03831417,10.0,(9|43)
0.03750000,3.0,(9|21)
0.03703704,1.0,(9|11)
0.03636364,2.0,(10|19)
0.03571429,3.0,(8|44)
0.03571429,1.0,(11|30)
0.03571429,3.0,(11|40)
0.03508772,4.0,(6|31)
0.03482587,7.0,(5|33)
0.03327172,18.0,(16|20)
0.03278688,6.0,(3|35)
0.03157895,3.0,(45|9)
0.03157895,3.0,(46|8)
0.03141361,6.0,(10|27)
0.03125000,5.0,(15|19)
0.03061225,3.0,(10|3)
0.03030303,3.0,(11|28)
0.03007519,8.0,(16|42)
0.03004292,7.0,(27|47)
0.02893891,9.0,(21|16)
0.02873563,5.0,(0|16)
0.02758621,4.0,(8|43)
0.02608696,3.0,(5|26)
0.02577320,5.0,(7|42)
0.02577320,5.0,(7|43)
0.02510460,6.0,(15|17)
0.02439024,2.0,(7|18)
0.02419355,3.0,(12|3)
0.02409638,2.0,(7|39)
0.02409638,2.0,(8|39)
0.02409638,2.0,(8|40)
0.02395210,4.0,(29|40)
0.02392345,5.0,(6|38)
0.02380952,1.0,(18|37)
0.02325581,1.0,(5|42)
0.02325581,1.0,(6|43)
0.02307692,3.0,(13|11)
0.02307692,3.0,(20|14)
0.02304148,5.0,(19|18)
0.02238806,3.0,(5|43)
0.02222222,1.0,(19|2)
0.02158273,3.0,(1|30)
0.02139037,4.0,(14|8)
0.02136752,5.0,(17|42)
0.02127660,1.0,(8|26)
0.02105263,2.0,(7|25)
0.02105263,2.0,(18|14)
0.02105263,10.0,(18|18)
0.02083333,1.0,(8|11)
0.02083333,1.0,(17|15)
0.02009274,13.0,(17|21)
0.01923077,1.0,(7|37)
0.01910828,3.0,(4|33)
0.01886792,2.0,(0|35)
0.01886792,2.0,(6|42)
0.01851852,5.0,(8|23)
0.01829268,3.0,(48|22)
0.01818182,1.0,(13|33)
0.01801802,2.0,(6|23)
0.01792115,5.0,(24|0)
0.01785714,2.0,(16|37)
0.01754386,2.0,(4|11)
0.01700680,5.0,(13|3)
0.01700680,5.0,(16|15)
0.01652892,2.0,(2|47)
0.01652892,2.0,(7|44)
0.01652892,2.0,(14|16)
0.01639344,1.0,(6|28)
0.01630435,6.0,(21|0)
0.01600000,8.0,(16|16)
0.01595745,3.0,(2|39)
0.01568628,4.0,(5|25)
0.01507538,9.0,(17|19)
0.01470588,2.0,(14|40)
0.01449275,1.0,(15|14)
0.01449275,3.0,(19|39)
0.01408451,1.0,(6|27)
0.01398601,4.0,(18|27)
0.01393728,4.0,(46|22)
0.01379310,2.0,(6|41)
0.01369863,2.0,(17|37)
0.01354402,6.0,(8|14)
0.01351351,1.0,(24|23)
0.01342282,2.0,(15|5)
0.01333333,1.0,(17|4)
0.01315789,1.0,(10|28)
0.01307190,2.0,(8|34)
0.01298701,2.0,(14|10)
0.01298701,2.0,(16|36)
0.01265823,1.0,(11|7)
0.01250000,1.0,(8|22)
0.01234568,2.0,(10|14)
0.01234568,1.0,(27|45)
0.01229508,3.0,(3|31)
0.01204819,1.0,(29|16)
0.01190476,2.0,(13|28)
0.01140684,3.0,(10|23)
0.01131008,12.0,(25|12)
0.01096491,5.0,(13|37)
0.01081081,4.0,(18|16)
0.01075269,2.0,(3|33)
0.01075269,2.0,(5|30)
0.01063830,2.0,(8|47)
0.01063830,1.0,(30|47)
0.01047120,2.0,(16|25)
0.01041667,1.0,(7|19)
0.01041667,1.0,(18|36)
0.01003344,3.0,(3|40)
0.01000000,1.0,(4|43)
0.01000000,1.0,(5|44)
0.009900990,1.0,(4|29)
0.009900990,1.0,(20|0)
0.009708738,3.0,(18|15)
0.009661836,6.0,(9|12)
0.009615385,3.0,(14|34)
0.009584664,3.0,(22|28)
0.009523810,1.0,(36|12)
0.009433962,2.0,(1|37)
0.009345794,3.0,(5|27)
0.009259259,2.0,(30|48)
0.009216590,2.0,(13|16)
0.009174312,1.0,(13|31)
0.008968610,2.0,(8|12)
0.008888889,2.0,(0|49)
0.008869180,4.0,(26|46)
0.008771930,1.0,(27|35)
0.008695652,2.0,(27|31)
0.008547009,1.0,(32|39)
0.008474576,4.0,(21|14)
0.008403362,2.0,(10|11)
0.008368201,2.0,(11|41)
0.008264462,1.0,(9|29)
0.008196721,1.0,(22|4)
0.008064516,1.0,(1|25)
0.008064516,1.0,(19|40)
0.008000000,4.0,(13|10)
0.007936508,1.0,(17|29)
0.007905139,2.0,(0|14)
0.007905139,2.0,(2|32)
0.007827789,4.0,(27|5)
0.007812500,2.0,(3|32)
0.007812500,1.0,(15|28)
0.007751938,1.0,(47|34)
0.007751938,1.0,(49|17)
0.007692308,1.0,(8|27)
0.007633588,1.0,(36|5)
0.007604563,2.0,(20|6)
0.007575758,2.0,(2|31)
0.007575758,2.0,(15|12)
0.007556675,3.0,(3|41)
0.007556675,3.0,(4|42)
0.007352941,1.0,(4|34)
0.007334963,3.0,(7|32)
0.007326007,2.0,(15|2)
0.007272727,2.0,(12|5)
0.007246377,2.0,(13|35)
0.007168459,2.0,(13|36)
0.007142857,1.0,(36|43)
0.007117438,2.0,(12|11)
0.007067138,2.0,(24|38)
0.006993007,4.0,(8|42)
0.006993007,1.0,(12|42)
0.006944444,1.0,(26|12)
0.006944444,1.0,(36|22)
0.006849315,2.0,(47|22)
0.006802721,2.0,(20|12)
0.006756757,1.0,(13|22)
0.006734007,2.0,(20|31)
0.006666667,1.0,(11|13)
0.006622517,1.0,(10|12)
0.006578947,2.0,(3|30)
0.006578947,2.0,(27|11)
0.006535948,1.0,(9|32)
0.006472492,4.0,(12|8)
0.006369427,1.0,(5|31)
0.006329114,1.0,(6|24)
0.006321113,5.0,(4|28)
0.006309148,2.0,(11|9)
0.006289308,1.0,(13|12)
0.006289308,1.0,(18|38)
0.006211180,1.0,(6|32)
0.006172840,1.0,(3|29)
0.006024096,3.0,(22|26)
0.005988024,1.0,(49|15)
0.005952381,2.0,(28|2)
0.005934718,2.0,(30|43)
0.005917160,2.0,(43|16)
0.005882353,1.0,(46|38)
0.005847953,1.0,(15|26)
0.005797102,2.0,(15|18)
0.005714286,1.0,(11|27)
0.005703422,3.0,(19|28)
0.005681818,1.0,(24|42)
0.005586592,1.0,(5|22)
0.005555556,1.0,(6|45)
0.005524862,1.0,(6|47)
0.005464481,1.0,(42|18)
0.005449591,2.0,(24|27)
0.005415163,3.0,(19|36)
0.005405406,2.0,(15|38)
0.005376344,1.0,(18|28)
0.005347594,1.0,(18|0)
0.005347594,1.0,(49|41)
0.005319149,1.0,(5|32)
0.005277045,2.0,(25|11)
0.005235602,1.0,(7|34)
0.005235602,1.0,(20|13)
0.005208333,1.0,(15|27)
0.005186722,5.0,(27|21)
0.005181347,1.0,(17|48)
0.005154639,1.0,(4|41)
0.005154639,1.0,(43|25)
0.005128205,1.0,(8|33)
0.005102041,1.0,(15|16)
0.005076142,1.0,(8|35)
0.005063291,2.0,(31|44)
0.005050505,1.0,(12|41)
0.005025126,1.0,(16|18)
0.004878049,1.0,(15|39)
0.004830918,2.0,(32|35)
0.004807692,1.0,(6|33)
0.004761905,1.0,(10|2)
0.004744959,4.0,(14|3)
0.004724409,3.0,(12|27)
0.004716981,1.0,(41|47)
