Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 121 | Mergers Acquisitions & Divestitures (jp:121,idx:23)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9008621,209.0,(29|26)
0.8706740,478.0,(28|26)
0.4746836,300.0,(29|27)
0.4722753,247.0,(28|27)
0.4523810,19.0,(18|35)
0.4102564,16.0,(20|36)
0.3887147,124.0,(27|27)
0.3620690,21.0,(19|35)
0.3357143,47.0,(27|26)
0.3333333,1.0,(23|30)
0.3225806,120.0,(15|37)
0.3135417,301.0,(18|33)
0.3103448,9.0,(8|15)
0.3076923,32.0,(7|15)
0.2777778,5.0,(26|47)
0.2774194,43.0,(20|35)
0.2727273,3.0,(43|21)
0.2619048,11.0,(18|37)
0.2600000,13.0,(11|34)
0.2564103,20.0,(20|34)
0.2532468,39.0,(16|36)
0.2530121,63.0,(15|36)
0.2500000,1.0,(2|35)
0.2500000,28.0,(16|37)
0.2368421,18.0,(17|34)
0.2360515,55.0,(16|38)
0.2348485,62.0,(19|32)
0.2162162,24.0,(14|37)
0.2142857,12.0,(27|28)
0.2133676,83.0,(26|27)
0.2000000,1.0,(21|22)
0.1900826,23.0,(9|27)
0.1875000,3.0,(24|4)
0.1860465,40.0,(19|33)
0.1846154,12.0,(23|49)
0.1809524,19.0,(9|46)
0.1750903,97.0,(19|36)
0.1724138,5.0,(9|22)
0.1711712,19.0,(14|38)
0.1700000,17.0,(4|43)
0.1700000,17.0,(5|44)
0.1643258,117.0,(18|34)
0.1632653,8.0,(13|21)
0.1572052,36.0,(21|31)
0.1540541,57.0,(15|38)
0.1538462,60.0,(17|36)
0.1538462,2.0,(20|29)
0.1506849,22.0,(17|37)
0.1481481,16.0,(17|38)
0.1481481,16.0,(19|29)
0.1428571,2.0,(10|40)
0.1428571,1.0,(23|28)
0.1428571,5.0,(30|49)
0.1428571,11.0,(45|26)
0.1379310,20.0,(6|41)
0.1363636,3.0,(22|32)
0.1323529,45.0,(19|34)
0.1304348,15.0,(1|36)
0.1295337,25.0,(22|30)
0.1250000,6.0,(17|33)
0.1162791,5.0,(5|42)
0.1162791,5.0,(6|43)
0.1111111,3.0,(10|16)
0.1111111,2.0,(18|23)
0.1063830,5.0,(29|1)
0.1052632,2.0,(21|49)
0.1044776,14.0,(5|43)
0.1041667,10.0,(7|19)
0.1028037,11.0,(15|35)
0.1027397,15.0,(29|49)
0.1020408,5.0,(7|16)
0.1016949,6.0,(29|43)
0.1000000,2.0,(1|20)
0.09868421,15.0,(11|10)
0.09803922,15.0,(21|30)
0.09793814,19.0,(7|42)
0.09793814,19.0,(7|43)
0.09629630,13.0,(43|4)
0.09523810,12.0,(21|29)
0.09150327,14.0,(6|44)
0.09016393,11.0,(11|39)
0.08870967,11.0,(26|48)
0.08484849,14.0,(28|28)
0.08474576,15.0,(16|39)
0.08333334,1.0,(7|17)
0.08333334,7.0,(11|21)
0.08333334,7.0,(12|22)
0.08333334,8.0,(18|36)
0.08333334,2.0,(23|33)
0.08108108,21.0,(2|36)
0.08029197,11.0,(30|2)
0.07894737,6.0,(4|37)
0.07853403,15.0,(10|27)
0.07766990,8.0,(17|35)
0.07692308,1.0,(2|21)
0.07692308,2.0,(18|32)
0.07692308,6.0,(21|27)
0.07547170,8.0,(6|42)
0.07471264,13.0,(13|41)
0.07471264,13.0,(13|42)
0.07407407,4.0,(9|42)
0.07407407,4.0,(10|41)
0.07329843,14.0,(20|32)
0.07228915,6.0,(29|16)
0.07216495,14.0,(4|41)
0.07142857,2.0,(10|22)
0.07048458,16.0,(24|31)
0.07042254,5.0,(12|30)
0.06862745,7.0,(28|47)
0.06842105,26.0,(25|47)
0.06726457,15.0,(8|12)
0.06722689,8.0,(13|27)
0.06666667,9.0,(5|15)
0.06651885,30.0,(26|46)
0.06593407,6.0,(47|10)
0.06508876,11.0,(3|15)
0.06410257,5.0,(46|10)
0.06382979,3.0,(9|30)
0.06299213,8.0,(10|21)
0.06289309,10.0,(18|38)
0.06250000,5.0,(9|21)
0.06250000,1.0,(11|26)
0.06250000,1.0,(16|47)
0.06250000,1.0,(16|48)
0.06220096,13.0,(6|38)
0.06060606,8.0,(1|21)
0.06034483,21.0,(32|3)
0.06024097,5.0,(7|39)
0.06024097,5.0,(8|39)
0.06024097,5.0,(8|40)
0.05952381,5.0,(24|25)
0.05882353,8.0,(14|40)
0.05882353,2.0,(16|35)
0.05882353,2.0,(33|19)
0.05793451,23.0,(3|41)
0.05793451,23.0,(4|42)
0.05785124,7.0,(12|34)
0.05633803,8.0,(4|13)
0.05598456,29.0,(15|41)
0.05586592,10.0,(2|15)
0.05555556,16.0,(21|37)
0.05405406,2.0,(48|10)
0.05384615,7.0,(13|30)
0.05357143,3.0,(3|38)
0.05357143,6.0,(38|10)
0.05314010,33.0,(9|12)
0.05263158,3.0,(21|13)
0.05263158,1.0,(27|49)
0.05263158,1.0,(44|15)
0.05172414,3.0,(9|25)
0.05128205,4.0,(5|13)
0.05098039,13.0,(31|46)
0.05084746,3.0,(0|11)
0.05000000,2.0,(22|0)
0.04932735,11.0,(44|29)
0.04929578,7.0,(0|36)
0.04926108,30.0,(44|17)
0.04905660,13.0,(25|49)
0.04878049,4.0,(7|18)
0.04878049,10.0,(15|39)
0.04878049,10.0,(15|42)
0.04878049,2.0,(22|27)
0.04827586,7.0,(8|43)
0.04827586,7.0,(26|1)
0.04819277,12.0,(28|0)
0.04802260,17.0,(10|30)
0.04761905,13.0,(6|36)
0.04761905,4.0,(8|44)
0.04761905,4.0,(11|40)
0.04700855,11.0,(9|38)
0.04597701,16.0,(6|40)
0.04597701,16.0,(7|40)
0.04597701,16.0,(7|41)
0.04597701,12.0,(9|43)
0.04597701,4.0,(24|48)
0.04545455,1.0,(29|0)
0.04545455,1.0,(29|11)
0.04444445,2.0,(47|11)
0.04347826,1.0,(23|15)
0.04347826,1.0,(25|46)
0.04316547,6.0,(33|21)
0.04310345,5.0,(10|35)
0.04285714,3.0,(33|11)
0.04201681,5.0,(17|23)
0.04166667,1.0,(2|37)
0.04166667,1.0,(17|31)
0.04166667,1.0,(18|30)
0.04166667,1.0,(25|10)
0.04109589,12.0,(43|48)
0.04093567,7.0,(10|39)
0.04040404,4.0,(31|47)
0.04036697,22.0,(25|27)
0.04022989,7.0,(26|0)
0.04020979,23.0,(8|42)
0.03960396,4.0,(11|16)
0.03947368,3.0,(18|26)
0.03921569,2.0,(14|23)
0.03899721,14.0,(5|12)
0.03899721,14.0,(6|13)
0.03875969,5.0,(3|13)
0.03867403,7.0,(20|30)
0.03846154,5.0,(13|11)
0.03846154,1.0,(13|29)
0.03821656,6.0,(15|22)
0.03773585,4.0,(0|35)
0.03750000,30.0,(37|21)
0.03738318,4.0,(18|2)
0.03738318,8.0,(26|10)
0.03703704,5.0,(4|39)
0.03703704,1.0,(9|35)
0.03703704,1.0,(10|34)
0.03636364,2.0,(22|19)
0.03584230,10.0,(24|0)
0.03571429,1.0,(47|27)
0.03461539,9.0,(26|49)
0.03433476,8.0,(27|47)
0.03381642,7.0,(9|17)
0.03368421,16.0,(36|21)
0.03361345,4.0,(10|24)
0.03344481,10.0,(3|40)
0.03333334,6.0,(6|45)
0.03333334,3.0,(15|25)
0.03311258,5.0,(30|3)
0.03308824,9.0,(4|40)
0.03308824,9.0,(5|40)
0.03308824,9.0,(5|41)
0.03296703,3.0,(22|31)
0.03278688,6.0,(32|1)
0.03260870,6.0,(8|24)
0.03260870,3.0,(25|1)
0.03225806,12.0,(28|23)
0.03191489,3.0,(30|47)
0.03174603,4.0,(17|29)
0.03134796,10.0,(21|36)
0.03125000,1.0,(46|15)
0.03102962,22.0,(19|31)
0.03076923,4.0,(6|22)
0.03076923,4.0,(11|38)
0.03053435,4.0,(8|0)
0.03053435,4.0,(9|4)
0.03030303,3.0,(16|40)
0.03030303,2.0,(17|6)
0.03030303,2.0,(42|21)
0.03030303,3.0,(45|11)
0.02996255,8.0,(8|16)
0.02996255,8.0,(9|16)
0.02952030,32.0,(14|27)
0.02941176,1.0,(10|20)
0.02941176,2.0,(13|1)
0.02941176,2.0,(45|17)
0.02923977,5.0,(15|26)
0.02890173,5.0,(21|32)
0.02857143,3.0,(10|33)
0.02857143,2.0,(26|28)
0.02857143,4.0,(33|49)
0.02845529,7.0,(39|6)
0.02816901,4.0,(1|35)
0.02816901,2.0,(5|38)
0.02816901,2.0,(6|39)
0.02803738,3.0,(29|45)
0.02721088,4.0,(47|35)
0.02702703,1.0,(3|16)
0.02702703,2.0,(23|47)
0.02702703,9.0,(42|17)
0.02692308,7.0,(48|37)
0.02684564,4.0,(2|20)
0.02666667,4.0,(38|22)
0.02643172,12.0,(24|49)
0.02614379,4.0,(8|34)
0.02597403,2.0,(25|29)
0.02564103,5.0,(8|33)
0.02564103,4.0,(27|48)
0.02557545,30.0,(18|31)
0.02500000,2.0,(8|5)
0.02500000,2.0,(8|22)
0.02500000,2.0,(12|20)
0.02500000,2.0,(30|1)
0.02484472,4.0,(6|32)
0.02469136,2.0,(27|45)
0.02452316,9.0,(24|27)
0.02439024,6.0,(9|41)
0.02424242,4.0,(6|14)
0.02400000,6.0,(15|33)
0.02380952,3.0,(5|18)
0.02380952,4.0,(13|28)
0.02358491,5.0,(1|37)
0.02347418,5.0,(44|26)
0.02325581,1.0,(40|11)
0.02312139,8.0,(21|28)
