Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 209 | Contracts-Government (jp:209,idx:38)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4941452,211.0,(23|32)
0.3799127,174.0,(23|31)
0.1250000,1.0,(23|29)
0.09090909,2.0,(22|32)
0.08333334,2.0,(23|33)
0.05357143,6.0,(24|32)
0.03571429,1.0,(25|0)
0.02941176,2.0,(13|1)
0.02325581,1.0,(18|6)
0.01801802,6.0,(17|39)
0.01785714,1.0,(14|1)
0.01754386,1.0,(24|33)
0.01639344,1.0,(26|4)
0.01639344,1.0,(28|3)
0.01639344,1.0,(29|2)
0.01562500,1.0,(20|37)
0.01449275,1.0,(16|10)
0.01379310,2.0,(8|43)
0.01351351,1.0,(23|47)
0.01257862,2.0,(13|12)
0.01257862,2.0,(18|38)
0.01250000,1.0,(30|1)
0.01176471,1.0,(3|37)
0.01117318,2.0,(2|15)
0.01098901,1.0,(3|11)
0.01081081,2.0,(13|43)
0.009803922,1.0,(28|47)
0.009708738,1.0,(21|12)
0.009009009,1.0,(43|14)
0.008968610,2.0,(8|12)
0.007905139,2.0,(6|18)
0.007662835,2.0,(9|43)
0.007407407,1.0,(30|44)
0.007263923,3.0,(15|48)
0.007092198,2.0,(29|44)
0.006944444,2.0,(21|37)
0.006849315,1.0,(17|37)
0.006622517,1.0,(22|33)
0.006535948,1.0,(6|44)
0.006535948,1.0,(9|32)
0.006410256,1.0,(23|43)
0.006289308,1.0,(0|15)
0.006269592,2.0,(21|36)
0.006060606,1.0,(6|14)
0.005649718,1.0,(16|3)
0.005617978,1.0,(13|13)
0.005494506,1.0,(24|3)
0.004761905,1.0,(33|48)
0.004514673,2.0,(8|14)
0.004424779,2.0,(32|14)
0.004405286,1.0,(24|31)
0.004016064,1.0,(7|26)
0.003921569,1.0,(31|46)
0.003861004,2.0,(15|41)
0.003787879,1.0,(15|12)
0.003676471,1.0,(4|40)
0.003676471,1.0,(5|40)
0.003676471,1.0,(5|41)
0.003401360,1.0,(20|12)
0.003039514,1.0,(46|0)
0.002967359,2.0,(25|31)
0.002915452,1.0,(34|20)
0.002666667,1.0,(24|40)
0.002577320,1.0,(11|49)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.002008032,1.0,(22|26)
0.001976285,1.0,(46|19)
0.001862197,1.0,(25|28)
0.001798561,1.0,(46|34)
0.001642036,1.0,(44|17)
0.001610306,1.0,(9|12)
0.001602564,1.0,(19|22)
0.001574803,1.0,(12|27)
