Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 255 | Estate Planning (jp:255,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(31|23)
1.000000,2.0,(45|33)
0.9741518,603.0,(32|24)
0.9505410,1230.0,(32|23)
0.8000000,4.0,(32|22)
0.5454546,30.0,(42|30)
0.5454546,66.0,(43|31)
0.5333334,8.0,(39|26)
0.5000000,1.0,(40|19)
0.5000000,3.0,(46|30)
0.4961759,519.0,(40|25)
0.4893617,46.0,(40|26)
0.4750958,124.0,(3|27)
0.4736842,9.0,(47|28)
0.4489796,308.0,(41|24)
0.4473684,68.0,(41|25)
0.4188034,98.0,(42|22)
0.4130435,76.0,(45|24)
0.4130435,76.0,(45|25)
0.4100000,41.0,(47|25)
0.4093264,79.0,(47|23)
0.4056795,200.0,(42|27)
0.4049080,132.0,(40|27)
0.4042553,76.0,(43|23)
0.3937500,126.0,(41|26)
0.3859649,22.0,(44|31)
0.3809524,40.0,(43|30)
0.3802083,73.0,(41|27)
0.3783784,14.0,(39|25)
0.3772242,106.0,(43|24)
0.3733333,84.0,(42|25)
0.3719008,45.0,(45|27)
0.3692762,250.0,(41|29)
0.3671875,47.0,(1|27)
0.3543307,45.0,(43|28)
0.3529412,12.0,(45|32)
0.3519313,82.0,(46|23)
0.3478261,24.0,(45|31)
0.3355705,100.0,(46|33)
0.3255814,14.0,(49|32)
0.3225806,60.0,(42|24)
0.3218391,28.0,(45|22)
0.3187920,95.0,(2|27)
0.3181818,14.0,(42|29)
0.3150685,92.0,(47|22)
0.3141361,60.0,(47|24)
0.3125000,10.0,(40|30)
0.3125000,5.0,(47|31)
0.3125000,15.0,(48|30)
0.3072626,55.0,(40|28)
0.3068783,58.0,(44|24)
0.3061225,15.0,(44|27)
0.3052632,116.0,(46|24)
0.3014019,129.0,(48|33)
0.2938144,57.0,(43|25)
0.2933333,66.0,(3|26)
0.2894737,22.0,(41|28)
0.2852564,89.0,(44|25)
0.2812500,9.0,(41|22)
0.2812500,9.0,(43|29)
0.2808989,25.0,(40|24)
0.2790698,84.0,(1|26)
0.2727273,3.0,(24|11)
0.2702703,10.0,(48|25)
0.2666667,4.0,(4|24)
0.2666667,40.0,(46|31)
0.2626728,57.0,(43|26)
0.2621951,43.0,(48|22)
0.2619048,55.0,(46|32)
0.2586207,30.0,(48|23)
0.2567568,38.0,(0|27)
0.2500000,14.0,(0|26)
0.2500000,1.0,(17|16)
0.2500000,1.0,(47|21)
0.2410714,27.0,(46|27)
0.2406015,32.0,(45|23)
0.2397661,41.0,(48|31)
0.2396694,29.0,(2|26)
0.2395833,46.0,(44|23)
0.2380952,50.0,(43|22)
0.2340426,33.0,(44|28)
0.2328767,68.0,(1|24)
0.2238806,15.0,(49|25)
0.2193878,43.0,(45|30)
0.2170543,56.0,(46|28)
0.2164179,29.0,(48|32)
0.2105263,4.0,(0|21)
0.2096774,26.0,(1|25)
0.2052239,55.0,(42|26)
0.2047244,26.0,(46|26)
0.2028985,28.0,(49|28)
0.2000000,1.0,(2|28)
0.2000000,2.0,(4|23)
0.2000000,2.0,(44|21)
0.1923077,35.0,(42|23)
0.1898734,15.0,(39|22)
0.1818182,2.0,(39|27)
0.1772152,42.0,(3|25)
0.1750000,14.0,(41|21)
0.1714286,6.0,(47|29)
0.1705069,37.0,(48|29)
0.1666667,2.0,(49|45)
0.1658768,105.0,(44|32)
0.1578947,3.0,(45|29)
0.1554054,23.0,(43|27)
0.1542857,27.0,(0|25)
0.1538462,4.0,(5|45)
0.1533101,44.0,(46|22)
0.1500000,3.0,(39|1)
0.1492806,83.0,(46|34)
0.1463415,18.0,(44|30)
0.1455847,61.0,(46|29)
0.1428571,5.0,(33|23)
0.1428571,1.0,(38|21)
0.1428571,2.0,(38|26)
0.1403509,8.0,(47|26)
0.1307692,51.0,(46|25)
0.1265823,10.0,(49|30)
0.1250000,8.0,(33|46)
0.1250000,1.0,(49|27)
0.1240876,17.0,(48|27)
0.1224490,6.0,(48|26)
0.1173709,25.0,(44|26)
0.1166667,14.0,(2|25)
0.1153846,3.0,(2|22)
0.1152416,31.0,(49|22)
0.1142857,28.0,(44|22)
0.1104295,18.0,(48|24)
0.1081081,24.0,(38|25)
0.1071429,3.0,(47|27)
0.1060606,7.0,(5|46)
0.1060606,7.0,(42|21)
0.1058824,9.0,(0|28)
0.1031390,23.0,(44|29)
0.1022727,9.0,(40|29)
0.1016949,12.0,(2|24)
0.1000000,4.0,(40|22)
0.1000000,2.0,(46|21)
0.1000000,2.0,(48|21)
0.1000000,30.0,(48|46)
0.1000000,3.0,(49|31)
0.09677419,3.0,(45|28)
0.09523810,6.0,(11|29)
0.09438203,42.0,(49|33)
0.09302326,4.0,(36|4)
0.08888889,4.0,(11|8)
0.08552632,13.0,(11|10)
0.08510638,12.0,(42|14)
0.08396947,11.0,(36|5)
0.08212560,51.0,(9|12)
0.08000000,2.0,(39|23)
0.07812500,5.0,(37|25)
0.07638889,11.0,(49|26)
0.07380074,20.0,(39|21)
0.07246377,5.0,(39|28)
0.07200000,9.0,(49|24)
0.07142857,2.0,(5|47)
0.07000000,28.0,(1|44)
0.06965174,14.0,(49|23)
0.06875000,11.0,(0|23)
0.06829268,14.0,(47|37)
0.06666667,4.0,(0|24)
0.06666667,1.0,(48|34)
0.06639004,16.0,(41|15)
0.06206897,9.0,(34|33)
0.06201550,8.0,(47|34)
0.06190476,13.0,(10|2)
0.06130268,16.0,(41|23)
0.06128134,22.0,(12|46)
0.05882353,3.0,(36|47)
0.05882353,2.0,(43|15)
0.05747126,10.0,(37|43)
0.05633803,4.0,(44|33)
0.05439331,13.0,(2|44)
0.05357143,9.0,(46|48)
0.05343511,7.0,(2|23)
0.05263158,3.0,(21|13)
0.05263158,1.0,(47|30)
0.05213270,11.0,(48|38)
0.05084746,3.0,(29|43)
0.04878049,2.0,(49|35)
0.04819277,4.0,(29|16)
0.04780877,12.0,(46|41)
0.04761905,1.0,(17|11)
0.04761905,1.0,(18|12)
0.04761905,11.0,(41|0)
0.04687500,9.0,(45|8)
0.04672897,5.0,(1|32)
0.04661017,11.0,(43|41)
0.04651163,2.0,(40|21)
0.04633205,12.0,(2|36)
0.04615385,6.0,(13|30)
0.04597701,4.0,(24|48)
0.04571429,8.0,(42|5)
0.04568528,9.0,(47|46)
0.04545455,6.0,(48|44)
0.04511278,12.0,(1|39)
0.04477612,9.0,(40|41)
0.04444445,4.0,(0|33)
0.04347826,1.0,(14|28)
0.04347826,2.0,(22|13)
0.04332130,12.0,(47|49)
0.04324324,8.0,(39|48)
0.04294479,7.0,(48|45)
0.04278075,8.0,(49|37)
0.04255319,2.0,(38|31)
0.04166667,4.0,(49|49)
0.04142012,14.0,(43|16)
0.04090909,9.0,(6|37)
0.04081633,2.0,(31|15)
0.04060914,8.0,(47|44)
0.04040404,4.0,(35|37)
0.04026845,6.0,(15|10)
0.03952569,10.0,(47|41)
0.03937008,5.0,(41|19)
0.03921569,8.0,(41|38)
0.03896104,3.0,(45|26)
0.03862661,9.0,(33|1)
0.03846154,4.0,(7|15)
0.03672316,13.0,(38|18)
0.03672316,13.0,(38|19)
0.03636364,2.0,(17|0)
0.03597122,5.0,(2|48)
0.03571429,3.0,(8|44)
0.03571429,3.0,(11|40)
0.03563474,16.0,(40|1)
0.03529412,3.0,(35|41)
0.03430079,13.0,(25|11)
0.03424658,5.0,(17|37)
0.03389831,6.0,(16|39)
0.03375527,8.0,(48|41)
0.03311258,5.0,(30|3)
0.03278688,4.0,(34|45)
0.03267974,5.0,(0|43)
0.03260870,3.0,(25|1)
0.03260870,6.0,(37|6)
0.03252032,4.0,(37|45)
0.03249098,9.0,(29|15)
0.03191489,6.0,(2|39)
0.03191489,3.0,(31|48)
0.03166227,12.0,(24|35)
0.03160920,11.0,(37|5)
0.03149606,4.0,(0|39)
0.03149606,8.0,(46|42)
0.03125000,5.0,(15|49)
0.03092784,3.0,(2|2)
0.03030303,3.0,(47|40)
0.03018868,8.0,(48|2)
0.03007519,8.0,(16|42)
0.02985075,2.0,(21|8)
0.02941176,8.0,(4|40)
0.02941176,8.0,(5|40)
0.02941176,8.0,(5|41)
0.02941176,1.0,(16|35)
0.02941176,3.0,(48|42)
0.02926829,12.0,(36|19)
0.02884615,3.0,(46|46)
0.02820513,11.0,(19|0)
0.02812500,9.0,(41|39)
0.02803738,3.0,(25|4)
0.02777778,5.0,(42|42)
0.02766798,14.0,(3|24)
0.02721088,4.0,(47|35)
0.02702703,3.0,(43|14)
0.02671756,7.0,(49|39)
0.02666667,6.0,(0|49)
0.02643172,6.0,(9|40)
0.02631579,2.0,(33|4)
0.02617801,5.0,(20|13)
0.02614379,4.0,(30|40)
0.02597403,4.0,(1|43)
0.02586207,6.0,(25|13)
0.02577320,5.0,(4|41)
0.02564103,1.0,(0|22)
0.02564103,4.0,(37|44)
0.02515723,4.0,(1|46)
0.02515723,4.0,(43|42)
0.02512563,5.0,(47|48)
0.02507837,8.0,(35|30)
0.02479339,3.0,(38|1)
0.02475248,5.0,(0|47)
0.02469136,2.0,(27|45)
0.02439024,6.0,(0|41)
0.02439024,2.0,(37|3)
0.02431611,8.0,(46|0)
0.02413793,7.0,(42|0)
0.02409638,4.0,(41|20)
0.02400000,6.0,(45|0)
0.02395210,4.0,(48|47)
0.02380952,3.0,(21|29)
0.02380952,3.0,(48|39)
0.02369668,5.0,(24|12)
0.02352941,22.0,(25|14)
0.02341137,7.0,(3|40)
0.02325581,2.0,(8|29)
0.02325581,1.0,(48|11)
0.02298851,4.0,(0|16)
0.02298851,2.0,(34|38)
0.02272727,4.0,(1|42)
0.02272727,5.0,(46|40)
0.02244389,9.0,(3|42)
0.02240896,8.0,(48|43)
0.02238806,3.0,(19|27)
0.02234637,4.0,(5|22)
0.02222222,3.0,(37|27)
0.02222222,4.0,(37|36)
0.02222222,6.0,(45|48)
0.02209945,4.0,(20|30)
0.02197802,2.0,(21|9)
0.02197802,2.0,(22|31)
0.02197802,2.0,(47|10)
0.02189781,3.0,(30|2)
0.02185792,4.0,(42|18)
0.02173913,8.0,(21|0)
0.02173913,2.0,(23|48)
0.02142857,3.0,(7|48)
0.02127660,10.0,(38|35)
0.02116402,4.0,(47|0)
0.02061856,4.0,(45|38)
0.02050114,9.0,(24|37)
0.02040816,1.0,(20|2)
0.02040816,2.0,(35|0)
0.02030457,4.0,(37|48)
0.02027027,6.0,(0|40)
0.02015113,8.0,(3|41)
0.02015113,8.0,(4|42)
0.01986755,3.0,(33|44)
0.01960784,1.0,(36|6)
0.01939655,9.0,(40|4)
0.01935484,6.0,(45|36)
0.01933216,22.0,(37|19)
0.01923077,1.0,(3|22)
0.01923077,11.0,(8|42)
0.01923077,4.0,(37|35)
0.01910828,3.0,(15|22)
0.01904762,2.0,(40|12)
