Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 261 | Bankruptcy-Real Property (jp:261,idx:76)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5357143,15.0,(11|30)
0.4943503,175.0,(10|30)
0.3617021,17.0,(9|30)
0.2291667,11.0,(11|31)
0.2186732,89.0,(9|31)
0.1538462,14.0,(10|31)
0.04761905,3.0,(10|32)
0.04761905,3.0,(11|29)
0.04225352,3.0,(12|30)
0.02941176,2.0,(10|36)
0.02777778,1.0,(9|26)
0.02666667,2.0,(12|32)
0.02631579,1.0,(11|32)
0.02000000,1.0,(10|29)
0.01960784,3.0,(9|32)
0.01904762,2.0,(10|33)
0.01694915,1.0,(41|3)
0.01351351,1.0,(8|31)
0.01234568,2.0,(9|37)
0.01234568,2.0,(10|37)
0.01041667,1.0,(9|36)
0.009090909,1.0,(12|31)
0.009009009,1.0,(8|21)
0.008196721,1.0,(3|34)
0.007874016,1.0,(10|21)
0.007812500,1.0,(7|12)
0.007812500,1.0,(7|35)
0.007352941,1.0,(14|29)
0.005988024,1.0,(9|2)
0.004842615,2.0,(15|48)
0.004310345,1.0,(26|11)
0.004016064,1.0,(17|28)
0.003703704,1.0,(8|23)
0.003289474,1.0,(14|24)
0.003278689,1.0,(10|13)
0.003164557,1.0,(22|23)
