Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 266 | Appellate Practice (jp:266,idx:80)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(11|46)
1.000000,2.0,(13|46)
0.5000000,2.0,(16|0)
0.3410257,133.0,(19|0)
0.2763158,21.0,(20|1)
0.2527174,93.0,(21|0)
0.2500000,67.0,(21|1)
0.2299465,43.0,(18|0)
0.2181818,12.0,(17|0)
0.2178218,22.0,(20|0)
0.2000000,1.0,(20|49)
0.1935484,18.0,(17|1)
0.09411765,8.0,(19|1)
0.08333334,3.0,(7|14)
0.08333334,3.0,(9|14)
0.07500000,3.0,(22|0)
0.07272727,8.0,(17|2)
0.06896552,2.0,(16|1)
0.06250000,6.0,(18|1)
0.06060606,4.0,(13|48)
0.05263158,5.0,(16|49)
0.04444445,2.0,(19|2)
0.04081633,2.0,(20|2)
0.03703704,1.0,(9|11)
0.03571429,1.0,(19|49)
0.03030303,1.0,(22|1)
0.02941176,1.0,(17|10)
0.02803738,3.0,(18|2)
0.02678571,3.0,(27|3)
0.02564103,1.0,(23|12)
0.02409638,2.0,(7|39)
0.02409638,2.0,(8|39)
0.02409638,2.0,(8|40)
0.01949861,7.0,(12|46)
0.01869159,2.0,(25|4)
0.01869159,4.0,(26|10)
0.01639344,2.0,(21|44)
0.01595745,3.0,(8|47)
0.01538462,1.0,(8|48)
0.01515152,1.0,(5|46)
0.01506024,5.0,(12|1)
0.01506024,5.0,(13|49)
0.01492537,2.0,(27|9)
0.01470588,1.0,(13|1)
0.01298701,2.0,(22|44)
0.01219512,2.0,(14|42)
0.01162791,1.0,(19|3)
0.01052632,1.0,(30|13)
0.01030928,1.0,(8|49)
0.01010101,1.0,(29|8)
0.009345794,1.0,(3|6)
0.008620690,2.0,(5|10)
0.008403362,2.0,(10|11)
0.007575758,1.0,(1|21)
0.007246377,2.0,(19|38)
0.007142857,1.0,(4|20)
0.007142857,1.0,(33|49)
0.006666667,1.0,(19|9)
0.006622517,1.0,(10|12)
0.006493506,1.0,(14|10)
0.006309148,2.0,(18|7)
0.006060606,2.0,(28|11)
0.005747126,2.0,(37|5)
0.005154639,2.0,(11|49)
0.004950495,1.0,(8|10)
0.004761905,1.0,(10|2)
0.003584229,1.0,(24|0)
0.003424658,1.0,(18|10)
0.002583979,1.0,(17|8)
0.002475247,1.0,(1|10)
0.002352941,1.0,(22|12)
0.001879699,1.0,(21|35)
0.001769911,1.0,(29|10)
0.001584786,1.0,(19|42)
