Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 280 | Medical Malpractice (jp:280,idx:87)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7352941,75.0,(19|11)
0.6825397,301.0,(20|10)
0.5925233,317.0,(18|11)
0.5000000,4.0,(21|10)
0.4974359,97.0,(20|9)
0.4175824,38.0,(21|9)
0.4066667,61.0,(19|9)
0.3897059,53.0,(19|10)
0.3870968,12.0,(19|12)
0.3333333,2.0,(13|0)
0.3043478,7.0,(20|11)
0.2727273,24.0,(18|9)
0.2568493,75.0,(18|10)
0.2479339,30.0,(21|11)
0.1724138,30.0,(22|9)
0.1492537,10.0,(21|8)
0.1483871,23.0,(19|8)
0.1290323,4.0,(20|8)
0.1071429,3.0,(5|47)
0.1000000,8.0,(19|7)
0.08823530,3.0,(17|10)
0.08333334,1.0,(22|10)
0.07936508,5.0,(22|8)
0.07258064,9.0,(25|5)
0.06521739,6.0,(14|48)
0.06349207,8.0,(5|18)
0.05769231,3.0,(5|19)
0.04761905,1.0,(13|2)
0.04651163,2.0,(49|32)
0.04615385,3.0,(8|48)
0.04419890,8.0,(6|47)
0.04347826,12.0,(20|7)
0.04285714,6.0,(7|48)
0.04255319,2.0,(24|5)
0.03846154,1.0,(2|22)
0.03703704,2.0,(4|19)
0.03361345,8.0,(10|11)
0.02985075,2.0,(7|49)
0.02941176,1.0,(1|19)
0.02580645,12.0,(5|20)
0.02580645,12.0,(6|19)
0.02564103,1.0,(21|7)
0.02419355,3.0,(12|3)
0.02325581,1.0,(3|14)
0.01851852,1.0,(5|4)
0.01807229,6.0,(12|1)
0.01807229,6.0,(13|49)
0.01785714,2.0,(27|3)
0.01639344,1.0,(28|3)
0.01639344,1.0,(29|2)
0.01515152,1.0,(5|46)
0.01449275,1.0,(3|21)
0.01354402,6.0,(8|14)
0.01257862,2.0,(13|12)
0.01162791,2.0,(14|49)
0.01098901,1.0,(10|4)
0.01063830,2.0,(8|47)
0.01052632,1.0,(16|49)
0.01030928,1.0,(8|49)
0.01020408,3.0,(13|3)
0.009803922,1.0,(1|8)
0.009523810,2.0,(10|2)
0.009259259,1.0,(17|38)
0.009259259,1.0,(21|3)
0.008928572,1.0,(24|6)
0.008620690,2.0,(26|11)
0.008620690,3.0,(37|5)
0.008620690,1.0,(48|23)
0.008264462,1.0,(7|44)
0.007751938,2.0,(46|28)
0.007692308,1.0,(13|11)
0.007692308,3.0,(19|0)
0.007604563,2.0,(20|6)
0.007407407,1.0,(5|15)
0.007246377,1.0,(4|18)
0.007246377,2.0,(15|1)
0.007142857,1.0,(4|20)
0.007117438,2.0,(12|11)
0.006622517,1.0,(10|12)
0.006578947,1.0,(9|48)
0.006493506,1.0,(14|10)
0.006211180,1.0,(7|3)
0.006060606,2.0,(28|11)
0.005319149,1.0,(43|23)
0.005025126,1.0,(16|18)
0.005000000,1.0,(15|9)
0.004975124,1.0,(49|23)
0.004016064,1.0,(7|26)
0.003731343,1.0,(21|1)
0.003717472,1.0,(49|22)
0.003610108,1.0,(18|13)
0.003584229,1.0,(44|16)
0.003546099,1.0,(2|12)
0.003424658,1.0,(31|16)
0.003424658,1.0,(47|22)
0.002732240,1.0,(22|35)
0.002717391,1.0,(21|0)
0.002638523,1.0,(24|35)
0.002570694,1.0,(26|27)
0.002421308,1.0,(15|48)
0.002386635,1.0,(46|29)
0.002347418,1.0,(23|16)
0.002105263,1.0,(18|18)
0.002024292,1.0,(49|10)
0.001865672,1.0,(5|5)
0.001808318,1.0,(11|22)
0.001406470,1.0,(32|9)
