Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 296 | Construction Litigation (jp:296,idx:103)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5505226,158.0,(16|9)
0.4550000,91.0,(15|9)
0.4347826,30.0,(16|10)
0.3087248,46.0,(15|10)
0.1666667,4.0,(16|8)
0.1304348,15.0,(15|8)
0.1103896,17.0,(14|10)
0.1063830,15.0,(14|9)
0.06896552,2.0,(16|1)
0.04918033,6.0,(15|11)
0.04651163,8.0,(14|49)
0.04109589,3.0,(11|12)
0.04000000,1.0,(18|8)
0.03910615,7.0,(8|45)
0.03910615,7.0,(9|45)
0.03278688,2.0,(12|14)
0.03260870,3.0,(14|48)
0.02941176,2.0,(13|1)
0.02325581,2.0,(11|47)
0.02325581,2.0,(12|48)
0.02000000,1.0,(5|11)
0.01851852,2.0,(7|45)
0.01773050,5.0,(16|13)
0.01709402,2.0,(21|5)
0.01685393,3.0,(13|13)
0.01612903,2.0,(11|18)
0.01574803,2.0,(18|3)
0.01515152,4.0,(15|12)
0.01449275,1.0,(14|11)
0.01428571,3.0,(10|2)
0.01428571,1.0,(16|2)
0.01388889,2.0,(26|12)
0.01282051,1.0,(3|8)
0.01265823,1.0,(11|7)
0.01250000,1.0,(9|21)
0.01190476,1.0,(14|12)
0.01183432,2.0,(3|15)
0.01128668,5.0,(8|14)
0.01047120,2.0,(20|13)
0.01030928,1.0,(8|49)
0.007604563,2.0,(20|6)
0.007518797,1.0,(7|47)
0.007326007,2.0,(6|36)
0.007246377,2.0,(20|7)
0.006060606,2.0,(28|11)
0.005449591,2.0,(24|27)
0.005181347,1.0,(22|30)
0.005154639,2.0,(11|49)
0.004608295,1.0,(30|20)
0.004366812,1.0,(10|17)
0.004201681,1.0,(10|11)
0.003623188,1.0,(15|1)
0.003401360,1.0,(13|3)
0.003154574,1.0,(18|7)
0.002976191,1.0,(28|2)
0.002967359,1.0,(30|43)
0.002531646,2.0,(9|3)
0.002386635,1.0,(46|29)
0.002105263,1.0,(18|18)
0.002024292,1.0,(49|10)
0.001937984,1.0,(15|30)
0.001834862,1.0,(29|5)
0.001712329,1.0,(8|20)
0.001529052,1.0,(31|21)
0.001364256,1.0,(23|7)
0.001353180,1.0,(28|14)
0.001186240,1.0,(14|3)
