Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 327 | Banking Lit-Regulatory (jp:327,idx:111)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5273973,154.0,(13|23)
0.3986486,59.0,(13|22)
0.2318841,16.0,(12|23)
0.05263158,1.0,(28|6)
0.04545455,1.0,(13|26)
0.03488372,3.0,(19|4)
0.03157895,3.0,(16|49)
0.02127660,1.0,(8|26)
0.02083333,2.0,(9|36)
0.01941748,2.0,(9|34)
0.01904762,2.0,(9|46)
0.01892745,6.0,(18|7)
0.01851852,1.0,(4|19)
0.01851852,2.0,(7|45)
0.01754386,1.0,(2|17)
0.01652892,2.0,(7|44)
0.01428571,1.0,(16|2)
0.01250000,1.0,(12|25)
0.01142857,2.0,(11|27)
0.01075269,2.0,(12|49)
0.01033592,4.0,(21|23)
0.01000000,1.0,(13|24)
0.008547009,1.0,(21|5)
0.008264462,1.0,(17|27)
0.008174387,3.0,(24|27)
0.007874016,1.0,(10|21)
0.007692308,1.0,(13|30)
0.006578947,1.0,(9|48)
0.004329004,1.0,(4|31)
0.003731343,1.0,(21|1)
0.003663004,1.0,(15|2)
0.002604167,1.0,(9|13)
0.002583979,1.0,(17|8)
0.002439024,1.0,(36|19)
0.002352941,1.0,(22|12)
0.002277904,1.0,(24|37)
0.001956947,1.0,(27|5)
0.001937984,1.0,(15|30)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
