Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 370 | Construction Contracts (jp:370,idx:135)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6666667,188.0,(16|13)
0.5000000,1.0,(5|49)
0.5000000,1.0,(6|0)
0.5000000,7.0,(17|13)
0.3723404,210.0,(16|11)
0.3546512,61.0,(15|13)
0.3432836,23.0,(16|12)
0.3254438,55.0,(17|12)
0.2765152,73.0,(15|12)
0.2704918,33.0,(15|11)
0.1190476,10.0,(14|12)
0.09090909,4.0,(17|14)
0.08379889,15.0,(8|45)
0.08379889,15.0,(9|45)
0.06976745,3.0,(5|42)
0.06976745,3.0,(6|43)
0.05504587,6.0,(14|13)
0.05479452,4.0,(11|12)
0.04761905,1.0,(13|2)
0.02816901,2.0,(11|17)
0.02808989,5.0,(13|13)
0.02439024,2.0,(25|2)
0.02127660,1.0,(8|26)
0.02083333,1.0,(17|15)
0.02083333,2.0,(18|1)
0.01973684,3.0,(9|48)
0.01941748,2.0,(21|12)
0.01851852,1.0,(9|42)
0.01851852,1.0,(10|41)
0.01744186,3.0,(14|49)
0.01694915,1.0,(9|23)
0.01652892,2.0,(8|2)
0.01639344,1.0,(12|14)
0.01612903,2.0,(11|18)
0.01587302,1.0,(11|29)
0.01532567,4.0,(9|43)
0.01500000,3.0,(15|9)
0.01465201,4.0,(15|2)
0.01449275,2.0,(5|35)
0.01449275,1.0,(14|11)
0.01428571,1.0,(16|2)
0.01388889,2.0,(2|14)
0.01379310,2.0,(6|35)
0.01363636,3.0,(6|37)
0.01342282,2.0,(15|10)
0.01333333,2.0,(11|13)
0.01333333,2.0,(19|9)
0.01298701,1.0,(17|3)
0.01239669,3.0,(7|36)
0.01204819,3.0,(7|26)
0.01204819,1.0,(7|39)
0.01204819,1.0,(8|39)
0.01204819,1.0,(8|40)
0.01098901,2.0,(4|35)
0.01063830,1.0,(11|0)
0.009345794,1.0,(18|2)
0.009259259,1.0,(7|45)
0.009090909,1.0,(10|45)
0.008368201,2.0,(5|39)
0.007905139,2.0,(2|32)
0.007575758,1.0,(4|32)
0.007575758,1.0,(49|9)
0.007407407,2.0,(8|23)
0.007352941,1.0,(4|34)
0.007326007,2.0,(6|36)
0.007299270,2.0,(11|15)
0.007142857,1.0,(7|48)
0.006711409,1.0,(2|20)
0.006369427,1.0,(4|33)
0.006329114,2.0,(22|23)
0.006309148,2.0,(18|7)
0.005917160,1.0,(3|15)
0.005882353,2.0,(19|34)
0.005464481,1.0,(10|18)
0.005319149,1.0,(5|32)
0.005208333,1.0,(9|44)
0.005128205,1.0,(8|33)
0.005076142,1.0,(8|35)
0.005025126,1.0,(16|18)
0.004807692,1.0,(6|33)
0.004405286,1.0,(9|40)
0.004301075,2.0,(5|20)
0.004301075,2.0,(6|19)
0.004255319,1.0,(13|18)
0.004098360,1.0,(5|34)
0.004065040,1.0,(9|41)
0.003745318,1.0,(8|16)
0.003745318,1.0,(9|16)
0.003623188,1.0,(15|1)
0.003610108,1.0,(4|14)
0.003372681,2.0,(11|20)
0.003030303,1.0,(24|29)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002949852,1.0,(28|13)
0.002717391,1.0,(21|0)
0.002604167,1.0,(9|13)
0.002577320,1.0,(11|49)
0.002164502,1.0,(42|15)
0.002105263,1.0,(18|18)
0.002020202,1.0,(12|35)
0.001937984,1.0,(15|30)
0.001848429,1.0,(16|20)
0.001443001,1.0,(7|23)
0.001353180,1.0,(28|14)
