Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 387 | Insurance-Bad-Faith (jp:387,idx:149)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7468175,528.0,(25|18)
0.6322067,318.0,(24|19)
0.6322067,318.0,(25|19)
0.3691275,55.0,(15|5)
0.3333333,2.0,(28|1)
0.3265306,48.0,(24|18)
0.3265306,48.0,(25|17)
0.3009404,96.0,(15|6)
0.2500000,15.0,(26|18)
0.2196532,38.0,(16|4)
0.1976744,17.0,(19|4)
0.1866667,14.0,(17|4)
0.1724138,5.0,(16|1)
0.1666667,4.0,(16|8)
0.1401869,15.0,(18|2)
0.1384615,9.0,(26|19)
0.1304348,39.0,(15|4)
0.1279070,11.0,(19|3)
0.1153846,3.0,(16|7)
0.1000000,3.0,(22|11)
0.09473684,9.0,(16|6)
0.09302326,4.0,(18|6)
0.09090909,1.0,(24|11)
0.08943089,11.0,(16|5)
0.08888889,4.0,(19|2)
0.07874016,10.0,(18|3)
0.07142857,1.0,(16|14)
0.07058824,12.0,(24|17)
0.06756756,5.0,(19|5)
0.06666667,1.0,(4|24)
0.06666667,1.0,(12|7)
0.06521739,3.0,(20|4)
0.06521739,3.0,(20|5)
0.06382979,3.0,(24|5)
0.06349207,4.0,(12|2)
0.05703422,15.0,(20|6)
0.05555556,2.0,(7|14)
0.05555556,2.0,(9|14)
0.05468750,7.0,(17|5)
0.05217391,6.0,(15|8)
0.05128205,2.0,(23|12)
0.05000000,7.0,(7|48)
0.04635762,7.0,(10|12)
0.04545455,5.0,(17|2)
0.04545455,4.0,(18|9)
0.04452055,13.0,(14|6)
0.04444445,2.0,(28|12)
0.04430380,7.0,(23|37)
0.04347826,4.0,(14|48)
0.04201681,10.0,(10|11)
0.04166667,1.0,(25|10)
0.04102564,8.0,(13|8)
0.04100946,13.0,(30|15)
0.04000000,2.0,(14|14)
0.03954802,7.0,(16|3)
0.03896104,6.0,(14|10)
0.03846154,1.0,(17|9)
0.03809524,4.0,(11|4)
0.03738318,4.0,(20|3)
0.03703704,1.0,(12|4)
0.03703704,1.0,(49|11)
0.03684210,7.0,(17|7)
0.03658536,3.0,(22|6)
0.03488372,6.0,(14|49)
0.03296703,3.0,(21|9)
0.03260870,9.0,(15|1)
0.03252032,4.0,(23|11)
0.03225806,1.0,(19|12)
0.03157895,3.0,(16|49)
0.03144654,5.0,(13|12)
0.03061225,3.0,(10|3)
0.02941176,1.0,(17|10)
0.02843602,6.0,(24|12)
0.02830189,9.0,(27|15)
0.02727273,3.0,(10|45)
0.02673797,5.0,(23|5)
0.02666667,4.0,(19|9)
0.02597403,2.0,(17|3)
0.02564103,1.0,(21|7)
0.02500000,5.0,(15|9)
0.02445652,9.0,(21|0)
0.02419355,3.0,(12|3)
0.02409638,8.0,(12|1)
0.02409638,8.0,(13|49)
0.02348337,12.0,(27|5)
0.02234637,4.0,(8|45)
0.02234637,4.0,(9|45)
0.02222222,1.0,(11|8)
0.02209945,4.0,(6|47)
0.02173913,2.0,(23|8)
0.02150538,2.0,(17|1)
0.02142857,3.0,(11|3)
0.02105263,2.0,(14|7)
0.02061856,2.0,(8|49)
0.02054795,6.0,(18|10)
0.02000000,1.0,(29|21)
0.01960784,1.0,(18|19)
0.01831502,5.0,(15|2)
0.01805054,5.0,(18|13)
0.01694915,1.0,(6|48)
0.01652892,2.0,(21|11)
0.01574803,2.0,(13|15)
0.01562500,2.0,(7|12)
0.01550388,6.0,(17|8)
0.01538462,1.0,(8|48)
0.01538462,1.0,(24|7)
0.01515152,1.0,(17|6)
0.01492537,1.0,(15|20)
0.01473684,7.0,(18|18)
0.01470588,1.0,(13|1)
0.01459854,2.0,(4|9)
0.01449275,2.0,(7|9)
0.01449275,1.0,(14|11)
0.01449275,1.0,(15|14)
0.01449275,4.0,(20|7)
0.01428571,2.0,(4|20)
0.01428571,1.0,(26|28)
0.01421801,6.0,(23|9)
0.01418440,2.0,(14|9)
0.01408451,2.0,(11|23)
0.01401869,3.0,(25|9)
0.01369863,1.0,(7|20)
0.01369863,1.0,(30|21)
0.01333333,2.0,(7|7)
0.01315789,2.0,(9|48)
0.01290323,6.0,(5|20)
0.01290323,6.0,(6|19)
0.01290323,2.0,(16|17)
0.01250000,1.0,(26|15)
0.01244813,3.0,(23|13)
0.01234568,1.0,(0|8)
0.01176471,1.0,(19|1)
0.01162791,6.0,(15|30)
0.01136364,2.0,(13|17)
0.01121495,6.0,(18|11)
0.01111111,2.0,(47|8)
0.01104972,2.0,(13|9)
0.01098901,2.0,(22|7)
0.01069519,2.0,(14|8)
0.01063830,2.0,(8|47)
0.01055409,4.0,(25|11)
0.01045296,3.0,(16|9)
0.01041667,1.0,(18|1)
0.01030928,1.0,(12|9)
0.009708738,1.0,(9|34)
0.009389671,4.0,(23|16)
0.009345794,2.0,(26|10)
0.009259259,1.0,(7|45)
0.009216590,2.0,(13|16)
0.009216590,2.0,(30|20)
