Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 391 | Patent-Prosecution (jp:391,idx:152)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9824923,954.0,(32|26)
0.9824923,954.0,(32|28)
0.9824923,954.0,(33|27)
0.9801193,493.0,(32|25)
0.9801193,493.0,(33|26)
0.9441441,524.0,(32|27)
0.7419355,207.0,(27|43)
0.7051793,177.0,(27|44)
0.6928105,106.0,(31|27)
0.6687898,105.0,(26|42)
0.6465864,161.0,(28|43)
0.5703704,77.0,(25|43)
0.5251142,115.0,(26|43)
0.5143722,340.0,(31|28)
0.5098040,78.0,(22|42)
0.5028302,533.0,(31|26)
0.5000000,89.0,(22|43)
0.4754098,29.0,(23|42)
0.4550898,76.0,(27|42)
0.4545455,70.0,(24|43)
0.4480874,82.0,(25|41)
0.4450867,77.0,(22|41)
0.4220183,92.0,(25|44)
0.4166667,75.0,(19|44)
0.4130435,95.0,(26|39)
0.4096386,34.0,(23|44)
0.4074074,11.0,(18|39)
0.4000000,66.0,(26|41)
0.3717949,58.0,(23|43)
0.3666667,33.0,(23|41)
0.3506494,54.0,(22|44)
0.3454545,19.0,(29|37)
0.3386243,64.0,(31|25)
0.3375000,27.0,(24|46)
0.3333333,4.0,(19|19)
0.3020134,90.0,(21|42)
0.2927928,65.0,(27|37)
0.2871972,83.0,(24|44)
0.2843137,58.0,(20|43)
0.2840909,75.0,(26|44)
0.2811060,61.0,(21|43)
0.2611465,82.0,(30|38)
0.2604167,25.0,(26|38)
0.2565217,59.0,(25|42)
0.2554744,35.0,(21|41)
0.2543860,29.0,(22|40)
0.2500000,42.0,(19|45)
0.2500000,1.0,(30|6)
0.2500000,1.0,(30|31)
0.2500000,1.0,(31|32)
0.2500000,1.0,(47|21)
0.2409639,40.0,(14|44)
0.2389380,27.0,(27|41)
0.2373541,61.0,(16|44)
0.2292490,58.0,(19|43)
0.2267760,83.0,(22|35)
0.2266667,34.0,(28|42)
0.2209302,38.0,(20|44)
0.2198276,51.0,(23|45)
0.2195122,72.0,(19|48)
0.2185431,33.0,(25|34)
0.2127660,40.0,(22|48)
0.2121212,42.0,(24|41)
0.2083333,5.0,(27|39)
0.2080000,26.0,(20|48)
0.2019231,21.0,(17|47)
0.1991870,49.0,(18|44)
0.1984733,26.0,(22|37)
0.1978022,18.0,(28|38)
0.1913580,31.0,(26|35)
0.1911765,13.0,(25|38)
0.1864407,11.0,(0|11)
0.1855670,36.0,(22|45)
0.1815562,63.0,(16|45)
0.1803279,22.0,(21|44)
0.1764706,3.0,(13|47)
0.1764706,51.0,(19|46)
0.1760000,22.0,(22|36)
0.1752137,41.0,(17|46)
0.1750000,7.0,(28|33)
0.1731449,49.0,(21|47)
0.1728395,14.0,(27|40)
0.1705069,37.0,(21|46)
0.1704545,30.0,(24|42)
0.1666667,4.0,(23|33)
0.1654501,68.0,(20|42)
0.1621622,12.0,(23|47)
0.1616162,32.0,(20|45)
0.1602564,25.0,(27|38)
0.1588785,34.0,(18|46)
0.1588235,27.0,(30|35)
0.1585903,36.0,(18|43)
0.1562500,10.0,(20|37)
0.1557971,43.0,(19|47)
0.1551724,18.0,(21|45)
0.1510791,42.0,(15|47)
0.1504425,34.0,(22|47)
0.1491228,17.0,(25|45)
0.1445087,25.0,(17|44)
0.1428571,2.0,(29|32)
0.1393035,28.0,(18|45)
0.1354839,21.0,(17|45)
0.1336516,56.0,(18|47)
0.1333333,12.0,(28|41)
0.1327434,30.0,(20|47)
