Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 393 | Patent-Transactions-Licensing (jp:393,idx:154)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7290323,226.0,(25|40)
0.5953307,306.0,(25|39)
0.5120000,192.0,(24|40)
0.3484848,69.0,(24|41)
0.2923976,50.0,(26|40)
0.2500000,1.0,(23|40)
0.2045455,36.0,(24|42)
0.1748634,32.0,(25|41)
0.1666667,15.0,(23|41)
0.1391304,32.0,(26|39)
0.1311475,8.0,(23|42)
0.1250000,1.0,(23|35)
0.1173913,27.0,(25|42)
0.1000000,1.0,(24|39)
0.09876543,8.0,(27|40)
0.09375000,9.0,(26|38)
0.08849557,10.0,(27|41)
0.08484849,14.0,(26|41)
0.07514451,13.0,(17|44)
0.07500000,3.0,(22|0)
0.07142857,4.0,(3|38)
0.06965174,14.0,(18|45)
0.06628242,23.0,(16|45)
0.06097561,15.0,(18|44)
0.06074766,13.0,(18|46)
0.05263158,4.0,(4|37)
0.05154639,10.0,(22|45)
0.05056180,9.0,(22|43)
0.04807692,5.0,(17|47)
0.04761905,1.0,(21|38)
0.04597701,12.0,(25|32)
0.04216867,7.0,(14|44)
0.04046243,7.0,(22|41)
0.04040404,12.0,(15|44)
0.03921569,2.0,(23|2)
0.03870968,6.0,(17|45)
0.03846154,6.0,(15|46)
0.03846154,6.0,(23|43)
0.03703704,1.0,(49|11)
0.03658536,6.0,(14|42)
0.03571429,6.0,(19|45)
0.03571429,1.0,(19|49)
0.03551913,13.0,(22|35)
0.03333334,6.0,(19|44)
0.03333334,6.0,(26|36)
0.03125000,2.0,(15|45)
0.03114187,9.0,(19|46)
0.03097345,7.0,(20|47)
0.03030303,1.0,(10|47)
0.03030303,6.0,(20|45)
0.03007519,8.0,(16|42)
0.02926829,6.0,(15|42)
0.02912621,3.0,(9|34)
0.02912621,3.0,(17|35)
0.02816901,2.0,(13|45)
0.02764977,6.0,(21|46)
0.02688172,5.0,(19|41)
0.02631579,3.0,(22|40)
0.02604167,10.0,(9|13)
0.02597403,2.0,(13|44)
0.02586207,3.0,(21|45)
0.02473498,7.0,(21|47)
0.02400000,3.0,(49|24)
0.02352941,2.0,(3|37)
0.02352941,4.0,(21|40)
0.02334630,6.0,(16|44)
0.02325581,4.0,(20|44)
0.02247191,6.0,(18|42)
0.02158273,6.0,(15|47)
0.02127660,2.0,(31|48)
0.02094241,4.0,(45|15)
0.02072539,4.0,(16|43)
0.01960784,3.0,(22|42)
0.01948052,3.0,(24|43)
0.01941748,2.0,(15|43)
0.01932367,4.0,(19|39)
0.01886792,2.0,(6|42)
0.01843318,4.0,(21|43)
0.01811594,5.0,(19|47)
0.01801802,2.0,(20|41)
0.01709402,4.0,(17|42)
0.01703163,7.0,(20|42)
0.01670644,7.0,(18|47)
0.01639344,2.0,(22|4)
0.01600000,2.0,(22|36)
0.01544402,8.0,(15|41)
0.01526718,2.0,(22|37)
0.01515152,2.0,(1|21)
0.01470588,3.0,(20|43)
0.01470588,1.0,(25|38)
0.01463415,3.0,(15|39)
0.01459854,2.0,(21|41)
0.01438849,2.0,(26|32)
0.01408451,3.0,(17|41)
0.01369863,2.0,(17|37)
0.01360544,4.0,(24|2)
0.01342282,4.0,(21|42)
0.01327434,3.0,(22|47)
0.01324503,2.0,(25|34)
0.01315789,2.0,(9|48)
0.01290323,2.0,(20|35)
0.01290323,2.0,(27|34)
0.01265823,1.0,(11|7)
0.01260504,3.0,(10|11)
0.01226994,2.0,(48|24)
0.01219512,2.0,(49|18)
0.01162791,2.0,(14|49)
0.01136364,1.0,(14|36)
0.01129944,2.0,(16|39)
0.01111111,2.0,(18|41)
0.01102941,3.0,(4|40)
0.01102941,3.0,(5|40)
0.01102941,3.0,(5|41)
0.01081081,2.0,(13|43)
0.01055409,4.0,(24|35)
0.01052632,1.0,(16|49)
0.01041667,3.0,(21|37)
0.01030928,1.0,(46|16)
0.01025641,4.0,(17|36)
0.01012658,4.0,(31|44)
0.01010101,4.0,(27|0)
0.009677419,3.0,(16|41)
0.009404388,3.0,(21|36)
0.009389671,2.0,(18|40)
0.009345794,1.0,(29|45)
0.009287925,3.0,(14|43)
0.009259259,2.0,(17|43)
0.009146341,3.0,(19|48)
0.009132420,2.0,(21|39)
0.009080591,8.0,(30|34)
0.008968610,2.0,(8|12)
0.008968610,2.0,(44|29)
0.008928572,1.0,(24|32)
0.008849557,3.0,(18|48)
0.008849557,4.0,(32|14)
0.008810572,2.0,(18|43)
0.008620690,1.0,(10|35)
0.008403362,2.0,(20|46)
0.008356546,3.0,(12|46)
0.008080808,4.0,(20|38)
0.008032128,2.0,(28|0)
0.008000000,1.0,(20|48)
0.007905139,2.0,(19|43)
0.007874016,1.0,(10|21)
0.007782101,2.0,(26|34)
0.007751938,1.0,(1|17)
0.007692308,3.0,(19|0)
0.007518797,6.0,(23|34)
0.007246377,2.0,(15|1)
0.007246377,2.0,(19|38)
0.006880734,3.0,(25|33)
0.006779661,2.0,(14|47)
0.006666667,1.0,(46|31)
0.006622517,1.0,(22|33)
0.006535948,1.0,(6|44)
0.006493506,2.0,(20|40)
0.006329114,1.0,(47|13)
0.006289308,1.0,(18|38)
0.006250000,1.0,(15|49)
0.006250000,1.0,(22|46)
0.006060606,1.0,(6|14)
0.006060606,2.0,(28|11)
0.005882353,1.0,(30|35)
0.005797102,2.0,(22|39)
0.005780347,1.0,(21|32)
0.005747126,2.0,(6|40)
0.005747126,2.0,(7|40)
0.005747126,2.0,(7|41)
0.005747126,1.0,(49|34)
0.005494506,1.0,(24|3)
0.005235602,1.0,(10|27)
0.005208333,1.0,(45|8)
0.005167959,2.0,(17|8)
0.004901961,1.0,(47|20)
0.004716981,3.0,(28|34)
0.004484305,1.0,(26|7)
0.004464286,1.0,(14|45)
0.004464286,1.0,(14|46)
0.004366812,2.0,(23|31)
0.004273504,1.0,(17|46)
0.004184100,1.0,(5|39)
0.004016064,2.0,(22|26)
0.003846154,1.0,(20|39)
0.003831418,1.0,(9|43)
0.003816794,1.0,(34|4)
0.003802281,1.0,(20|6)
0.003787879,1.0,(15|12)
0.003770028,4.0,(25|12)
0.003759399,2.0,(21|35)
0.003623188,1.0,(13|35)
0.003424658,1.0,(18|10)
0.003311258,2.0,(29|33)
0.003311258,1.0,(34|11)
0.003194888,1.0,(22|28)
0.003067485,1.0,(26|31)
0.003030303,1.0,(24|29)
0.003021148,1.0,(27|36)
0.003003003,1.0,(42|17)
0.002906977,1.0,(48|15)
0.002873563,1.0,(32|3)
0.002849003,1.0,(29|48)
0.002820875,2.0,(19|31)
0.002631579,1.0,(1|12)
0.002439024,1.0,(36|19)
0.002439024,1.0,(47|9)
0.002433090,1.0,(22|34)
0.002421308,1.0,(15|48)
0.002192982,1.0,(13|37)
0.002188184,2.0,(30|32)
0.001890359,1.0,(24|45)
0.001748252,1.0,(8|42)
0.001745201,1.0,(30|14)
0.001661130,1.0,(19|20)
0.001642036,1.0,(44|17)
0.001623377,2.0,(28|30)
0.001610306,1.0,(9|12)
0.001584786,1.0,(19|42)
0.001529052,1.0,(31|21)
0.001272265,1.0,(6|46)
