Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 394 | International-FCPA (jp:394,idx:155)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,3.0,(33|20)
0.9672131,413.0,(32|20)
0.9638158,586.0,(31|19)
0.9000000,261.0,(32|19)
0.8235294,28.0,(33|19)
0.6910113,123.0,(29|46)
0.5982143,67.0,(28|45)
0.5140187,55.0,(29|45)
0.4736842,135.0,(29|47)
0.4702602,253.0,(28|46)
0.4545455,10.0,(32|47)
0.4460432,62.0,(30|46)
0.3867925,41.0,(30|45)
0.3333333,1.0,(23|30)
0.3333333,2.0,(28|1)
0.3333333,2.0,(32|46)
0.3085106,29.0,(30|47)
0.2592593,7.0,(28|44)
0.2121212,21.0,(31|45)
0.2000000,1.0,(1|4)
0.2000000,1.0,(21|22)
0.1666667,17.0,(28|47)
0.1578947,3.0,(27|49)
0.1475410,9.0,(28|3)
0.1475410,9.0,(29|2)
0.1363636,15.0,(10|45)
0.1312057,37.0,(29|44)
0.1254902,32.0,(31|46)
0.1212121,12.0,(31|47)
0.1149425,20.0,(32|45)
0.1111111,3.0,(9|35)
0.1111111,3.0,(10|34)
0.1071429,3.0,(25|0)
0.1000000,2.0,(12|26)
0.1000000,1.0,(24|39)
0.09523810,32.0,(28|2)
0.09090909,2.0,(22|32)
0.07692308,1.0,(30|42)
0.07272727,4.0,(17|0)
0.07142857,2.0,(10|22)
0.06944445,15.0,(30|48)
0.06666667,5.0,(12|32)
0.06451613,8.0,(26|48)
0.06382979,3.0,(14|31)
0.06122449,6.0,(10|3)
0.06034483,7.0,(10|35)
0.05925926,8.0,(30|44)
0.05829597,13.0,(8|12)
0.05555556,2.0,(7|14)
0.05555556,2.0,(9|14)
0.05555556,1.0,(26|47)
0.05405406,2.0,(48|10)
0.05357143,3.0,(14|1)
0.05357143,6.0,(27|3)
0.05319149,5.0,(31|48)
0.05128205,2.0,(14|32)
0.05000000,1.0,(46|21)
0.05000000,1.0,(48|21)
0.04761905,14.0,(24|2)
0.04580153,6.0,(8|0)
0.04580153,6.0,(9|4)
0.04166667,1.0,(25|10)
0.03937008,5.0,(13|15)
0.03750000,3.0,(26|15)
0.03738318,8.0,(26|10)
0.03658536,3.0,(25|2)
0.03614458,18.0,(22|26)
0.03225806,1.0,(5|2)
0.03125000,1.0,(1|9)
0.03030303,3.0,(26|2)
0.03012048,5.0,(23|23)
0.02989130,11.0,(21|0)
0.02898551,10.0,(12|10)
0.02857143,1.0,(30|49)
0.02816901,2.0,(12|30)
0.02702703,1.0,(4|5)
0.02692308,7.0,(26|49)
0.02544031,13.0,(27|5)
0.02507837,8.0,(21|36)
0.02439024,3.0,(15|3)
0.02439024,1.0,(22|27)
0.02409638,2.0,(29|16)
0.02400000,3.0,(49|24)
0.02278481,9.0,(31|44)
0.02222222,3.0,(12|37)
0.02173913,2.0,(14|48)
0.02127660,1.0,(19|23)
0.02127660,1.0,(20|22)
0.02127660,4.0,(24|28)
0.02061856,8.0,(11|49)
0.02000000,4.0,(21|26)
0.02000000,4.0,(23|26)
0.01994302,7.0,(29|48)
0.01951220,4.0,(13|25)
0.01935484,6.0,(25|48)
0.01923077,1.0,(16|27)
0.01904762,2.0,(9|46)
0.01869159,2.0,(2|34)
0.01754386,1.0,(4|21)
0.01754386,1.0,(5|21)
0.01754386,1.0,(29|13)
0.01754386,2.0,(48|6)
0.01739130,4.0,(49|13)
0.01724138,1.0,(2|16)
0.01694915,1.0,(29|43)
0.01652892,2.0,(12|34)
0.01648352,3.0,(24|3)
0.01562500,2.0,(15|28)
0.01551481,11.0,(19|31)
0.01515152,3.0,(12|36)
0.01510574,5.0,(30|12)
0.01470588,1.0,(13|1)
0.01456954,11.0,(21|25)
0.01456954,11.0,(23|25)
0.01392758,5.0,(12|46)
0.01369863,1.0,(1|7)
0.01351351,1.0,(23|47)
0.01282051,1.0,(21|27)
0.01255230,3.0,(13|4)
0.01250000,1.0,(12|20)
0.01250000,1.0,(49|7)
0.01186944,4.0,(30|43)
0.01176471,1.0,(0|28)
0.01176471,1.0,(19|1)
0.01158301,6.0,(15|41)
0.01149425,2.0,(13|41)
0.01149425,2.0,(13|42)
0.01123596,1.0,(14|22)
0.01117318,2.0,(40|5)
0.01111111,1.0,(15|25)
0.01104972,2.0,(6|47)
0.01075269,3.0,(24|0)
0.01060071,3.0,(24|38)
0.01041667,3.0,(21|37)
0.01010101,1.0,(11|28)
0.009756098,2.0,(15|42)
0.009546540,4.0,(9|6)
0.009425071,10.0,(25|12)
0.009367681,4.0,(23|32)
0.009259259,2.0,(5|48)
0.009132420,2.0,(23|1)
0.008928572,1.0,(16|37)
0.008849557,5.0,(15|32)
0.008849557,3.0,(28|13)
0.008849557,4.0,(32|14)
0.008771930,8.0,(22|25)
0.008733625,4.0,(23|31)
0.008547009,2.0,(9|38)
0.008547009,1.0,(21|5)
0.008474576,1.0,(43|17)
0.008403362,2.0,(10|11)
0.008042895,3.0,(8|3)
0.007936508,1.0,(6|34)
0.007936508,1.0,(47|7)
0.007812500,3.0,(9|13)
0.007692308,1.0,(0|9)
0.007604563,2.0,(7|46)
0.007547170,2.0,(25|49)
