Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 420 | Litigation-Discovery (jp:420,idx:176)
Class Probability,Ex Count at BMU,BMU Map Loc
0.6755162,229.0,(28|13)
0.6315789,36.0,(29|13)
0.5105740,338.0,(27|13)
0.4285714,6.0,(27|12)
0.2857143,2.0,(26|13)
0.2444444,11.0,(28|12)
0.1304348,6.0,(20|4)
0.1304348,6.0,(20|5)
0.1276596,6.0,(24|5)
0.1196581,14.0,(21|5)
0.09090909,14.0,(22|44)
0.08928572,5.0,(14|1)
0.08333334,2.0,(25|10)
0.06666667,2.0,(22|2)
0.06250000,1.0,(21|6)
0.06060606,2.0,(22|1)
0.05813954,5.0,(19|3)
0.05000000,1.0,(21|2)
0.04672897,5.0,(3|6)
0.04629629,5.0,(22|5)
0.04347826,1.0,(20|11)
0.04098361,5.0,(22|4)
0.04054054,3.0,(19|5)
0.03846154,1.0,(16|7)
0.03846154,1.0,(17|9)
0.03759398,5.0,(7|47)
0.03731343,5.0,(27|9)
0.03571429,2.0,(9|1)
0.03546099,5.0,(31|0)
0.03409091,3.0,(5|9)
0.03389831,2.0,(6|48)
0.03358209,9.0,(21|1)
0.03333334,4.0,(11|24)
0.03191489,6.0,(8|47)
0.03125000,2.0,(15|45)
0.03100775,4.0,(21|4)
0.03061225,3.0,(10|3)
0.03048781,5.0,(14|42)
0.03041825,8.0,(7|46)
0.02941176,1.0,(9|15)
0.02941176,1.0,(11|14)
0.02928870,7.0,(13|4)
0.02803738,3.0,(20|3)
0.02727273,6.0,(6|37)
0.02678571,3.0,(27|3)
0.02661597,7.0,(20|6)
0.02409638,2.0,(7|39)
0.02409638,2.0,(8|39)
0.02409638,2.0,(8|40)
0.02380952,1.0,(1|6)
0.02362205,3.0,(13|15)
0.02222222,4.0,(26|36)
0.02222222,1.0,(47|11)
0.02197802,2.0,(21|9)
0.02150538,2.0,(4|17)
0.02083333,1.0,(7|4)
0.02083333,2.0,(18|1)
0.02040816,1.0,(20|2)
0.02013423,3.0,(15|10)
0.01941748,2.0,(10|49)
0.01941748,2.0,(15|43)
0.01851852,2.0,(7|45)
0.01818182,1.0,(11|35)
0.01744186,3.0,(14|49)
0.01724138,2.0,(7|5)
0.01694915,7.0,(15|48)
0.01666667,3.0,(18|41)
0.01652892,2.0,(7|44)
0.01639344,1.0,(4|16)
0.01630435,3.0,(37|6)
0.01604278,3.0,(23|5)
0.01604278,3.0,(28|9)
0.01587302,1.0,(12|2)
0.01550388,2.0,(3|13)
0.01550388,6.0,(17|8)
0.01550388,2.0,(49|17)
0.01515152,1.0,(5|46)
0.01488095,5.0,(28|2)
0.01449275,1.0,(12|23)
0.01444043,4.0,(29|4)
0.01408451,2.0,(11|23)
0.01399491,11.0,(6|46)
0.01369863,1.0,(11|12)
0.01360544,2.0,(24|10)
0.01351351,2.0,(13|22)
0.01351351,1.0,(47|12)
0.01315789,1.0,(20|1)
0.01298701,2.0,(14|10)
0.01290323,2.0,(19|8)
0.01282051,2.0,(12|33)
0.01260504,3.0,(10|11)
0.01257862,4.0,(27|15)
0.01250000,1.0,(8|5)
0.01250000,2.0,(15|49)
0.01234568,2.0,(9|37)
0.01234568,2.0,(10|37)
0.01219512,2.0,(48|22)
0.01176471,2.0,(21|40)
0.01176471,2.0,(23|14)
0.01123596,6.0,(23|3)
0.01123596,6.0,(23|4)
0.01098901,1.0,(3|11)
0.01092896,2.0,(29|12)
0.01069519,2.0,(14|8)
0.01052632,1.0,(16|49)
0.01030928,4.0,(11|49)
0.01010101,1.0,(31|47)
0.01000000,2.0,(15|9)
0.009803922,2.0,(15|29)
0.009708738,1.0,(9|34)
0.009523810,1.0,(9|46)
0.009259259,1.0,(21|3)
0.009216590,2.0,(48|29)
0.009174312,1.0,(6|5)
0.009174312,1.0,(14|13)
0.009090909,1.0,(10|45)
0.009090909,1.0,(17|2)
0.008928572,1.0,(28|45)
0.008771930,1.0,(22|40)
0.008264462,2.0,(26|5)
0.008196721,1.0,(20|16)
0.008064516,1.0,(25|5)
0.008032128,2.0,(17|28)
0.007936508,1.0,(5|18)
0.007905139,2.0,(32|12)
0.007751938,1.0,(47|34)
0.007633588,1.0,(22|37)
0.007547170,2.0,(25|49)
0.007518797,1.0,(13|5)
0.007352941,1.0,(19|10)
0.007299270,1.0,(21|41)
0.007299270,1.0,(26|8)
0.007246377,2.0,(20|7)
0.007092198,2.0,(16|13)
0.007079646,4.0,(29|10)
0.006968641,2.0,(46|22)
0.006622517,1.0,(10|12)
0.006578947,1.0,(9|48)
0.006493506,2.0,(33|12)
0.006451613,3.0,(5|20)
0.006451613,3.0,(6|19)
0.006410256,1.0,(6|4)
0.006309148,2.0,(30|15)
0.006289308,1.0,(13|12)
0.006289308,1.0,(48|18)
0.006250000,1.0,(45|20)
0.006211180,1.0,(2|13)
0.006172840,1.0,(4|15)
0.006097561,1.0,(17|20)
0.006060606,2.0,(28|11)
0.005870841,3.0,(27|5)
0.005865103,2.0,(29|7)
0.005797102,2.0,(12|10)
0.005747126,2.0,(32|3)
0.005703422,3.0,(19|28)
0.005681818,1.0,(13|17)
0.005617978,1.0,(13|13)
0.005586592,1.0,(8|45)
0.005586592,1.0,(9|45)
0.005464481,1.0,(3|35)
0.005420054,2.0,(27|7)
0.005347594,1.0,(18|0)
0.005319149,1.0,(11|5)
0.005263158,1.0,(17|7)
0.005167959,2.0,(21|23)
0.005128205,1.0,(13|8)
0.005128205,1.0,(14|18)
0.005128205,1.0,(20|9)
0.004773270,2.0,(26|14)
0.004761905,1.0,(10|2)
0.004672897,1.0,(26|10)
0.004629630,1.0,(30|48)
0.004484305,1.0,(8|12)
0.004405286,1.0,(24|31)
0.004366812,2.0,(23|31)
0.003921569,1.0,(31|46)
0.003906250,1.0,(28|40)
0.003787879,1.0,(26|44)
0.003773585,1.0,(48|2)
0.003731343,1.0,(5|36)
0.003724395,2.0,(25|28)
0.003616637,2.0,(11|22)
0.003597122,1.0,(15|47)
0.003460208,1.0,(30|7)
0.003424658,2.0,(8|20)
0.003424658,1.0,(18|10)
0.003424658,1.0,(31|16)
0.003401360,1.0,(13|3)
0.003311258,1.0,(4|3)
0.003289474,1.0,(27|11)
0.002967359,2.0,(25|31)
0.002898551,1.0,(22|39)
0.002873563,1.0,(37|5)
0.002785515,1.0,(12|46)
0.002706360,2.0,(28|14)
0.002702703,1.0,(17|26)
0.002638523,1.0,(24|35)
0.002531646,2.0,(9|3)
0.002439024,1.0,(36|19)
0.002421308,1.0,(22|3)
0.002409639,1.0,(17|40)
0.002267574,1.0,(20|10)
0.002257336,1.0,(8|14)
0.002118644,1.0,(21|14)
0.002053388,1.0,(27|19)
0.001976285,1.0,(46|19)
0.001879699,1.0,(21|35)
0.001745201,1.0,(30|14)
0.001610306,1.0,(9|12)
0.001449275,1.0,(12|21)
0.001406470,1.0,(32|9)
0.001253133,1.0,(23|34)
0.001096491,1.0,(22|25)
