Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 424 | Litigation-Trial-Techniques (jp:424,idx:180)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7686062,568.0,(28|14)
0.6580086,304.0,(27|14)
0.4000000,4.0,(28|15)
0.2631579,20.0,(20|1)
0.1666667,1.0,(13|0)
0.1666667,18.0,(22|5)
0.1666667,1.0,(28|1)
0.1538462,4.0,(11|48)
0.1367521,16.0,(21|5)
0.1351351,5.0,(4|5)
0.1111111,5.0,(28|12)
0.1046512,9.0,(19|3)
0.1000000,2.0,(8|6)
0.08888889,4.0,(19|2)
0.08556150,16.0,(23|5)
0.08264463,20.0,(26|5)
0.08163265,4.0,(20|2)
0.07692308,3.0,(6|2)
0.07692308,1.0,(10|46)
0.07272727,4.0,(3|7)
0.06666667,1.0,(32|10)
0.06250000,3.0,(7|4)
0.06250000,1.0,(24|4)
0.06185567,6.0,(8|49)
0.06060606,2.0,(23|6)
0.05604720,19.0,(28|13)
0.05412371,21.0,(11|49)
0.05357143,6.0,(27|3)
0.05263158,7.0,(7|47)
0.05263158,1.0,(21|49)
0.04819277,4.0,(23|44)
0.04672897,5.0,(3|6)
0.04672897,5.0,(25|4)
0.04629629,5.0,(21|3)
0.04562738,12.0,(7|46)
0.04545455,1.0,(5|3)
0.04444445,4.0,(28|41)
0.04347826,1.0,(23|15)
0.04285714,6.0,(11|3)
0.04255319,2.0,(9|30)
0.04166667,1.0,(25|10)
0.04145078,8.0,(17|48)
0.04081633,12.0,(13|3)
0.04054054,3.0,(19|5)
0.03773585,2.0,(3|4)
0.03738318,4.0,(20|3)
0.03571429,2.0,(9|1)
0.03488372,3.0,(19|4)
0.03422053,9.0,(20|6)
0.03333334,1.0,(22|11)
0.03311258,5.0,(10|12)
0.03278688,2.0,(2|8)
0.03225806,4.0,(25|5)
0.03100775,4.0,(21|4)
0.03030303,2.0,(5|46)
0.02976190,10.0,(28|2)
0.02919708,4.0,(26|8)
0.02909091,8.0,(12|5)
0.02898551,2.0,(15|14)
0.02857143,3.0,(9|46)
0.02857143,1.0,(47|29)
0.02836879,4.0,(31|0)
0.02777778,1.0,(7|14)
0.02777778,1.0,(9|14)
0.02777778,4.0,(26|12)
0.02702703,1.0,(48|10)
0.02631579,4.0,(11|10)
0.02580645,4.0,(19|8)
0.02564103,2.0,(3|8)
0.02564103,7.0,(15|2)
0.02439024,3.0,(23|11)
0.02409638,2.0,(7|39)
0.02409638,2.0,(8|39)
0.02409638,2.0,(8|40)
0.02397260,7.0,(18|10)
0.02343750,3.0,(7|12)
0.02325581,2.0,(11|47)
0.02325581,2.0,(12|48)
0.02325581,3.0,(14|2)
0.02290076,18.0,(6|46)
0.02255639,3.0,(13|5)
0.02197802,2.0,(3|11)
0.02197802,2.0,(10|4)
0.02197802,2.0,(47|10)
0.02150538,10.0,(5|20)
0.02150538,10.0,(6|19)
0.02127660,4.0,(11|5)
0.02105263,2.0,(16|49)
0.02092050,5.0,(13|4)
0.02083333,2.0,(18|1)
0.02040816,1.0,(0|10)
0.02040816,2.0,(10|3)
0.02040816,3.0,(24|10)
0.02000000,2.0,(13|24)
0.02000000,3.0,(19|9)
0.01990050,4.0,(32|11)
0.01960784,1.0,(18|19)
0.01960784,2.0,(19|11)
0.01941748,2.0,(9|34)
0.01941748,2.0,(21|12)
0.01937046,8.0,(15|48)
0.01935484,3.0,(16|17)
0.01892745,6.0,(18|7)
0.01857585,6.0,(29|9)
0.01818182,1.0,(17|0)
0.01818182,2.0,(17|2)
0.01739130,2.0,(6|3)
0.01739130,2.0,(15|8)
0.01724138,1.0,(0|5)
0.01724138,2.0,(7|5)
0.01694915,7.0,(22|3)
0.01685393,3.0,(13|13)
0.01675978,3.0,(8|45)
0.01675978,3.0,(9|45)
0.01666667,3.0,(47|8)
0.01652892,2.0,(21|11)
0.01639344,1.0,(28|3)
0.01639344,1.0,(29|2)
0.01626016,6.0,(27|7)
0.01538462,1.0,(26|19)
0.01515152,5.0,(28|11)
0.01515152,2.0,(49|9)
0.01492537,4.0,(21|1)
0.01492537,1.0,(21|8)
0.01470588,2.0,(19|10)
0.01449275,2.0,(4|18)
0.01449275,1.0,(16|10)
0.01449275,1.0,(28|7)
0.01438849,2.0,(49|6)
0.01428571,2.0,(4|20)
0.01428571,1.0,(16|2)
0.01369863,1.0,(1|7)
0.01327434,3.0,(20|47)
0.01315789,4.0,(27|11)
0.01250000,1.0,(8|22)
0.01250000,2.0,(15|49)
0.01250000,1.0,(19|7)
0.01234568,2.0,(9|37)
0.01234568,2.0,(10|37)
0.01234568,1.0,(27|45)
0.01232033,6.0,(27|19)
0.01219512,2.0,(14|42)
0.01219512,1.0,(22|6)
0.01190476,1.0,(2|7)
0.01176471,5.0,(22|12)
0.01173021,4.0,(29|7)
0.01136364,1.0,(18|9)
0.01123596,2.0,(22|43)
0.01111111,1.0,(15|25)
0.01092896,2.0,(29|12)
0.01086957,3.0,(20|7)
0.01086957,2.0,(37|6)
0.01075269,3.0,(24|0)
0.01069519,2.0,(18|0)
0.01052632,5.0,(18|18)
0.01041667,3.0,(8|19)
0.01038062,3.0,(30|7)
0.01033592,4.0,(21|23)
0.01025641,4.0,(19|0)
0.01010101,1.0,(31|45)
0.009950249,2.0,(5|33)
0.009900990,1.0,(8|32)
0.009900990,1.0,(20|0)
0.009661836,6.0,(9|12)
0.009523810,1.0,(43|30)
0.009433962,3.0,(27|15)
0.009345794,2.0,(25|9)
0.009259259,1.0,(7|45)
0.009259259,2.0,(30|48)
0.009216590,2.0,(19|18)
0.009111618,4.0,(24|37)
0.009070295,4.0,(20|10)
0.009041592,5.0,(11|22)
0.009036144,3.0,(12|1)
0.009036144,3.0,(13|49)
0.008928572,1.0,(27|8)
0.008810572,2.0,(7|0)
0.008810572,2.0,(7|1)
0.008695652,1.0,(8|46)
0.008547009,2.0,(9|38)
0.008474576,1.0,(43|17)
0.008174387,3.0,(24|27)
0.008064516,1.0,(12|3)
0.007936508,1.0,(5|18)
0.007936508,1.0,(17|29)
0.007905139,2.0,(0|14)
0.007874016,1.0,(41|19)
0.007812500,1.0,(25|6)
0.007751938,1.0,(3|13)
0.007751938,4.0,(15|30)
0.007751938,3.0,(17|8)
0.007462686,4.0,(5|5)
0.007393715,4.0,(16|20)
0.007299270,1.0,(4|9)
0.007263923,3.0,(17|30)
0.007194245,2.0,(15|47)
0.007079646,4.0,(29|10)
0.007042253,1.0,(11|23)
