Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 427 | Foreign Business (jp:427,idx:183)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9730988,1881.0,(35|28)
0.9199549,816.0,(34|27)
0.9025974,417.0,(36|28)
0.8100000,81.0,(34|28)
0.7509881,380.0,(37|28)
0.6120690,71.0,(37|29)
0.5897436,23.0,(35|27)
0.5830258,158.0,(36|29)
0.5555556,5.0,(37|1)
0.4623656,129.0,(36|27)
0.4615385,168.0,(42|47)
0.4603175,87.0,(38|28)
0.4440678,131.0,(35|29)
0.4352078,178.0,(38|29)
0.4270833,41.0,(42|48)
0.4166667,5.0,(2|4)
0.4000000,8.0,(39|1)
0.4000000,4.0,(41|49)
0.3529412,144.0,(37|30)
0.3406594,31.0,(41|6)
0.3404255,16.0,(3|44)
0.3333333,2.0,(38|13)
0.3278688,60.0,(41|48)
0.3066667,23.0,(38|30)
0.3037037,41.0,(37|27)
0.3000000,6.0,(42|49)
0.2924528,62.0,(41|47)
0.2848837,49.0,(39|29)
0.2846154,37.0,(38|27)
0.2766798,70.0,(42|46)
0.2721089,40.0,(44|46)
0.2666667,8.0,(40|13)
0.2432432,45.0,(44|47)
0.2424242,8.0,(4|44)
0.2365591,44.0,(43|47)
0.2317073,19.0,(37|3)
0.2295082,14.0,(34|26)
0.2162162,32.0,(40|48)
0.2131148,26.0,(34|45)
0.2098361,64.0,(36|30)
0.2083333,15.0,(49|3)
0.2035398,23.0,(40|0)
0.2016807,24.0,(44|48)
0.2000000,4.0,(42|10)
0.1891892,35.0,(39|48)
0.1864407,22.0,(41|5)
0.1818182,2.0,(39|27)
0.1796610,53.0,(41|45)
0.1794872,7.0,(3|46)
0.1785714,40.0,(43|46)
0.1770335,37.0,(4|46)
0.1770335,37.0,(44|49)
0.1694915,30.0,(37|14)
0.1693122,32.0,(43|49)
0.1666667,1.0,(31|38)
0.1666667,3.0,(39|0)
0.1558442,12.0,(42|3)
0.1536050,49.0,(35|30)
0.1521739,21.0,(43|9)
0.1517857,34.0,(48|48)
0.1510791,21.0,(4|45)
0.1505017,45.0,(41|46)
0.1476091,71.0,(44|10)
0.1474359,23.0,(40|49)
0.1449275,10.0,(39|28)
0.1417323,18.0,(30|41)
0.1413613,27.0,(42|45)
0.1365462,34.0,(39|49)
0.1333333,34.0,(40|47)
0.1319797,26.0,(47|46)
0.1319444,19.0,(38|41)
0.1267123,37.0,(43|48)
0.1250000,13.0,(46|46)
0.1250000,6.0,(49|46)
0.1233596,47.0,(39|41)
0.1230769,8.0,(44|0)
0.1229050,22.0,(40|5)
0.1203008,16.0,(37|2)
0.1201550,31.0,(43|10)
0.1193182,21.0,(45|46)
0.1176471,18.0,(0|43)
0.1176471,20.0,(4|47)
0.1168831,9.0,(39|9)
0.1167883,32.0,(43|45)
0.1159420,8.0,(38|42)
0.1159420,8.0,(40|2)
0.1157407,25.0,(37|9)
0.1101695,13.0,(44|45)
0.1078431,22.0,(40|9)
0.1074380,13.0,(42|11)
0.1071429,3.0,(36|44)
0.1050584,27.0,(41|4)
0.1050584,27.0,(45|45)
0.1043956,19.0,(37|31)
0.1033333,31.0,(48|46)
0.1029412,14.0,(2|45)
0.1020408,20.0,(35|45)
0.1003345,30.0,(47|45)
0.09836066,12.0,(42|12)
0.09826589,17.0,(33|40)
0.09826589,17.0,(33|41)
0.09803922,5.0,(36|47)
0.09638554,8.0,(0|45)
0.09547739,19.0,(47|48)
0.09523810,14.0,(39|7)
0.09278350,9.0,(2|2)
0.09126984,23.0,(37|40)
0.08992806,25.0,(40|46)
0.08536585,21.0,(39|6)
0.08391608,36.0,(37|26)
0.08333334,3.0,(4|2)
0.08333334,1.0,(49|45)
0.08235294,7.0,(35|41)
0.08219178,42.0,(45|47)
0.07894737,18.0,(39|47)
0.07878788,26.0,(37|13)
0.07692308,2.0,(2|43)
0.07692308,2.0,(40|10)
0.07563026,9.0,(40|6)
0.07438017,9.0,(2|47)
0.07407407,6.0,(45|6)
0.07407407,20.0,(45|48)
0.07272727,20.0,(36|9)
0.07258064,9.0,(49|47)
0.07250000,29.0,(1|44)
0.07246377,15.0,(49|42)
0.07207207,8.0,(43|14)
0.07189543,11.0,(41|2)
0.06914894,13.0,(35|46)
0.06896552,4.0,(34|41)
0.06896552,4.0,(37|41)
0.06857143,12.0,(42|5)
0.06748466,11.0,(48|45)
0.06735751,13.0,(34|29)
0.06711409,10.0,(3|0)
0.06666667,1.0,(41|18)
0.06629834,12.0,(44|36)
0.06593407,6.0,(30|39)
0.06578948,20.0,(38|2)
0.06481481,7.0,(2|46)
0.06313131,25.0,(39|3)
0.06282722,12.0,(36|41)
0.06250000,5.0,(34|39)
0.06250000,16.0,(45|43)
0.06108597,27.0,(34|44)
0.05960265,9.0,(38|9)
0.05957447,14.0,(45|40)
0.05882353,2.0,(45|32)
0.05714286,8.0,(36|43)
0.05714286,6.0,(40|12)
0.05714286,4.0,(43|13)
0.05714286,6.0,(46|35)
0.05673759,8.0,(42|14)
0.05607476,6.0,(47|4)
0.05594406,8.0,(0|46)
0.05590062,9.0,(42|6)
0.05555556,12.0,(34|46)
0.05555556,6.0,(45|5)
0.05555556,3.0,(48|0)
0.05485232,13.0,(48|41)
0.05464481,10.0,(3|48)
0.05445544,11.0,(46|47)
0.05442177,8.0,(44|42)
0.05357143,9.0,(42|2)
0.05325444,9.0,(0|4)
0.05283019,14.0,(42|44)
0.05263158,3.0,(36|2)
0.05263158,3.0,(44|31)
0.05172414,15.0,(42|0)
0.05113636,9.0,(1|42)
0.05063291,8.0,(0|20)
0.05035971,7.0,(2|48)
0.05000000,5.0,(3|49)
0.04958678,6.0,(38|1)
0.04938272,16.0,(2|1)
0.04918033,24.0,(48|3)
0.04895105,7.0,(43|8)
0.04635762,7.0,(37|11)
