Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 469 | Health Business Physician Groups (jp:469,idx:204)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3709677,23.0,(34|19)
0.3200000,24.0,(6|15)
0.1333333,2.0,(6|16)
0.07692308,1.0,(2|21)
0.05882353,2.0,(1|19)
0.05185185,7.0,(5|15)
0.04347826,1.0,(20|11)
0.03508772,2.0,(4|21)
0.03030303,5.0,(6|14)
0.02941176,1.0,(3|12)
0.02941176,2.0,(45|17)
0.02888087,8.0,(4|14)
0.02500000,2.0,(30|1)
0.02325581,1.0,(3|14)
0.02325581,2.0,(24|47)
0.02272727,2.0,(5|16)
0.02061856,2.0,(46|16)
0.01785714,1.0,(42|16)
0.01739130,2.0,(5|14)
0.01449275,1.0,(3|21)
0.01408451,2.0,(4|13)
0.01388889,3.0,(1|13)
0.01388889,2.0,(2|14)
0.01315789,2.0,(9|48)
0.01242236,2.0,(2|13)
0.01234568,2.0,(4|15)
0.01234568,4.0,(46|17)
0.01219512,1.0,(45|18)
0.01117318,2.0,(2|15)
0.01052632,4.0,(1|12)
0.01010101,2.0,(12|41)
0.009708738,1.0,(10|49)
0.009523810,1.0,(46|35)
0.008982036,3.0,(6|12)
0.008771930,1.0,(30|0)
0.007092198,2.0,(2|12)
0.006944444,1.0,(26|12)
0.006849315,1.0,(29|49)
0.006329114,1.0,(0|20)
0.006097561,1.0,(49|18)
0.005555556,1.0,(6|45)
0.005208333,1.0,(45|8)
0.005141388,2.0,(45|16)
0.005128205,2.0,(35|19)
0.005128205,2.0,(35|20)
0.004672897,1.0,(25|9)
0.004444445,1.0,(0|13)
0.004366812,1.0,(21|31)
0.003906250,1.0,(34|3)
0.003846154,1.0,(26|49)
0.003584229,1.0,(44|16)
0.003322259,1.0,(1|26)
0.003210273,2.0,(48|13)
0.003154574,1.0,(18|7)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002976191,1.0,(28|2)
0.002493766,1.0,(32|4)
