Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 470 | Health Business Telemedicine (jp:470,idx:205)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3394737,129.0,(1|12)
0.3191489,90.0,(2|12)
0.1449275,10.0,(3|21)
0.1205128,47.0,(35|19)
0.1205128,47.0,(35|20)
0.1162791,5.0,(3|14)
0.09316770,15.0,(2|13)
0.07284768,11.0,(5|17)
0.05882353,2.0,(3|12)
0.05405406,2.0,(3|16)
0.05000000,4.0,(30|1)
0.03703704,5.0,(5|15)
0.03100775,4.0,(3|13)
0.03086420,5.0,(4|15)
0.02888087,8.0,(4|14)
0.02702703,2.0,(4|12)
0.02608696,3.0,(5|14)
0.02380952,1.0,(18|37)
0.02366864,4.0,(3|15)
0.02105263,2.0,(16|49)
0.02083333,3.0,(2|14)
0.01923077,1.0,(3|22)
0.01818182,3.0,(6|14)
0.01754386,1.0,(4|21)
0.01671309,6.0,(5|12)
0.01671309,6.0,(6|13)
0.01639344,1.0,(4|16)
0.01542416,6.0,(45|16)
0.01538462,1.0,(23|49)
0.01388889,3.0,(1|13)
0.01351351,1.0,(1|14)
0.01315789,2.0,(9|48)
0.01307190,2.0,(8|34)
0.01282051,1.0,(5|13)
0.01197605,4.0,(6|12)
0.01149425,1.0,(24|48)
0.01117318,2.0,(2|15)
0.009259259,3.0,(46|17)
0.008196721,1.0,(22|4)
0.007936508,1.0,(5|18)
0.007751938,1.0,(1|17)
0.007751938,1.0,(1|18)
0.007751938,1.0,(49|17)
0.007142857,1.0,(11|3)
0.007042253,1.0,(4|13)
0.007042253,1.0,(48|19)
0.006756757,1.0,(6|49)
0.006329114,1.0,(0|20)
0.006211180,1.0,(4|49)
0.006024096,1.0,(25|30)
0.005376344,1.0,(12|49)
0.005235602,1.0,(45|15)
0.005128205,1.0,(20|9)
0.005102041,1.0,(0|19)
0.005076142,1.0,(1|49)
0.004784689,1.0,(6|38)
0.004535147,2.0,(20|10)
0.004484305,1.0,(44|29)
0.004444445,1.0,(0|13)
0.003913894,2.0,(27|5)
0.003773585,1.0,(25|49)
0.003584229,1.0,(44|16)
0.003401360,1.0,(24|2)
0.003278689,1.0,(10|13)
0.002583979,1.0,(17|8)
0.002493766,1.0,(32|4)
0.002375297,1.0,(21|33)
0.002150538,1.0,(5|20)
0.002150538,1.0,(6|19)
0.002024292,1.0,(49|10)
0.001562500,1.0,(27|32)
0.001272265,1.0,(6|46)
