Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 4 | Class Action (jpg:4,idx:3)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9967320,2.0,(34|47)
0.9937598,5.0,(35|49)
0.9874214,2.0,(37|0)
0.9786730,5.0,(36|1)
0.9757710,5.0,(32|48)
0.9664429,6.0,(33|48)
0.9544160,4.0,(35|1)
0.9365079,6.0,(35|2)
0.9288703,5.0,(32|49)
0.9200000,5.0,(35|48)
0.9090909,7.0,(33|49)
0.9020979,7.0,(34|48)
0.8613861,4.0,(33|47)
0.8571429,2.0,(35|47)
0.8566176,7.0,(36|49)
0.8212290,3.0,(34|46)
0.8103448,4.0,(37|49)
0.8099548,6.0,(34|49)
0.7878788,2.0,(35|46)
0.7736842,6.0,(36|47)
0.7619048,5.0,(36|0)
0.6454545,6.0,(35|0)
0.6172839,6.0,(37|48)
0.5951417,3.0,(36|48)
0.5483871,7.0,(38|48)
0.5344828,1.0,(38|0)
0.4965035,2.0,(38|49)
0.4432990,7.0,(39|48)
0.4415585,6.0,(37|47)
0.4393939,5.0,(36|2)
0.4065934,6.0,(34|0)
0.4000000,4.0,(32|47)
0.3809524,6.0,(44|1)
0.3783784,1.0,(37|1)
0.3745583,3.0,(38|1)
0.3125000,4.0,(39|47)
0.2962963,5.0,(39|1)
0.2857143,2.0,(13|11)
0.2784810,4.0,(37|2)
0.2462687,4.0,(39|49)
0.2400000,5.0,(33|46)
0.2173913,4.0,(11|8)
0.2115385,6.0,(45|5)
0.2033898,5.0,(33|0)
0.1916667,3.0,(29|46)
0.1875000,5.0,(39|0)
0.1839080,5.0,(34|1)
0.1739130,3.0,(38|2)
0.1702128,3.0,(20|8)
0.1666667,1.0,(30|38)
0.1538462,2.0,(49|45)
0.1481481,3.0,(30|47)
0.1147541,3.0,(10|7)
0.1100917,4.0,(44|2)
0.1071429,4.0,(43|1)
0.1065574,5.0,(20|9)
0.1060606,4.0,(21|8)
0.1000000,2.0,(44|5)
0.09756097,3.0,(21|7)
0.09756097,3.0,(36|46)
0.09523810,4.0,(20|7)
0.09405941,4.0,(43|6)
0.09032258,5.0,(49|1)
0.08823530,5.0,(40|48)
0.08783784,4.0,(9|3)
0.08403362,5.0,(21|9)
0.08264463,2.0,(1|45)
0.08185054,5.0,(23|8)
0.07812500,3.0,(12|8)
0.07547170,4.0,(22|47)
0.07386363,6.0,(17|13)
0.07382550,4.0,(43|0)
0.07368421,6.0,(22|8)
0.07096774,2.0,(21|18)
0.06837607,3.0,(2|45)
0.06779661,3.0,(22|43)
0.06748466,6.0,(42|1)
0.06716418,3.0,(43|2)
0.06557377,3.0,(42|44)
0.06542056,4.0,(13|7)
0.06250000,3.0,(18|7)
0.06250000,1.0,(42|7)
0.06201550,5.0,(45|2)
0.06172840,3.0,(43|7)
0.05882353,2.0,(31|20)
0.05844156,3.0,(49|3)
0.05833333,5.0,(26|3)
0.05555556,2.0,(11|4)
0.05555556,3.0,(42|46)
0.05517241,5.0,(44|6)
0.05494506,2.0,(40|49)
0.05263158,1.0,(26|4)
0.05084746,3.0,(42|5)
0.05063291,3.0,(40|0)
0.04977376,5.0,(43|44)
0.04918033,2.0,(11|3)
0.04587156,4.0,(17|6)
0.04575163,3.0,(7|35)
0.04575163,3.0,(33|10)
0.04545455,1.0,(41|47)
0.04347826,1.0,(20|46)
0.04347826,2.0,(34|2)
0.04255319,3.0,(18|11)
0.04255319,4.0,(45|48)
0.04166667,3.0,(17|7)
0.04166667,2.0,(18|8)
0.04093567,5.0,(29|23)
0.04081633,3.0,(30|21)
0.04054054,1.0,(1|36)
0.04000000,3.0,(0|45)
0.04000000,2.0,(8|11)
0.03846154,2.0,(35|3)
0.03738318,4.0,(25|2)
0.03664922,3.0,(25|28)
0.03636364,3.0,(15|13)
0.03614458,5.0,(1|7)
0.03529412,3.0,(30|45)
0.03514377,5.0,(26|1)
0.03508772,2.0,(1|40)
0.03508772,2.0,(3|46)
0.03508772,2.0,(15|11)
0.03488372,3.0,(45|0)
0.03448276,2.0,(17|5)
0.03448276,2.0,(36|44)
0.03448276,1.0,(47|0)
0.03428571,3.0,(41|43)
0.03424658,3.0,(20|10)
0.03370786,3.0,(24|5)
0.03343465,3.0,(15|10)
0.03333334,3.0,(27|13)
0.03246753,3.0,(44|0)
0.03225806,2.0,(41|5)
0.03225806,2.0,(42|0)
0.03208556,3.0,(36|4)
0.03191489,4.0,(21|48)
0.03125000,2.0,(14|3)
0.03125000,1.0,(41|42)
0.03125000,2.0,(42|4)
0.03061225,2.0,(15|7)
0.03061225,3.0,(18|5)
0.03017241,3.0,(9|6)
0.02985075,2.0,(24|8)
0.02941176,1.0,(25|1)
0.02898551,3.0,(14|45)
0.02898551,2.0,(41|0)
0.02884615,3.0,(0|7)
0.02857143,3.0,(49|0)
0.02777778,1.0,(19|49)
0.02777778,1.0,(41|38)
0.02752294,2.0,(44|4)
0.02739726,3.0,(9|4)
0.02666667,1.0,(27|49)
0.02631579,1.0,(20|18)
0.02631579,1.0,(22|9)
0.02597403,3.0,(42|40)
0.02597403,1.0,(46|49)
0.02597403,2.0,(47|42)
0.02577320,4.0,(13|10)
0.02542373,3.0,(41|1)
0.02540416,4.0,(40|45)
0.02531646,2.0,(17|3)
0.02469136,1.0,(31|10)
0.02439024,2.0,(9|7)
0.02439024,1.0,(45|1)
0.02439024,2.0,(49|5)
0.02409638,2.0,(44|42)
0.02392345,3.0,(7|43)
0.02325581,1.0,(14|47)
0.02325581,1.0,(26|2)
0.02298851,3.0,(46|5)
0.02298851,3.0,(47|6)
0.02272727,1.0,(2|1)
0.02259887,1.0,(14|48)
0.02247191,2.0,(15|9)
0.02247191,5.0,(35|4)
0.02105263,1.0,(13|43)
0.02083333,1.0,(18|3)
0.02040816,1.0,(2|5)
0.02040816,2.0,(4|45)
0.02000000,1.0,(20|48)
0.01923077,2.0,(3|43)
0.01863354,1.0,(8|2)
0.01860465,2.0,(41|7)
0.01851852,3.0,(27|2)
