Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,4.0,(38|39)
0.9979798,2.0,(40|41)
0.9969879,1.0,(40|37)
0.9964222,3.0,(37|41)
0.9915254,2.0,(37|43)
0.9655172,4.0,(37|38)
0.9642857,1.0,(40|38)
0.9593023,3.0,(37|42)
0.9571428,4.0,(37|39)
0.9545454,3.0,(38|38)
0.9534883,4.0,(38|41)
0.9520548,3.0,(38|43)
0.9415205,3.0,(39|41)
0.9405941,3.0,(40|40)
0.9285714,4.0,(36|43)
0.9268293,4.0,(36|41)
0.9243243,2.0,(40|43)
0.9190938,4.0,(38|40)
0.9130435,3.0,(39|43)
0.9117647,4.0,(38|42)
0.9056604,2.0,(40|39)
0.8930233,4.0,(39|42)
0.8823529,4.0,(40|42)
0.8692811,4.0,(39|39)
0.8478261,4.0,(39|40)
0.8102190,2.0,(37|40)
0.8095238,2.0,(41|41)
0.8067227,2.0,(39|38)
0.7678571,4.0,(38|44)
0.7613636,4.0,(36|38)
0.7428572,4.0,(41|40)
0.7304348,4.0,(35|41)
0.7099237,4.0,(36|42)
0.7010309,1.0,(40|36)
0.5818182,4.0,(40|44)
0.5815217,4.0,(36|40)
0.5757576,3.0,(37|37)
0.5555556,4.0,(39|44)
0.5555556,1.0,(41|38)
0.5521472,1.0,(41|37)
0.5460993,1.0,(37|44)
0.5312500,3.0,(41|42)
0.4788733,4.0,(36|39)
0.4347826,3.0,(36|37)
0.4285714,3.0,(41|39)
0.4093264,4.0,(38|37)
0.3800000,2.0,(41|36)
0.3695652,2.0,(39|37)
0.3636364,2.0,(41|35)
0.3492647,4.0,(35|40)
0.3448276,4.0,(36|44)
0.3088235,1.0,(39|36)
0.3085714,2.0,(41|43)
0.3000000,2.0,(22|19)
0.2873563,4.0,(1|46)
0.2840909,4.0,(31|45)
0.2500000,4.0,(38|36)
0.2066116,4.0,(0|44)
0.1804511,3.0,(49|47)
0.1515152,4.0,(31|38)
0.1509434,4.0,(35|38)
0.1463415,2.0,(35|42)
0.1372549,2.0,(30|44)
0.1337209,3.0,(35|43)
0.1290323,4.0,(21|18)
0.1250000,3.0,(31|40)
0.1219512,3.0,(45|1)
