Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 17 | Litigation (jpg:17,idx:13)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9876325,6.0,(32|46)
0.9582939,1.0,(41|46)
0.9484305,5.0,(41|48)
0.9455445,6.0,(39|46)
0.9318956,7.0,(37|46)
0.9306931,5.0,(41|49)
0.9102041,6.0,(38|45)
0.9098361,6.0,(38|46)
0.9090909,5.0,(41|47)
0.8181818,4.0,(42|49)
0.8000000,4.0,(38|47)
0.7605634,5.0,(31|46)
0.7333333,4.0,(42|48)
0.7200000,4.0,(33|46)
0.7054545,5.0,(32|45)
0.6956522,4.0,(41|0)
0.6774194,4.0,(42|0)
0.6703297,6.0,(40|49)
0.6666667,6.0,(40|48)
0.6202531,5.0,(40|0)
0.6043689,4.0,(39|45)
0.4816754,4.0,(30|46)
0.4625000,3.0,(29|46)
0.4444444,3.0,(37|45)
0.4415585,3.0,(37|47)
0.4400000,3.0,(32|47)
0.4285714,2.0,(41|44)
0.4036697,5.0,(43|49)
0.3888889,2.0,(42|46)
0.3846154,2.0,(33|45)
0.3691275,6.0,(43|0)
0.3401639,4.0,(40|46)
0.3392857,5.0,(43|1)
0.3333333,2.0,(2|4)
0.3333333,2.0,(22|7)
0.3333333,2.0,(30|47)
0.3257143,2.0,(41|45)
0.3055556,5.0,(42|45)
0.3030303,6.0,(21|8)
0.2857143,1.0,(18|13)
0.2586207,6.0,(12|4)
0.2580645,5.0,(19|12)
0.2275449,1.0,(40|47)
0.2196262,2.0,(18|12)
0.2181818,3.0,(42|37)
0.2058824,4.0,(27|3)
0.2010309,3.0,(39|48)
0.2008734,5.0,(40|1)
0.2000000,6.0,(40|44)
0.1967213,7.0,(42|44)
0.1918605,2.0,(42|47)
0.1913580,6.0,(37|48)
0.1904762,5.0,(13|3)
0.1878669,1.0,(29|47)
0.1878669,1.0,(29|48)
0.1870968,2.0,(38|48)
0.1785714,3.0,(12|3)
0.1712963,6.0,(17|2)
0.1666667,2.0,(36|10)
0.1641791,5.0,(39|49)
0.1610170,4.0,(41|1)
0.1571429,5.0,(44|5)
0.1565217,6.0,(7|11)
0.1530249,7.0,(23|8)
0.1526316,7.0,(36|47)
0.1493506,4.0,(44|0)
0.1428571,5.0,(34|0)
0.1411043,4.0,(42|1)
0.1388889,1.0,(39|44)
0.1347518,4.0,(18|11)
0.1333333,2.0,(20|5)
0.1316397,2.0,(40|45)
0.1315790,6.0,(0|3)
0.1304348,2.0,(34|2)
0.1258741,4.0,(38|49)
0.1250000,1.0,(33|4)
0.1250000,1.0,(33|5)
0.1203008,3.0,(49|47)
0.1193182,5.0,(17|13)
0.1141304,4.0,(1|6)
0.1125541,6.0,(42|40)
0.1111111,1.0,(36|12)
0.1111111,1.0,(40|11)
0.1089109,4.0,(33|47)
0.1071429,4.0,(38|44)
0.1052632,2.0,(13|39)
0.1052632,3.0,(42|43)
0.1041667,6.0,(26|3)
0.1028037,4.0,(32|14)
0.1016949,4.0,(33|0)
0.1012658,4.0,(17|3)
0.09929078,4.0,(38|9)
0.09756097,3.0,(36|46)
0.09701493,5.0,(43|2)
0.09615385,3.0,(17|12)
0.09523810,1.0,(36|0)
0.09311741,5.0,(36|48)
0.09302326,4.0,(26|2)
0.09009009,2.0,(43|47)
0.08943089,2.0,(49|5)
0.08914728,5.0,(19|3)
0.08902691,6.0,(39|8)
0.08835341,5.0,(1|7)
0.08771930,3.0,(3|46)
0.08695652,2.0,(38|2)
0.08666667,6.0,(14|39)
0.08641975,2.0,(39|1)
0.08536585,4.0,(28|3)
0.08421053,6.0,(22|8)
0.08333334,1.0,(27|0)
0.08333334,1.0,(27|1)
0.08333334,2.0,(35|47)
0.08333334,3.0,(43|45)
0.08235294,2.0,(30|45)
0.08196721,4.0,(29|7)
0.08000000,2.0,(6|30)
0.07971015,4.0,(34|3)
0.07801419,2.0,(44|47)
0.07692308,1.0,(45|4)
0.07586207,5.0,(44|6)
0.07518797,4.0,(43|48)
0.07500000,3.0,(18|7)
0.07407407,2.0,(37|3)
0.07377049,3.0,(49|48)
0.07317073,3.0,(10|4)
0.07272727,4.0,(37|9)
0.07142857,2.0,(28|49)
0.07142857,2.0,(29|0)
0.07142857,3.0,(39|2)
0.07142857,1.0,(41|39)
0.07142857,5.0,(45|47)
0.06951872,4.0,(36|4)
0.06930693,4.0,(43|6)
0.06896552,2.0,(37|49)
0.06722689,4.0,(21|9)
0.06666667,3.0,(17|7)
0.06666667,1.0,(29|39)
0.06666667,2.0,(36|5)
0.06593407,3.0,(9|15)
0.06521739,3.0,(28|4)
0.06504065,4.0,(44|48)
0.06382979,2.0,(34|26)
0.06369427,4.0,(43|4)
0.06349207,2.0,(43|46)
0.06250000,2.0,(4|15)
0.06250000,2.0,(5|14)
0.06250000,1.0,(41|42)
0.06250000,1.0,(42|7)
0.06214689,3.0,(44|41)
0.06153846,2.0,(16|43)
0.06153846,2.0,(31|47)
0.06106870,3.0,(16|6)
0.06024097,2.0,(26|8)
0.06000000,2.0,(4|48)
0.05907173,5.0,(40|7)
0.05882353,1.0,(46|43)
0.05882353,3.0,(48|1)
0.05825243,3.0,(42|2)
0.05769231,3.0,(45|5)
0.05691057,3.0,(28|9)
0.05681818,5.0,(11|2)
0.05594406,3.0,(10|15)
0.05555556,1.0,(12|6)
0.05555556,2.0,(27|2)
0.05504587,5.0,(44|2)
0.05504587,3.0,(44|4)
0.05479452,4.0,(7|7)
0.05479452,3.0,(41|2)
0.05431310,6.0,(26|1)
0.05291005,3.0,(44|38)
0.05217391,4.0,(35|41)
0.05208333,4.0,(39|0)
0.05194805,2.0,(0|46)
0.05128205,3.0,(35|3)
0.05109489,3.0,(48|45)
0.05000000,1.0,(13|47)
0.04929578,2.0,(24|6)
0.04907975,4.0,(42|36)
0.04907975,4.0,(43|35)
0.04838710,2.0,(47|48)
0.04787234,5.0,(45|48)
0.04779412,4.0,(36|49)
0.04761905,1.0,(13|45)
0.04761905,2.0,(48|6)
0.04745763,5.0,(33|2)
0.04519774,4.0,(22|43)
0.04494382,3.0,(6|6)
0.04487180,4.0,(7|6)
0.04477612,2.0,(24|8)
0.04402516,2.0,(40|39)
0.04390244,3.0,(9|7)
0.04385965,3.0,(48|0)
0.04347826,1.0,(18|33)
0.04326923,4.0,(31|22)
0.04285714,3.0,(49|0)
0.04255319,2.0,(20|8)
0.04232804,5.0,(37|5)
0.04166667,1.0,(18|3)
0.04166667,1.0,(18|8)
0.04166667,3.0,(26|10)
0.04166667,2.0,(37|7)
0.04132231,3.0,(17|8)
0.04114490,6.0,(36|3)
0.04069768,2.0,(24|13)
0.04000000,2.0,(8|11)
0.04000000,2.0,(17|1)
0.04000000,2.0,(20|48)
0.03984064,5.0,(31|12)
0.03973510,4.0,(16|8)
0.03958333,5.0,(32|13)
0.03921569,3.0,(33|36)
0.03888889,3.0,(35|10)
0.03846154,1.0,(23|11)
0.03821656,4.0,(11|34)
0.03821656,1.0,(27|4)
0.03809524,2.0,(6|35)
0.03797468,2.0,(37|2)
0.03797468,2.0,(39|3)
0.03783784,2.0,(37|1)
0.03750000,3.0,(44|49)
0.03738318,4.0,(13|7)
0.03726708,3.0,(10|3)
0.03703704,2.0,(0|49)
0.03703704,4.0,(40|8)
0.03703704,4.0,(44|1)
0.03669725,2.0,(17|6)
0.03649635,4.0,(44|44)
0.03571429,2.0,(23|30)
0.03539823,4.0,(15|44)
0.03508772,2.0,(43|5)
0.03488372,3.0,(45|0)
0.03478261,2.0,(48|36)
0.03448276,1.0,(8|22)
0.03448276,2.0,(21|45)
0.03448276,1.0,(36|44)
0.03428571,3.0,(15|22)
0.03370786,1.0,(24|5)
0.03361345,4.0,(40|2)
0.03361345,2.0,(45|38)
0.03333334,1.0,(19|9)
0.03333334,2.0,(28|18)
0.03327172,5.0,(29|21)
0.03278688,2.0,(29|9)
0.03267974,3.0,(39|39)
0.03265306,3.0,(22|14)
0.03260870,4.0,(39|40)
0.03252032,2.0,(17|45)
0.03225806,4.0,(21|18)
0.03200000,4.0,(41|36)
0.03191489,2.0,(35|8)
0.03167421,3.0,(44|46)
0.03125000,2.0,(14|7)
0.03125000,1.0,(34|9)
0.03125000,2.0,(42|4)
0.03100775,2.0,(45|2)
0.03076923,2.0,(19|14)
0.03076923,2.0,(30|14)
0.03030303,1.0,(33|3)
0.03030303,4.0,(36|2)
0.03030303,2.0,(46|1)
0.03000000,1.0,(14|23)
0.02976190,3.0,(9|2)
0.02970297,3.0,(46|41)
0.02912621,1.0,(20|17)
0.02898551,2.0,(9|20)
0.02880658,5.0,(2|46)
0.02877698,1.0,(49|46)
0.02857143,1.0,(19|5)
0.02857143,1.0,(30|36)
0.02857143,4.0,(41|43)
0.02816901,2.0,(14|22)
0.02816901,1.0,(25|9)
0.02793296,3.0,(34|46)
0.02777778,2.0,(4|46)
0.02758621,3.0,(0|38)
0.02758621,3.0,(10|2)
0.02752294,2.0,(30|8)
0.02747253,3.0,(10|14)
0.02739726,2.0,(7|36)
0.02739726,4.0,(34|41)
0.02714932,2.0,(43|44)
0.02702703,3.0,(9|3)
0.02702703,1.0,(16|45)
0.02678571,1.0,(40|38)
0.02671756,3.0,(34|4)
0.02666667,2.0,(7|34)
0.02666667,2.0,(12|40)
0.02649007,2.0,(48|46)
0.02614379,3.0,(11|41)
0.02597403,3.0,(11|40)
0.02586207,3.0,(38|0)
0.02580645,2.0,(49|1)
0.02577320,1.0,(1|44)
0.02554744,2.0,(33|37)
0.02551020,4.0,(31|13)
0.02542373,1.0,(24|19)
0.02542373,3.0,(42|5)
0.02531646,1.0,(6|26)
0.02531646,1.0,(9|23)
0.02521008,2.0,(3|40)
0.02510460,4.0,(32|49)
0.02479339,2.0,(48|4)
0.02469136,2.0,(10|5)
0.02469136,2.0,(43|7)
0.02459016,1.0,(11|3)
0.02439024,2.0,(10|40)
0.02439024,2.0,(18|10)
0.02439024,1.0,(21|7)
0.02439024,2.0,(22|13)
0.02439024,2.0,(38|4)
0.02439024,1.0,(45|1)
0.02424242,2.0,(12|17)
0.02419355,2.0,(37|8)
0.02395210,3.0,(0|4)
0.02380952,2.0,(21|6)
0.02380952,2.0,(45|39)
0.02352941,1.0,(1|43)
0.02352941,1.0,(31|33)
0.02325581,2.0,(3|1)
0.02298851,2.0,(4|29)
0.02298851,2.0,(30|26)
0.02298851,3.0,(46|5)
0.02298851,3.0,(47|6)
0.02290076,1.0,(35|37)
0.02283105,3.0,(11|15)
0.02281369,2.0,(42|38)
0.02272727,2.0,(13|38)
0.02272727,2.0,(15|21)
0.02272727,2.0,(16|13)
0.02272727,1.0,(31|40)
0.02272727,2.0,(31|45)
0.02272727,3.0,(35|0)
0.02247191,2.0,(15|9)
0.02222222,1.0,(24|20)
0.02216066,3.0,(29|15)
0.02208202,4.0,(28|14)
0.02185792,1.0,(47|45)
0.02185792,2.0,(49|49)
0.02173913,2.0,(13|4)
0.02173913,1.0,(45|49)
0.02162162,2.0,(7|18)
0.02150538,2.0,(48|37)
0.02146691,5.0,(29|20)
0.02141901,4.0,(8|3)
0.02127660,1.0,(26|21)
0.02105263,2.0,(5|45)
0.02105263,3.0,(27|11)
0.02105263,1.0,(35|33)
0.02097902,1.0,(34|48)
0.02094241,2.0,(1|2)
0.02066116,2.0,(47|43)
0.02061856,1.0,(7|23)
0.02061856,1.0,(40|36)
0.02051282,3.0,(15|39)
0.02040816,1.0,(14|25)
0.02040816,1.0,(39|32)
0.02034884,4.0,(41|8)
0.02010050,2.0,(49|4)
0.01992032,3.0,(30|17)
0.01990050,2.0,(20|4)
0.01980198,1.0,(18|9)
0.01980198,2.0,(26|11)
0.01980198,2.0,(31|0)
0.01960784,1.0,(10|13)
0.01960784,1.0,(34|34)
0.01941748,2.0,(11|12)
0.01941748,1.0,(16|5)
0.01941748,2.0,(16|49)
0.01932367,3.0,(4|49)
0.01923077,3.0,(35|26)
0.01923077,1.0,(44|37)
0.01904762,1.0,(0|47)
0.01904762,4.0,(16|12)
0.01860465,2.0,(41|7)
0.01857585,3.0,(32|12)
0.01840491,3.0,(15|8)
0.01840491,1.0,(41|37)
0.01832461,3.0,(27|21)
0.01818182,2.0,(1|33)
0.01809955,2.0,(33|26)
0.01807229,3.0,(38|29)
0.01789709,6.0,(30|5)
0.01785714,2.0,(49|6)
0.01769911,1.0,(25|7)
0.01769911,1.0,(45|37)
0.01764706,2.0,(40|42)
0.01754386,2.0,(1|40)
0.01754386,1.0,(17|11)
0.01754386,2.0,(26|15)
0.01754386,1.0,(29|4)
0.01744186,2.0,(35|43)
0.01724138,1.0,(27|8)
0.01712329,3.0,(12|36)
0.01694915,1.0,(16|7)
0.01694915,2.0,(17|14)
0.01694915,1.0,(31|30)
0.01666667,1.0,(9|10)
