Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 21 | Tax Law (jpg:21,idx:17)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(1|28)
1.000000,1.0,(2|28)
1.000000,1.0,(3|28)
1.000000,1.0,(18|38)
1.000000,1.0,(42|35)
1.000000,1.0,(44|35)
1.000000,1.0,(45|33)
0.9984338,2.0,(20|29)
0.9840824,3.0,(21|22)
0.9772257,5.0,(18|31)
0.9765494,5.0,(26|27)
0.9712230,3.0,(21|29)
0.9667195,3.0,(19|20)
0.9621212,3.0,(25|27)
0.9587629,3.0,(20|28)
0.9367397,4.0,(20|22)
0.9095092,8.0,(24|25)
0.9047619,8.0,(21|21)
0.9014778,2.0,(19|29)
0.8905775,5.0,(23|27)
0.8828829,6.0,(20|21)
0.8799019,3.0,(19|28)
0.8750000,5.0,(22|22)
0.8679775,6.0,(27|28)
0.8513011,5.0,(22|21)
0.8508772,6.0,(21|23)
0.8396624,6.0,(21|27)
0.8372549,6.0,(22|25)
0.8333333,6.0,(22|23)
0.8320000,7.0,(26|28)
0.8296530,6.0,(21|28)
0.8207547,7.0,(21|20)
0.8151261,2.0,(20|30)
0.8137255,7.0,(20|20)
0.8122449,5.0,(18|29)
0.8015075,6.0,(20|23)
0.8014184,6.0,(23|25)
0.8007519,6.0,(23|24)
0.7830189,7.0,(23|21)
0.7647059,6.0,(19|30)
0.7613065,6.0,(21|24)
0.7596154,6.0,(19|22)
0.7596154,7.0,(21|25)
0.7569721,5.0,(21|30)
0.7476636,6.0,(24|24)
0.7414634,8.0,(22|24)
0.7288136,4.0,(22|20)
0.7221053,6.0,(21|26)
0.6987180,6.0,(18|19)
0.6969697,1.0,(17|31)
0.6954315,8.0,(17|30)
0.6871610,5.0,(19|23)
0.6790124,2.0,(18|32)
0.6735751,7.0,(18|20)
0.6727273,7.0,(20|27)
0.6666667,5.0,(16|22)
0.6666667,2.0,(38|21)
0.6565657,3.0,(19|21)
0.6500000,5.0,(27|27)
0.6438356,4.0,(23|22)
0.6419355,7.0,(24|22)
0.6385965,3.0,(18|28)
0.6339286,4.0,(19|31)
0.6311476,5.0,(22|26)
0.6292135,7.0,(19|27)
0.6281800,5.0,(20|26)
0.6280702,9.0,(26|24)
0.6250000,4.0,(19|32)
0.6225352,3.0,(47|14)
0.6158192,1.0,(20|19)
0.6133333,3.0,(17|19)
0.6075949,4.0,(18|30)
0.6055363,6.0,(19|25)
0.6000000,6.0,(17|28)
0.6000000,3.0,(22|19)
0.5929648,5.0,(19|19)
0.5806451,7.0,(18|18)
0.5757576,4.0,(18|26)
0.5736434,5.0,(23|20)
0.5714286,5.0,(5|12)
0.5714286,4.0,(17|20)
0.5714286,3.0,(27|29)
0.5664893,5.0,(17|25)
0.5588235,5.0,(19|41)
0.5562701,5.0,(16|23)
0.5555556,7.0,(17|27)
0.5505319,6.0,(20|25)
0.5467626,5.0,(25|29)
0.5462555,6.0,(28|26)
0.5422222,3.0,(23|29)
0.5413643,7.0,(20|24)
0.5334928,5.0,(18|24)
0.5315904,5.0,(16|24)
0.5303515,8.0,(22|30)
0.5271966,5.0,(18|25)
0.5200000,6.0,(14|26)
0.5164114,6.0,(23|23)
0.5064102,6.0,(24|21)
0.5000000,3.0,(17|18)
0.4988713,6.0,(19|24)
0.4876543,6.0,(29|33)
0.4827586,3.0,(22|28)
0.4810127,2.0,(17|29)
0.4800000,6.0,(19|18)
0.4699453,5.0,(19|26)
0.4686520,6.0,(17|23)
0.4609929,1.0,(23|28)
0.4606061,5.0,(16|28)
0.4593301,5.0,(18|21)
0.4571429,4.0,(26|37)
0.4563107,5.0,(26|29)
0.4545455,4.0,(47|13)
0.4534161,4.0,(20|31)
0.4476191,6.0,(25|25)
0.4468865,6.0,(5|11)
0.4462366,5.0,(18|27)
0.4450262,6.0,(25|28)
0.4418605,6.0,(15|26)
0.4417911,6.0,(46|15)
0.4317549,4.0,(48|14)
0.4269663,5.0,(16|21)
0.4258823,5.0,(18|23)
0.4193548,5.0,(6|11)
0.4193548,5.0,(7|10)
0.4117647,4.0,(28|32)
0.4078341,6.0,(43|16)
0.4074074,7.0,(28|33)
0.4000000,1.0,(12|38)
0.4000000,1.0,(15|24)
0.4000000,4.0,(16|30)
0.3969466,6.0,(46|14)
0.3966746,6.0,(17|24)
0.3939394,4.0,(4|28)
0.3939394,4.0,(29|26)
0.3779904,6.0,(24|23)
0.3777778,4.0,(16|29)
0.3757062,7.0,(17|21)
0.3756614,4.0,(39|13)
0.3753754,4.0,(4|27)
0.3750000,2.0,(24|29)
0.3706897,5.0,(21|31)
0.3701923,6.0,(27|25)
0.3694581,5.0,(47|15)
0.3694118,6.0,(16|25)
0.3603604,5.0,(28|27)
0.3544776,7.0,(25|23)
0.3539683,5.0,(16|26)
0.3520408,7.0,(44|17)
0.3505747,6.0,(46|16)
0.3501577,5.0,(43|17)
0.3462783,5.0,(45|15)
0.3419913,6.0,(25|24)
