Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:18)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(26|42)
1.000000,1.0,(28|39)
1.000000,1.0,(28|40)
1.000000,1.0,(29|35)
1.000000,1.0,(30|42)
1.000000,1.0,(40|34)
0.9943503,5.0,(28|36)
0.9861111,3.0,(41|34)
0.9856459,3.0,(29|40)
0.9770992,4.0,(30|41)
0.9743590,3.0,(28|35)
0.9736842,4.0,(27|38)
0.9589041,3.0,(42|33)
0.9500000,1.0,(29|36)
0.9492754,1.0,(40|33)
0.9463087,5.0,(43|34)
0.9398907,4.0,(29|41)
0.9393939,1.0,(28|38)
0.9354839,8.0,(44|34)
0.9333333,1.0,(29|39)
0.9309091,4.0,(42|34)
0.9285714,6.0,(27|37)
0.9285714,2.0,(30|35)
0.9261745,3.0,(43|33)
0.9242424,6.0,(28|37)
0.9098361,1.0,(39|34)
0.9036697,7.0,(27|36)
0.8902439,3.0,(27|39)
0.8888889,5.0,(27|40)
0.8888889,6.0,(29|42)
0.8878049,4.0,(27|42)
0.8802395,7.0,(26|44)
0.8773585,6.0,(28|43)
0.8695652,1.0,(40|35)
0.8461539,4.0,(26|38)
0.8461539,8.0,(27|43)
0.8454546,5.0,(29|37)
0.8433735,6.0,(27|35)
0.8418605,1.0,(41|33)
0.8347107,2.0,(28|34)
0.8275862,5.0,(26|39)
0.8253968,2.0,(30|40)
0.8250000,6.0,(26|43)
0.8172043,3.0,(28|41)
0.7974684,6.0,(26|40)
0.7843137,5.0,(28|42)
0.7794118,5.0,(27|41)
0.7738096,4.0,(26|35)
0.7500000,2.0,(25|42)
0.7394958,1.0,(25|35)
0.7021276,2.0,(30|43)
0.6699507,5.0,(27|34)
0.6444445,3.0,(26|41)
0.6380953,1.0,(31|42)
0.6231884,6.0,(44|33)
0.6118721,3.0,(30|34)
0.6074767,1.0,(29|34)
0.6050420,1.0,(44|32)
0.5972222,3.0,(25|36)
0.5851064,1.0,(41|32)
0.5777778,3.0,(42|32)
0.5468750,3.0,(26|36)
0.5056180,2.0,(26|34)
0.5000000,1.0,(7|8)
0.5000000,1.0,(39|29)
0.5000000,1.0,(39|30)
0.5000000,1.0,(45|34)
0.4814815,3.0,(43|32)
0.4631579,2.0,(40|32)
0.4581818,3.0,(29|38)
0.4563107,1.0,(39|33)
0.4523077,3.0,(40|31)
0.4512195,3.0,(31|41)
0.4429224,3.0,(27|33)
0.4366197,3.0,(43|31)
0.4275862,1.0,(40|30)
0.4188034,3.0,(41|31)
0.4000000,7.0,(42|31)
0.3902439,2.0,(41|30)
0.3803681,2.0,(24|35)
0.3642857,2.0,(25|37)
0.3582090,4.0,(25|34)
0.3579336,2.0,(40|29)
0.3466667,2.0,(23|29)
0.3333333,3.0,(24|36)
0.2727273,2.0,(41|29)
0.2478632,3.0,(37|17)
0.2446043,4.0,(42|30)
0.2327586,1.0,(44|31)
0.1975309,3.0,(29|33)
0.1955923,5.0,(42|29)
0.1953125,4.0,(40|28)
0.1944444,3.0,(26|33)
0.1864952,2.0,(42|17)
0.1777778,1.0,(43|30)
0.1750000,3.0,(24|29)
0.1736842,1.0,(5|21)
0.1718750,6.0,(25|38)
0.1666667,3.0,(28|33)
0.1666667,1.0,(30|38)
0.1574074,3.0,(25|39)
0.1572327,4.0,(4|26)
0.1500000,4.0,(25|33)
0.1489362,4.0,(23|28)
0.1481481,2.0,(24|34)
0.1477273,4.0,(24|30)
0.1428571,6.0,(23|31)
0.1428571,2.0,(43|9)
0.1363636,2.0,(41|28)
0.1337580,2.0,(24|37)
0.1333333,5.0,(19|33)
0.1329787,3.0,(22|32)
0.1256831,4.0,(23|35)
0.1250000,3.0,(22|35)
0.1228070,3.0,(4|23)
0.1192308,3.0,(42|16)
0.1142857,2.0,(30|36)
0.1111111,2.0,(25|41)
0.1085973,5.0,(27|32)
0.1052632,2.0,(47|31)
