Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 35 | Mergers & Acquisitions (jpg:35,idx:22)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(14|40)
0.9844869,3.0,(11|43)
0.9805970,1.0,(14|41)
0.9747899,4.0,(12|43)
0.9511201,3.0,(11|45)
0.9296875,3.0,(12|42)
0.9065744,2.0,(11|42)
0.8873239,1.0,(14|42)
0.8849558,4.0,(13|42)
0.8731707,4.0,(12|46)
0.8648649,3.0,(12|44)
0.8632479,3.0,(11|44)
0.8602484,3.0,(8|45)
0.8454546,3.0,(11|47)
0.8452381,2.0,(11|46)
0.8046875,3.0,(12|41)
0.7901786,3.0,(10|45)
0.7894737,3.0,(13|43)
0.7792642,4.0,(10|43)
0.7706422,1.0,(13|41)
0.7702703,3.0,(14|43)
0.7615063,5.0,(10|42)
0.7468355,3.0,(12|45)
0.7453416,3.0,(13|44)
0.6830986,2.0,(15|41)
0.6797386,2.0,(11|41)
0.6666667,3.0,(10|46)
0.6608695,3.0,(9|44)
0.6506024,3.0,(7|42)
0.6369637,4.0,(10|44)
0.6051282,3.0,(10|41)
0.5943775,2.0,(7|45)
0.5862069,2.0,(14|44)
0.5813953,1.0,(13|46)
0.5806451,2.0,(13|40)
0.5725191,4.0,(9|43)
0.5635359,4.0,(9|40)
0.5517241,4.0,(10|48)
0.5476190,4.0,(8|41)
0.5133333,3.0,(12|40)
0.5040650,1.0,(8|44)
0.4915254,3.0,(9|41)
0.4912281,3.0,(9|45)
0.4880383,2.0,(7|43)
0.4838710,5.0,(8|43)
0.4827586,3.0,(9|39)
0.4736842,2.0,(9|46)
0.4727273,3.0,(8|47)
0.4711539,4.0,(6|45)
0.4675325,3.0,(12|47)
0.4428571,4.0,(26|22)
0.4261364,4.0,(8|42)
0.4253731,3.0,(7|44)
0.4080882,4.0,(25|22)
0.4067796,4.0,(7|46)
0.4000000,3.0,(13|47)
0.3917808,4.0,(9|42)
0.3883495,3.0,(15|43)
0.3821138,3.0,(15|42)
0.3719008,4.0,(9|47)
0.3692308,3.0,(30|23)
0.3565217,3.0,(9|48)
0.3423423,3.0,(6|44)
0.3333333,3.0,(13|45)
0.3333333,1.0,(20|42)
0.3170732,3.0,(10|40)
0.3130435,4.0,(7|47)
0.3062201,3.0,(11|48)
0.2924528,3.0,(24|26)
0.2923077,3.0,(6|47)
0.2922078,2.0,(11|39)
0.2727273,2.0,(17|18)
