Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 36 | Intellectual Property Law - Patents (jpg:36,idx:23)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,3.0,(21|10)
1.000000,4.0,(23|19)
1.000000,5.0,(24|17)
1.000000,3.0,(25|18)
1.000000,2.0,(35|15)
0.9992811,1.0,(19|16)
0.9980392,7.0,(34|18)
0.9949495,5.0,(23|17)
0.9943820,2.0,(22|11)
0.9934641,6.0,(34|17)
0.9930556,4.0,(32|18)
0.9924242,6.0,(26|18)
0.9917744,2.0,(24|9)
0.9916667,5.0,(21|14)
0.9898990,5.0,(22|12)
0.9894180,7.0,(22|16)
0.9865385,6.0,(34|15)
0.9856631,7.0,(30|19)
0.9847095,7.0,(26|17)
0.9821429,2.0,(19|15)
0.9821429,9.0,(30|18)
0.9795918,5.0,(24|10)
0.9794521,6.0,(34|16)
0.9775281,4.0,(25|17)
0.9737991,7.0,(23|16)
0.9726368,8.0,(29|18)
0.9724138,8.0,(33|18)
0.9701493,9.0,(26|13)
0.9692308,8.0,(33|17)
0.9645390,8.0,(24|16)
0.9642857,1.0,(18|16)
0.9638554,9.0,(26|16)
0.9617647,9.0,(28|17)
0.9614836,9.0,(27|18)
0.9595960,6.0,(20|16)
0.9595960,1.0,(21|16)
0.9562982,5.0,(28|48)
0.9556651,4.0,(24|18)
0.9545454,7.0,(25|12)
0.9541985,4.0,(24|11)
0.9512195,9.0,(26|12)
0.9503106,6.0,(23|18)
0.9473684,7.0,(22|10)
0.9473684,5.0,(33|16)
0.9455253,7.0,(26|14)
0.9428571,7.0,(31|19)
0.9417475,9.0,(25|11)
0.9415205,8.0,(25|16)
0.9390244,5.0,(22|13)
0.9384236,5.0,(32|17)
0.9366197,5.0,(23|12)
0.9322034,6.0,(20|15)
0.9316239,9.0,(27|15)
0.9311377,9.0,(27|16)
0.9306123,8.0,(29|17)
0.9297125,5.0,(22|15)
0.9275362,5.0,(31|17)
0.9274047,9.0,(27|17)
0.9254386,9.0,(26|15)
0.9236111,9.0,(25|10)
0.9224138,7.0,(31|18)
0.9210526,6.0,(34|19)
0.9210526,6.0,(35|18)
0.9142857,6.0,(25|14)
0.9108911,3.0,(26|11)
0.9078014,7.0,(25|13)
0.9043478,6.0,(23|15)
0.9016949,9.0,(28|16)
0.8888889,1.0,(19|17)
0.8862559,7.0,(24|15)
0.8838952,5.0,(24|12)
0.8804781,8.0,(30|17)
0.8768769,9.0,(30|16)
0.8762376,6.0,(20|13)
0.8693877,5.0,(22|14)
0.8681319,5.0,(33|15)
0.8566434,9.0,(28|15)
0.8562874,8.0,(25|15)
0.8546512,7.0,(24|13)
0.8534483,9.0,(29|16)
0.8484849,7.0,(31|16)
0.8425926,6.0,(20|14)
0.8407643,5.0,(21|13)
0.8385651,9.0,(35|17)
0.8292683,7.0,(28|12)
0.8240469,9.0,(29|12)
0.8116883,6.0,(23|13)
0.8076923,7.0,(24|14)
0.8074074,8.0,(21|11)
0.8028169,5.0,(25|9)
0.7980769,6.0,(23|11)
0.7933334,6.0,(30|11)
0.7882353,9.0,(31|15)
0.7612293,9.0,(29|14)
0.7604167,7.0,(26|10)
0.7583333,7.0,(27|13)
0.7560976,9.0,(30|15)
0.7520661,7.0,(34|14)
0.7500000,2.0,(30|20)
0.7460318,2.0,(23|9)
0.7423581,5.0,(22|17)
0.7373737,9.0,(27|14)
0.7372881,7.0,(24|19)
0.7365270,3.0,(21|15)
0.7313020,9.0,(29|15)
0.7278481,4.0,(23|14)
0.7276786,9.0,(27|12)
0.7263158,8.0,(27|11)
0.7235142,9.0,(31|14)
0.7142857,6.0,(28|13)
0.7034701,9.0,(28|14)
0.7027027,4.0,(20|12)
0.6842105,1.0,(21|17)
0.6785714,6.0,(28|10)
0.6750000,7.0,(28|18)
0.6695652,5.0,(21|12)
0.6680672,8.0,(28|11)
0.6614173,7.0,(29|11)
0.6592357,9.0,(29|13)
0.6575342,1.0,(25|8)
0.6461539,2.0,(19|14)
0.6400000,9.0,(30|14)
0.6205357,5.0,(30|10)
0.6144578,6.0,(29|19)
0.6019418,1.0,(20|17)
0.6017699,7.0,(25|7)
0.5892857,3.0,(35|12)
0.5838150,7.0,(23|10)
0.5686275,9.0,(27|10)
0.5581396,3.0,(35|11)
0.5540541,6.0,(34|12)
0.5514019,7.0,(32|14)
0.5510204,9.0,(31|13)
0.5509709,9.0,(30|13)
0.5400000,5.0,(34|11)
0.5337838,8.0,(33|11)
0.5333334,4.0,(19|13)
0.5304348,5.0,(34|13)
0.5217391,3.0,(26|9)
0.5167464,8.0,(26|7)
0.5128205,5.0,(29|10)
0.5050848,3.0,(32|16)
0.4881890,7.0,(33|12)
0.4850746,1.0,(24|8)
0.4662379,5.0,(27|9)
0.4444444,6.0,(31|10)
0.4444444,3.0,(35|13)
0.4404762,5.0,(25|6)
0.4400000,5.0,(32|19)
0.4083665,9.0,(31|12)
0.4021739,9.0,(33|13)
0.3995633,9.0,(28|19)
0.3976608,9.0,(27|7)
0.3975904,5.0,(26|8)
0.3934426,7.0,(29|9)
0.3930636,9.0,(27|19)
0.3807947,9.0,(31|11)
0.3801653,7.0,(26|6)
0.3750000,8.0,(32|13)
0.3684210,4.0,(22|9)
0.3452381,7.0,(33|14)
0.3432494,9.0,(30|12)
0.3320463,6.0,(32|15)
0.3219814,9.0,(32|12)
0.3010381,9.0,(32|11)
0.3000000,2.0,(25|19)
0.2985075,5.0,(26|19)
0.2740214,2.0,(23|8)
0.2500000,1.0,(18|17)
0.2500000,1.0,(23|7)
0.2276423,4.0,(28|9)
0.2259414,8.0,(28|21)
0.2232416,5.0,(25|20)
0.2210526,6.0,(22|8)
0.2128713,5.0,(26|20)
0.2127660,3.0,(22|18)
0.2058824,2.0,(29|3)
0.1931034,8.0,(32|10)
0.1875000,2.0,(30|9)
0.1777778,4.0,(24|20)
0.1666667,1.0,(12|11)
0.1546392,8.0,(28|20)
0.1431193,9.0,(28|23)
0.1395349,9.0,(29|20)
0.1372549,5.0,(33|10)
0.1326531,3.0,(30|21)
0.1308901,4.0,(27|21)
0.1265306,6.0,(27|22)
0.1258367,9.0,(8|3)
0.1256932,8.0,(29|21)
0.1235294,5.0,(32|4)
0.1228070,2.0,(27|20)
0.1185185,5.0,(30|4)
0.1111111,1.0,(27|48)
0.1103448,5.0,(0|38)
0.1096774,2.0,(21|18)
0.1062500,7.0,(31|3)
0.1052632,1.0,(20|18)
0.09821428,5.0,(20|47)
0.09482758,4.0,(27|8)
0.09411765,3.0,(7|2)
0.09278350,3.0,(1|44)
0.09090909,1.0,(24|7)
0.08823530,2.0,(31|20)
0.08695652,2.0,(40|35)
0.08641975,6.0,(7|3)
0.07909604,4.0,(22|43)
0.07843138,2.0,(28|8)
0.07500000,3.0,(17|42)
0.07317073,5.0,(28|3)
0.07142857,3.0,(44|0)
0.07058824,2.0,(1|43)
0.07042254,4.0,(29|8)
0.07017544,3.0,(29|4)
0.06935123,5.0,(30|5)
0.06880734,6.0,(30|8)
0.06750000,7.0,(32|3)
0.06666667,2.0,(46|32)
0.06382979,2.0,(26|21)
0.06060606,1.0,(21|8)
0.05714286,2.0,(34|43)
0.05603448,5.0,(28|22)
0.05555556,3.0,(12|39)
0.05426357,3.0,(27|6)
0.05314010,5.0,(21|43)
0.05311778,8.0,(40|45)
0.05263158,1.0,(26|4)
0.05194805,3.0,(27|23)
0.05000000,2.0,(7|16)
0.05000000,1.0,(13|47)
0.05000000,2.0,(35|10)
0.04895105,2.0,(38|49)
0.04761905,2.0,(43|9)
0.04697987,3.0,(11|16)
0.04310345,2.0,(38|0)
0.04132231,3.0,(31|23)
0.04081633,2.0,(14|25)
0.04081633,3.0,(30|22)
0.03883495,2.0,(22|29)
0.03773585,3.0,(5|33)
0.03763441,4.0,(31|5)
0.03726708,3.0,(8|2)
0.03669725,4.0,(30|6)
0.03636364,2.0,(4|4)
0.03608247,3.0,(6|1)
0.03571429,1.0,(13|48)
0.03529412,3.0,(30|45)
0.03508772,1.0,(3|46)
0.03488372,2.0,(3|1)
0.03381642,4.0,(14|45)
0.03333334,3.0,(6|49)
0.03313840,7.0,(29|23)
0.03278688,1.0,(11|3)
0.03278688,4.0,(40|46)
0.03267974,3.0,(18|0)
0.03260870,2.0,(28|4)
0.03252032,1.0,(15|42)
0.03225806,1.0,(19|12)
0.03212851,4.0,(7|45)
0.03144654,2.0,(18|1)
0.03125000,1.0,(41|42)
0.03030303,1.0,(33|3)
0.02985075,1.0,(6|46)
0.02941176,1.0,(14|21)
0.02941176,1.0,(18|49)
0.02848101,5.0,(31|9)
0.02824859,3.0,(28|6)
0.02708804,3.0,(33|9)
0.02684564,2.0,(43|0)
0.02666667,2.0,(25|21)
0.02614379,2.0,(11|41)
0.02564103,2.0,(11|18)
0.02510460,2.0,(2|43)
0.02484472,3.0,(10|3)
0.02484472,2.0,(32|9)
0.02469136,1.0,(31|4)
0.02424242,2.0,(16|28)
0.02409638,4.0,(19|44)
0.02409638,2.0,(49|38)
0.02362205,3.0,(29|5)
0.02339181,3.0,(39|41)
0.02325581,1.0,(45|0)
0.02312139,3.0,(6|42)
0.02285714,2.0,(15|22)
0.02258469,5.0,(34|10)
0.02150538,2.0,(14|37)
0.02150538,1.0,(34|31)
0.02127660,1.0,(9|25)
0.02097902,2.0,(12|48)
0.02061856,2.0,(6|5)
0.02054795,2.0,(10|47)
0.02040816,2.0,(12|3)
0.02040816,1.0,(13|12)
0.02027027,2.0,(9|3)
0.02000000,1.0,(19|42)
0.01988636,4.0,(32|5)
0.01980198,2.0,(33|7)
0.01977401,3.0,(11|1)
0.01941748,1.0,(16|49)
0.01923077,2.0,(7|0)
0.01923077,2.0,(31|43)
