Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 42 | Estate Planning (jpg:42,idx:27)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,2.0,(10|32)
1.000000,2.0,(13|30)
0.9992988,1.0,(10|33)
0.9992051,2.0,(7|28)
0.9937965,1.0,(6|24)
0.9936575,1.0,(14|28)
0.9923955,3.0,(8|28)
0.9863946,2.0,(7|27)
0.9856459,3.0,(11|28)
0.9843342,3.0,(10|28)
0.9708738,3.0,(14|30)
0.9689441,2.0,(12|30)
0.9664429,3.0,(12|26)
0.9645390,3.0,(12|29)
0.9638554,4.0,(12|27)
0.9622642,3.0,(13|31)
0.9615384,3.0,(11|27)
0.9540230,1.0,(6|25)
0.9531250,3.0,(14|29)
0.9514563,4.0,(8|29)
0.9512195,1.0,(7|24)
0.9510490,2.0,(7|25)
0.9481132,2.0,(7|26)
0.9446495,4.0,(9|28)
0.9344262,3.0,(13|28)
0.9294118,2.0,(9|27)
0.9293478,4.0,(10|26)
0.9285714,3.0,(10|31)
0.9277108,3.0,(11|26)
0.9270833,2.0,(13|27)
0.9268293,4.0,(11|31)
0.9259259,3.0,(10|27)
0.9253731,4.0,(8|27)
0.9224806,3.0,(12|28)
0.9193549,4.0,(8|26)
0.9135802,3.0,(7|29)
0.9130435,2.0,(11|32)
0.9090909,2.0,(13|29)
0.9014778,3.0,(11|29)
0.8988764,1.0,(9|33)
0.8926554,4.0,(12|35)
0.8888889,2.0,(6|28)
0.8823529,2.0,(6|29)
0.8800000,1.0,(5|24)
0.8770492,2.0,(12|31)
0.8633880,3.0,(14|31)
0.8600000,2.0,(9|32)
0.8591549,1.0,(11|33)
0.8231292,3.0,(10|25)
0.8101266,4.0,(9|26)
0.8025478,4.0,(10|29)
0.7900763,3.0,(15|27)
0.7882353,4.0,(8|25)
0.7863248,1.0,(10|34)
0.7826087,2.0,(6|27)
0.7758007,3.0,(14|32)
0.7672634,4.0,(16|27)
0.7594936,3.0,(8|24)
0.7465754,4.0,(12|36)
0.7449495,4.0,(9|29)
0.7383177,4.0,(11|35)
0.7340425,3.0,(15|28)
0.7064220,4.0,(11|36)
0.7025316,4.0,(10|35)
0.6914893,4.0,(9|25)
0.6835443,2.0,(6|26)
0.6779661,4.0,(12|25)
0.6779026,2.0,(8|30)
0.6606335,3.0,(9|31)
0.6560510,2.0,(11|34)
0.6391752,3.0,(7|23)
0.6349207,3.0,(15|31)
0.6300367,2.0,(7|30)
0.6271186,4.0,(10|24)
0.6231884,3.0,(11|30)
0.6170213,3.0,(13|36)
0.6125000,3.0,(13|32)
0.6086956,3.0,(12|32)
0.6021506,3.0,(14|36)
0.5952381,3.0,(9|24)
0.5875000,2.0,(14|33)
0.5588235,3.0,(10|36)
0.5572519,4.0,(15|30)
0.5490196,1.0,(14|27)
0.5443925,4.0,(9|30)
0.5333334,3.0,(16|29)
0.5277778,2.0,(15|32)
0.5272727,3.0,(7|22)
0.5259259,3.0,(10|30)
0.5172414,3.0,(12|34)
0.5140187,1.0,(8|23)
0.5000000,1.0,(6|23)
0.5000000,2.0,(7|31)
0.4795918,4.0,(13|34)
0.4705882,3.0,(11|24)
0.4690722,4.0,(39|14)
0.4687500,2.0,(12|33)
0.4680851,2.0,(5|26)
0.4556962,2.0,(9|23)
0.4411765,3.0,(13|26)
0.4390935,4.0,(24|27)
0.4333333,2.0,(10|23)
0.4315245,3.0,(15|26)
0.4301994,4.0,(8|31)
0.4166667,4.0,(13|35)
0.4062500,3.0,(16|31)
0.4017094,2.0,(9|34)
0.4000000,3.0,(15|33)
0.4000000,2.0,(16|30)
0.3975904,3.0,(15|25)
0.3947369,3.0,(16|37)
0.3928571,3.0,(40|14)
0.3832335,4.0,(0|19)
0.3766234,4.0,(14|35)
0.3611111,3.0,(5|27)
0.3604061,3.0,(9|35)
0.3544304,2.0,(17|29)
0.3515151,3.0,(16|28)
0.3475936,1.0,(13|33)
0.3395349,3.0,(15|37)
0.3333333,2.0,(5|28)
0.3218391,3.0,(15|36)
0.3043478,4.0,(11|25)
0.2960000,4.0,(14|26)
0.2843750,4.0,(17|28)
0.2786885,2.0,(16|32)
0.2738095,4.0,(12|37)
0.2708333,2.0,(15|29)
0.2653061,3.0,(2|5)
0.2580645,4.0,(14|37)
0.2562814,3.0,(19|19)
0.2512077,3.0,(17|27)
0.2343750,3.0,(40|15)
0.2258064,3.0,(38|25)
0.2222222,2.0,(37|45)
0.2218430,3.0,(44|14)
0.2188235,3.0,(16|25)
0.2126984,4.0,(16|26)
0.2105263,3.0,(44|7)
0.2000000,1.0,(8|32)
0.1870504,3.0,(17|26)
0.1807580,4.0,(32|21)
0.1794872,2.0,(39|23)
0.1747573,3.0,(26|29)
0.1743119,3.0,(16|38)
0.1692308,3.0,(15|35)
0.1566820,3.0,(32|22)
0.1471264,4.0,(44|15)
0.1428571,3.0,(14|34)
0.1363636,4.0,(17|31)
0.1354167,3.0,(16|36)
0.1310680,3.0,(8|35)
0.1304348,1.0,(8|34)
0.1269841,2.0,(15|34)
0.1240876,4.0,(13|37)
0.1212121,2.0,(33|3)
0.1200000,2.0,(6|30)
0.1200000,2.0,(20|48)
0.1165049,4.0,(45|15)
0.1130952,3.0,(38|14)
0.1065574,3.0,(11|3)
0.1063830,2.0,(38|26)
0.1037567,3.0,(29|20)
0.1034483,1.0,(8|22)
0.1028571,3.0,(41|45)
0.1022727,3.0,(11|2)
0.1021505,3.0,(18|27)
0.1020408,2.0,(14|25)
0.1009615,4.0,(31|21)
0.09482758,3.0,(44|18)
0.09259259,1.0,(39|15)
0.09195402,2.0,(43|15)
0.09090909,1.0,(5|25)
0.08550186,4.0,(22|21)
0.08510638,4.0,(27|26)
0.08474576,3.0,(33|19)
0.08278867,3.0,(45|17)
0.08256881,3.0,(16|33)
0.08163265,3.0,(44|17)
0.08080808,3.0,(8|36)
0.08032128,3.0,(45|18)
0.07766990,2.0,(39|33)
0.07692308,3.0,(44|19)
0.07500000,3.0,(43|14)
0.07438017,3.0,(6|12)
0.07407407,2.0,(16|22)
0.07390300,3.0,(40|45)
0.07377049,3.0,(22|26)
0.07339449,3.0,(22|31)
0.07194245,3.0,(46|25)
0.07142857,1.0,(15|38)
0.07142857,2.0,(27|29)
0.07125891,3.0,(17|24)
0.07079646,3.0,(0|23)
0.07058824,3.0,(7|13)
0.07031250,3.0,(40|28)
0.06756756,3.0,(34|12)
0.06741573,3.0,(24|5)
0.06493507,2.0,(45|11)
0.06451613,2.0,(10|11)
0.06451613,3.0,(39|28)
0.06382979,3.0,(34|26)
0.06250000,1.0,(26|47)
0.06185567,3.0,(28|20)
0.06101695,3.0,(43|13)
0.05964912,3.0,(18|28)
0.05947955,3.0,(21|4)
0.05934718,3.0,(12|1)
0.05882353,2.0,(31|20)
0.05851064,3.0,(20|25)
0.05825243,2.0,(46|11)
0.05691057,2.0,(15|42)
0.05633803,3.0,(24|6)
0.05607476,3.0,(4|42)
0.05585106,3.0,(1|12)
0.05555556,2.0,(19|49)
0.05555556,3.0,(42|32)
0.05445544,3.0,(41|21)
0.05362776,3.0,(43|17)
0.05299539,2.0,(43|16)
0.05263158,1.0,(9|22)
0.05263158,1.0,(17|32)
0.05240175,3.0,(45|13)
0.05194805,2.0,(1|42)
0.05194805,2.0,(27|23)
0.05154639,3.0,(38|13)
0.05128205,2.0,(35|3)
0.05128205,2.0,(47|26)
0.05072464,2.0,(34|3)
0.04975124,2.0,(6|22)
0.04945055,2.0,(37|19)
0.04878049,3.0,(10|40)
0.04878049,2.0,(36|46)
0.04854369,2.0,(31|31)
0.04807692,2.0,(44|13)
0.04761905,2.0,(2|23)
0.04761905,1.0,(28|49)
0.04761905,1.0,(29|0)
0.04733728,3.0,(30|32)
0.04705882,3.0,(7|2)
0.04687500,3.0,(34|35)
0.04651163,2.0,(45|16)
0.04651163,2.0,(46|23)
0.04629629,2.0,(28|33)
0.04597701,3.0,(3|7)
0.04580153,2.0,(35|37)
0.04566210,3.0,(30|34)
0.04379562,3.0,(48|45)
0.04326923,3.0,(27|25)
0.04313726,3.0,(22|25)
0.04255319,4.0,(45|7)
0.04205608,3.0,(18|12)
0.04166667,1.0,(46|28)
0.04098361,3.0,(42|44)
0.04000000,2.0,(15|22)
0.04000000,2.0,(26|28)
0.03992740,3.0,(8|1)
0.03968254,1.0,(43|10)
0.03954802,3.0,(11|1)
0.03939962,3.0,(6|36)
0.03921569,3.0,(7|35)
0.03921569,1.0,(28|32)
0.03921569,1.0,(30|44)
0.03870968,3.0,(18|18)
0.03853211,3.0,(28|23)
0.03846154,2.0,(43|26)
0.03809524,2.0,(49|15)
0.03773585,2.0,(47|8)
0.03703704,2.0,(5|41)
0.03703704,1.0,(12|24)
0.03703704,2.0,(43|7)
0.03703704,3.0,(43|20)
