Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 50 | Criminal Law (jpg:50,idx:31)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.05042017,1.0,(21|9)
0.03529412,1.0,(30|45)
0.02255639,1.0,(18|45)
0.01754386,1.0,(3|46)
0.01744186,1.0,(35|43)
0.01724138,1.0,(36|44)
0.01652892,1.0,(6|12)
0.01492537,1.0,(20|43)
0.01379310,1.0,(44|6)
0.01142857,1.0,(41|43)
0.01125896,1.0,(28|46)
0.01067616,1.0,(23|8)
0.008771930,1.0,(17|9)
0.008771930,1.0,(48|0)
0.004065040,1.0,(28|3)
0.002967359,1.0,(12|1)
0.002427184,1.0,(39|45)
0.002392344,1.0,(38|38)
0.002118644,1.0,(31|48)
