Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 51 | Energy (jpg:51,idx:32)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9896373,1.0,(30|39)
0.9810771,3.0,(32|39)
0.9649123,2.0,(33|42)
0.9528302,2.0,(33|41)
0.9465020,4.0,(32|40)
0.9402985,3.0,(32|42)
0.9267676,3.0,(34|42)
0.8555377,4.0,(34|39)
0.8498845,6.0,(31|44)
0.8461539,1.0,(31|39)
0.8409091,5.0,(31|40)
0.8333333,2.0,(28|44)
0.8333333,2.0,(29|43)
0.8333333,2.0,(29|45)
0.8085107,4.0,(35|39)
0.8083067,6.0,(34|38)
0.7533333,4.0,(34|40)
0.7435898,5.0,(33|40)
0.6392405,2.0,(32|38)
0.6363636,4.0,(32|41)
0.6363636,4.0,(41|35)
0.5853658,4.0,(35|42)
0.5794872,5.0,(33|39)
0.5454546,5.0,(31|38)
0.5377358,5.0,(35|38)
0.5000000,1.0,(18|17)
0.4926471,4.0,(35|40)
0.4509804,4.0,(30|44)
0.4184915,1.0,(29|44)
0.4037559,6.0,(36|39)
0.3984375,4.0,(33|38)
0.3823529,3.0,(39|36)
0.3470320,1.0,(34|41)
0.3043478,6.0,(36|40)
0.2727273,5.0,(38|33)
0.2500000,2.0,(41|38)
0.2386364,5.0,(31|45)
0.2211538,5.0,(31|43)
0.2142857,3.0,(41|44)
0.1603053,5.0,(36|42)
0.1571429,5.0,(34|43)
0.1375000,4.0,(0|32)
0.1325301,4.0,(1|32)
0.1315790,3.0,(38|28)
0.1304348,3.0,(34|37)
0.1250000,1.0,(29|46)
0.1250000,3.0,(36|38)
0.1217391,3.0,(35|41)
0.1153846,1.0,(31|34)
0.1111111,2.0,(25|41)
0.1111111,2.0,(28|31)
0.1063830,3.0,(37|33)
0.1025641,2.0,(39|23)
0.1005291,6.0,(41|41)
0.1000000,1.0,(22|19)
0.09793814,5.0,(1|44)
0.09756097,2.0,(4|41)
0.09677419,2.0,(32|43)
0.09523810,4.0,(12|39)
0.09433962,4.0,(24|26)
0.08943089,4.0,(7|49)
0.08846761,4.0,(5|35)
0.08474576,3.0,(22|20)
0.08333334,2.0,(4|25)
0.08333334,3.0,(26|26)
0.08108108,1.0,(39|35)
0.07909604,4.0,(44|41)
0.07894737,2.0,(20|18)
0.07741936,3.0,(18|18)
0.07692308,5.0,(37|25)
0.07563026,2.0,(39|38)
0.07291666,3.0,(33|34)
0.07272727,2.0,(40|44)
0.07216495,1.0,(40|36)
0.07211538,6.0,(31|22)
0.07142857,4.0,(30|21)
0.07083333,3.0,(6|49)
0.07070707,4.0,(8|36)
0.06956521,5.0,(2|42)
0.06923077,3.0,(4|1)
0.06866953,4.0,(2|32)
0.06849315,3.0,(33|23)
0.06779661,3.0,(24|19)
0.06666667,3.0,(25|21)
0.06521739,2.0,(0|39)
0.06521739,2.0,(36|37)
0.06451613,5.0,(21|18)
0.06310680,5.0,(23|26)
0.06285714,3.0,(15|22)
0.06285714,4.0,(41|43)
0.06250000,2.0,(41|42)
0.06060606,1.0,(47|39)
0.05943152,4.0,(23|20)
0.05940594,3.0,(26|20)
0.05882353,2.0,(10|36)
0.05853659,3.0,(5|36)
0.05780347,4.0,(27|19)
0.05769231,3.0,(0|37)
0.05769231,2.0,(49|33)
0.05714286,3.0,(47|34)
0.05681818,3.0,(15|21)
0.05673759,3.0,(36|34)
0.05629139,5.0,(31|11)
0.05555556,2.0,(0|42)
0.05555556,2.0,(24|20)
0.05460751,3.0,(7|37)
0.05376344,3.0,(1|39)
0.05329949,5.0,(30|2)
0.05294118,4.0,(40|42)
0.05263158,1.0,(21|17)
0.05217391,3.0,(9|48)
0.05172414,4.0,(28|22)
0.05000000,4.0,(27|27)
0.05000000,2.0,(28|18)
0.04697987,3.0,(11|16)
0.04672897,5.0,(37|36)
0.04615385,3.0,(28|28)
0.04597701,2.0,(30|26)
0.04587156,3.0,(25|20)
0.04575163,3.0,(39|39)
0.04504504,2.0,(31|37)
0.04489796,3.0,(27|22)
0.04483431,4.0,(29|23)
0.04444445,2.0,(13|49)
0.04347826,3.0,(15|23)
0.04285714,2.0,(21|21)
0.04255319,2.0,(45|48)
0.04166667,2.0,(15|29)
0.04166667,1.0,(27|1)
0.04166667,4.0,(31|32)
0.04098361,3.0,(22|26)
0.04081633,3.0,(30|22)
0.04065040,2.0,(20|11)
0.04000000,1.0,(1|38)
0.03977273,4.0,(11|2)
0.03954802,4.0,(20|19)
0.03921569,3.0,(19|30)
0.03896104,1.0,(47|42)
0.03686636,3.0,(32|22)
0.03684210,2.0,(5|45)
0.03669725,2.0,(44|2)
0.03652968,4.0,(24|28)
0.03571429,2.0,(0|29)
0.03571429,1.0,(3|49)
0.03571429,2.0,(49|29)
0.03550296,4.0,(35|25)
0.03529412,2.0,(1|43)
0.03529412,1.0,(31|33)
0.03508772,3.0,(1|40)
0.03508772,1.0,(43|5)
0.03468208,1.0,(0|41)
0.03463203,2.0,(42|40)
0.03448276,2.0,(3|42)
0.03424658,4.0,(32|32)
0.03409091,2.0,(8|42)
0.03389831,1.0,(33|19)
0.03389831,2.0,(49|36)
0.03333334,2.0,(17|17)
0.03278688,2.0,(38|23)
0.03252032,2.0,(36|41)
0.03174603,2.0,(45|39)
0.03157895,2.0,(35|33)
0.03125000,1.0,(39|0)
0.03092784,3.0,(2|40)
0.03076923,1.0,(31|47)
0.03061225,2.0,(4|45)
0.03061225,1.0,(39|32)
0.03053435,2.0,(35|37)
0.03053435,3.0,(37|24)
0.03030303,4.0,(30|24)
0.03030303,2.0,(46|39)
0.02985075,2.0,(2|44)
0.02985075,2.0,(8|37)
0.02906977,3.0,(35|43)
0.02898551,1.0,(39|43)
0.02884615,2.0,(6|45)
0.02877698,2.0,(17|26)
0.02870813,3.0,(18|21)
0.02857143,2.0,(14|49)
0.02836879,2.0,(48|34)
0.02830189,1.0,(46|35)
0.02777778,3.0,(35|10)
0.02777778,2.0,(38|30)
0.02777778,1.0,(49|34)
0.02745098,3.0,(5|38)
0.02702703,2.0,(1|36)
0.02666667,1.0,(0|45)
0.02643172,3.0,(6|37)
0.02625821,4.0,(23|23)
0.02614379,2.0,(18|0)
