Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 60 | Enrolled Agents (jpg:60,idx:41)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.8830410,2.0,(24|46)
0.4914530,1.0,(25|46)
0.1372549,1.0,(25|45)
0.1372549,1.0,(25|47)
0.08333334,1.0,(7|20)
0.08064516,1.0,(35|16)
0.08064516,1.0,(36|17)
0.06106870,1.0,(46|31)
0.05454545,1.0,(45|31)
0.05263158,1.0,(47|31)
0.04255319,1.0,(38|26)
0.03883495,2.0,(39|33)
0.03529412,1.0,(38|22)
0.03030303,1.0,(4|28)
0.02631579,1.0,(7|21)
0.02500000,2.0,(0|28)
0.02469136,2.0,(42|28)
0.02380952,1.0,(2|23)
0.02112676,2.0,(43|31)
0.01910828,1.0,(3|12)
0.01621622,1.0,(3|10)
0.01379310,1.0,(42|11)
0.01234568,1.0,(43|24)
0.01190476,1.0,(49|26)
0.01136364,1.0,(27|30)
0.01111111,1.0,(26|41)
0.01101928,1.0,(42|29)
0.01036269,1.0,(25|44)
0.01030928,1.0,(7|23)
0.009433962,1.0,(48|28)
0.009345794,1.0,(47|28)
0.008547009,1.0,(45|32)
0.008264462,1.0,(6|12)
0.008196721,1.0,(39|34)
0.007751938,1.0,(39|21)
0.007751938,1.0,(48|26)
0.007633588,1.0,(36|18)
0.007518797,1.0,(38|20)
0.007299270,1.0,(46|29)
0.006410256,1.0,(18|19)
0.006250000,1.0,(3|27)
0.006250000,1.0,(43|27)
0.005917160,1.0,(44|24)
0.005847953,1.0,(47|7)
0.005586592,1.0,(42|25)
0.005555556,1.0,(42|32)
0.005494506,1.0,(37|19)
0.005235602,1.0,(0|27)
0.005208333,1.0,(4|22)
0.003802281,1.0,(42|21)
0.003787879,1.0,(49|20)
0.003597122,1.0,(42|30)
0.003355705,1.0,(47|11)
0.002849003,1.0,(40|18)
0.002816901,1.0,(42|31)
0.002747253,1.0,(44|10)
0.002680965,1.0,(49|16)
