Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 64 | Employment Litigation (jpg:64,idx:44)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9960707,1.0,(19|10)
0.9805680,3.0,(26|0)
0.9777328,1.0,(19|6)
0.9530792,5.0,(27|47)
0.9333333,3.0,(19|9)
0.9243698,3.0,(19|7)
0.9105691,2.0,(18|10)
0.8275862,3.0,(19|8)
0.7891374,5.0,(26|1)
0.7640449,2.0,(6|6)
0.7500000,1.0,(27|0)
0.7333333,2.0,(19|11)
0.6942446,5.0,(17|10)
0.6571429,1.0,(19|5)
0.6571429,5.0,(20|7)
0.6416667,2.0,(18|6)
0.6271186,3.0,(16|7)
0.6111111,1.0,(25|0)
0.5950920,5.0,(15|8)
0.5753425,1.0,(20|10)
0.5432526,4.0,(12|7)
0.5411765,3.0,(14|8)
0.5208791,1.0,(12|9)
0.5125000,2.0,(20|6)
0.5000000,3.0,(12|10)
0.4942857,1.0,(16|10)
0.4921875,2.0,(8|6)
0.4883721,3.0,(14|9)
0.4834437,3.0,(16|8)
0.4822695,4.0,(18|11)
0.4684210,4.0,(14|10)
0.4656489,3.0,(16|6)
0.4639175,3.0,(13|10)
0.4533333,2.0,(27|49)
0.4453125,2.0,(14|7)
0.4423077,3.0,(7|6)
0.4345794,5.0,(18|12)
0.4318182,3.0,(13|8)
0.4311927,5.0,(17|6)
0.4255319,2.0,(20|8)
0.4250000,3.0,(18|7)
0.4166667,1.0,(12|11)
0.4090909,2.0,(13|9)
0.4016393,3.0,(20|9)
0.4015152,4.0,(11|9)
0.4000000,4.0,(17|7)
0.4000000,3.0,(20|5)
0.3823529,2.0,(25|1)
0.3820225,3.0,(15|9)
0.3775510,4.0,(15|7)
0.3775510,2.0,(18|5)
0.3762376,4.0,(18|9)
0.3750000,4.0,(12|8)
0.3750000,4.0,(18|8)
0.3596491,5.0,(17|11)
0.2857143,1.0,(13|11)
0.2553191,4.0,(11|7)
0.2500000,2.0,(27|1)
0.2479339,5.0,(17|8)
0.2441860,3.0,(26|2)
0.2184874,4.0,(21|9)
0.2183908,4.0,(17|5)
0.2155689,5.0,(40|47)
0.2058824,4.0,(16|9)
0.2056075,5.0,(13|7)
0.1956522,3.0,(11|8)
0.1823708,2.0,(15|10)
0.1822430,4.0,(25|2)
0.1754386,4.0,(15|6)
0.1666667,4.0,(12|6)
0.1578947,2.0,(8|5)
0.1578947,5.0,(17|9)
0.1484099,5.0,(38|1)
0.1397849,4.0,(18|4)
0.1382114,2.0,(20|11)
0.1250000,1.0,(31|35)
0.1250000,1.0,(42|9)
0.1232877,4.0,(7|7)
0.1190476,5.0,(13|6)
0.1190476,3.0,(21|6)
0.1166667,3.0,(9|10)
0.1111111,1.0,(11|10)
0.1111111,1.0,(37|45)
0.1097561,3.0,(21|7)
0.1067961,3.0,(16|5)
0.1022727,3.0,(35|0)
0.1020408,2.0,(24|49)
0.1012658,4.0,(17|3)
0.09230769,3.0,(14|11)
0.09090909,1.0,(26|49)
0.08955224,4.0,(39|49)
0.08860759,4.0,(15|5)
0.08771930,2.0,(15|11)
0.08333334,1.0,(36|10)
0.07936508,2.0,(48|6)
0.07913669,4.0,(49|46)
0.07692308,2.0,(17|12)
0.07317073,3.0,(10|4)
0.07317073,1.0,(45|1)
0.07051282,4.0,(25|49)
0.07024793,5.0,(19|4)
0.06666667,1.0,(3|45)
0.06521739,3.0,(0|39)
0.06493507,4.0,(44|0)
0.06400000,4.0,(41|36)
0.06338028,5.0,(24|6)
0.06250000,4.0,(39|0)
0.06250000,1.0,(41|42)
0.06201550,4.0,(14|47)
0.06122449,3.0,(12|3)
0.06060606,3.0,(21|8)
0.05882353,1.0,(18|49)
0.05813954,2.0,(19|3)
0.05633803,3.0,(23|6)
0.05555556,2.0,(11|4)
0.05555556,1.0,(41|38)
0.05494506,2.0,(34|0)
0.05357143,4.0,(14|6)
0.05263158,1.0,(26|4)
0.05220884,4.0,(1|7)
0.05072464,3.0,(13|4)
0.05000000,4.0,(10|6)
0.04950495,4.0,(43|6)
0.04938272,3.0,(39|1)
0.04938272,2.0,(43|7)
0.04854369,3.0,(16|3)
0.04838710,2.0,(19|12)
0.04787234,3.0,(21|48)
0.04761905,3.0,(13|3)
0.04639175,4.0,(39|48)
0.04545455,1.0,(24|7)
0.04524887,3.0,(43|44)
0.04347826,4.0,(10|3)
0.04237288,4.0,(42|5)
0.04166667,1.0,(15|29)
0.04166667,1.0,(16|11)
0.04166667,2.0,(16|36)
0.04166667,1.0,(18|3)
0.04081633,2.0,(14|25)
0.04000000,1.0,(6|30)
0.03870968,5.0,(12|5)
0.03835616,3.0,(9|4)
0.03793104,5.0,(12|4)
0.03787879,3.0,(13|38)
0.03703704,1.0,(10|5)
0.03680982,4.0,(41|37)
0.03676471,2.0,(9|11)
0.03571429,2.0,(43|1)
0.03448276,3.0,(0|38)
0.03448276,1.0,(7|5)
0.03418804,1.0,(2|45)
0.03296703,1.0,(33|33)
0.03296703,2.0,(40|49)
0.03225806,1.0,(10|11)
0.03174603,4.0,(44|1)
0.02985075,2.0,(43|2)
0.02865330,4.0,(9|5)
0.02857143,1.0,(36|11)
0.02816901,1.0,(14|22)
0.02803738,1.0,(9|8)
0.02797203,2.0,(38|49)
0.02777778,1.0,(22|5)
0.02764977,3.0,(32|22)
0.02752294,1.0,(44|4)
0.02702703,1.0,(16|45)
0.02631579,1.0,(22|9)
0.02617801,2.0,(25|28)
0.02597403,2.0,(47|42)
0.02592593,2.0,(27|2)
0.02580645,3.0,(21|18)
0.02564103,2.0,(10|22)
0.02531646,1.0,(16|19)
0.02500000,1.0,(44|49)
0.02469136,1.0,(37|48)
0.02459016,2.0,(11|3)
0.02439024,1.0,(4|41)
0.02409638,2.0,(49|38)
0.02380952,1.0,(5|40)
0.02380952,1.0,(5|46)
0.02352941,2.0,(1|43)
0.02352941,1.0,(31|33)
0.02298851,1.0,(34|1)
0.02293578,2.0,(44|2)
0.02272727,1.0,(32|20)
0.02247191,2.0,(24|5)
0.02222222,1.0,(24|20)
0.02205882,3.0,(24|1)
0.02190923,4.0,(24|48)
0.02173913,1.0,(18|2)
0.02173913,1.0,(34|2)
0.02173913,2.0,(34|3)
0.02162162,2.0,(37|1)
0.02116402,3.0,(46|4)
0.02105263,2.0,(36|47)
0.02077151,2.0,(12|1)
0.02061856,1.0,(1|44)
0.02057613,2.0,(2|46)
0.02040816,2.0,(11|6)
0.02000000,1.0,(8|4)
0.02000000,1.0,(19|42)
0.02000000,1.0,(20|48)
0.02000000,1.0,(45|42)
0.01980198,1.0,(33|47)
0.01960784,1.0,(34|34)
0.01960784,2.0,(40|48)
0.01895735,3.0,(5|35)
0.01840491,2.0,(42|1)
0.01831502,3.0,(7|30)
0.01818182,1.0,(9|12)
0.01818182,2.0,(13|5)
0.01818182,3.0,(32|45)
0.01799486,4.0,(11|5)
0.01785714,1.0,(45|47)
0.01754386,1.0,(25|4)
0.01754386,1.0,(27|20)
0.01754386,1.0,(43|5)
0.01749271,1.0,(32|21)
0.01709402,2.0,(2|49)
0.01709402,1.0,(10|34)
0.01709402,1.0,(21|49)
0.01694915,1.0,(28|24)
0.01685393,1.0,(32|0)
0.01680672,2.0,(18|39)
0.01678657,3.0,(44|43)
0.01675978,2.0,(34|46)
0.01666667,2.0,(26|3)
0.01666667,1.0,(28|18)
0.01666667,2.0,(43|45)
0.01639344,1.0,(10|7)
0.01639344,2.0,(42|44)
0.01612903,1.0,(41|5)
0.01587302,1.0,(12|39)
0.01578947,2.0,(5|45)
0.01507538,1.0,(16|42)
0.01500000,2.0,(35|48)
0.01492537,1.0,(15|49)
0.01492537,1.0,(20|43)
0.01459854,1.0,(48|45)
0.01435407,2.0,(11|48)
0.01423488,3.0,(23|8)
0.01408451,1.0,(16|18)
0.01398601,2.0,(34|48)
0.01388889,1.0,(42|46)
0.01379310,2.0,(14|4)
0.01369863,1.0,(25|8)
0.01342282,2.0,(43|0)
0.01333333,1.0,(0|45)
0.01298701,1.0,(37|47)
0.01298701,3.0,(42|40)
0.01282051,1.0,(23|49)
0.01265823,1.0,(37|2)
0.01265823,1.0,(39|3)
0.01265823,1.0,(40|0)
0.01257862,1.0,(18|1)
0.01250000,2.0,(25|3)
0.01237624,4.0,(41|49)
0.01212121,1.0,(40|44)
0.01190476,1.0,(35|47)
0.01176471,1.0,(21|2)
0.01176471,1.0,(30|45)
0.01158301,3.0,(8|8)
0.01156069,1.0,(0|41)
0.01149425,1.0,(15|36)
0.01136364,1.0,(30|24)
0.01136364,1.0,(47|41)
0.01111111,1.0,(46|48)
0.01081081,2.0,(19|43)
0.01075269,1.0,(42|0)
0.01069519,2.0,(36|4)
0.01063830,1.0,(27|26)
0.01052632,1.0,(13|0)
0.01020408,1.0,(30|21)
0.01020408,2.0,(30|22)
0.01016949,1.0,(33|2)
0.01005025,2.0,(4|5)
0.01000000,1.0,(14|23)
0.009900990,2.0,(26|20)
0.009803922,1.0,(8|18)
0.009803922,1.0,(48|1)
0.009756098,1.0,(14|12)
0.009661836,1.0,(11|30)
0.009661836,1.0,(14|45)
0.009661836,1.0,(21|43)
0.009615385,1.0,(0|7)
0.009615385,1.0,(31|22)
0.009345794,1.0,(8|23)
0.009345794,1.0,(11|35)
0.009259259,1.0,(42|45)
0.009174312,1.0,(34|45)
0.009174312,1.0,(43|49)
0.009132420,1.0,(24|28)
0.009049774,1.0,(34|49)
0.008944544,3.0,(36|3)
0.008695652,1.0,(47|2)
0.008620690,1.0,(17|4)
0.008620690,1.0,(38|0)
0.008474576,1.0,(24|19)
0.008474576,1.0,(41|1)
0.008403362,1.0,(3|40)
0.008403362,1.0,(45|38)
0.008196721,1.0,(1|3)
0.008196721,1.0,(40|46)
0.008163265,4.0,(38|45)
0.008130081,1.0,(49|5)
0.008064516,1.0,(37|8)
0.008000000,1.0,(2|6)
0.007905139,1.0,(33|49)
0.007874016,1.0,(34|24)
0.007874016,1.0,(47|47)
0.007853403,3.0,(7|41)
0.007812500,1.0,(43|39)
0.007751938,1.0,(45|2)
0.007692308,1.0,(37|25)
0.007633588,2.0,(34|4)
0.007575758,1.0,(36|2)
0.007352941,1.0,(35|40)
0.007299270,1.0,(33|37)
0.007299270,1.0,(44|44)
0.007246377,1.0,(46|0)
0.007142857,1.0,(8|38)
0.007142857,1.0,(49|0)
0.007092198,2.0,(35|8)
0.006993007,1.0,(10|10)
0.006944444,1.0,(0|42)
0.006944444,1.0,(16|39)
0.006896552,1.0,(44|6)
0.006711409,1.0,(33|48)
0.006666667,2.0,(14|39)
0.006666667,1.0,(28|7)
0.006622517,1.0,(48|46)
0.006578947,1.0,(10|37)
0.006535948,1.0,(18|0)
0.006493506,1.0,(11|40)
0.006493506,2.0,(25|48)
0.006369427,1.0,(29|13)
0.006329114,1.0,(10|18)
0.006329114,1.0,(10|35)
0.006211180,1.0,(8|2)
0.006134969,1.0,(42|36)
0.006134969,1.0,(43|35)
0.005988024,1.0,(11|13)
0.005952381,1.0,(9|2)
0.005952381,1.0,(33|14)
0.005847953,1.0,(0|12)
0.005847953,2.0,(29|23)
0.005813953,1.0,(35|43)
0.005780347,1.0,(27|19)
0.005714286,1.0,(41|43)
0.005714286,1.0,(41|45)
0.005681818,1.0,(8|42)
0.005681818,1.0,(11|2)
0.005649718,2.0,(28|0)
0.005649718,1.0,(44|41)
0.005617978,3.0,(42|6)
0.005464481,1.0,(37|10)
0.005434783,1.0,(1|6)
0.005354752,1.0,(8|3)
0.005319149,1.0,(37|23)
0.005263158,1.0,(24|2)
0.005235602,2.0,(27|21)
0.005181347,2.0,(25|26)
