Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 65 | Healthcare Compliance (jpg:65,idx:45)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(17|15)
1.000000,1.0,(17|16)
1.000000,1.0,(18|15)
0.9885057,1.0,(16|15)
0.9789473,1.0,(16|16)
0.9576271,1.0,(17|14)
0.9453552,1.0,(16|14)
0.8971428,1.0,(15|14)
0.8848485,1.0,(16|17)
0.8571429,1.0,(15|15)
0.8409091,2.0,(16|13)
0.8222222,1.0,(14|14)
0.8111111,1.0,(15|16)
0.7936508,2.0,(16|12)
0.7751479,1.0,(15|17)
0.7142857,1.0,(18|13)
0.6978022,1.0,(15|18)
0.6576577,1.0,(14|15)
0.6306818,2.0,(17|13)
0.6263736,1.0,(14|13)
0.6227545,1.0,(11|13)
0.6181818,2.0,(15|13)
0.6170213,1.0,(18|14)
0.6014493,1.0,(13|14)
0.5865922,1.0,(13|15)
0.5548781,1.0,(14|16)
0.5517241,2.0,(12|13)
0.5514019,1.0,(14|17)
0.5447236,1.0,(13|13)
0.5352113,2.0,(16|18)
0.5306122,1.0,(13|12)
0.4934210,2.0,(12|12)
0.4846626,1.0,(12|14)
0.4509091,3.0,(15|12)
0.4439024,2.0,(14|12)
0.4343434,1.0,(14|18)
0.4193548,1.0,(13|16)
0.3823529,2.0,(10|13)
0.3750000,2.0,(15|19)
0.3655172,1.0,(14|19)
0.3636364,3.0,(8|10)
0.3511706,1.0,(13|17)
0.3450704,1.0,(12|15)
0.3449782,2.0,(11|14)
0.3333333,2.0,(15|20)
0.3266667,3.0,(12|16)
0.3000000,1.0,(17|17)
0.2773723,1.0,(13|18)
0.2769231,1.0,(14|11)
0.2739726,3.0,(11|15)
0.2692308,2.0,(17|12)
0.2531646,1.0,(16|19)
0.2500000,1.0,(8|9)
0.2500000,1.0,(13|25)
0.2280702,2.0,(12|18)
0.2222222,2.0,(9|13)
0.2000000,1.0,(13|19)
0.1878788,1.0,(12|17)
0.1844660,2.0,(12|19)
0.1835938,1.0,(14|20)
0.1796117,1.0,(11|12)
0.1744967,2.0,(11|16)
0.1593407,3.0,(10|14)
0.1468531,3.0,(10|15)
0.1323529,3.0,(9|14)
0.1286550,2.0,(12|20)
0.1250000,2.0,(15|21)
0.1200000,1.0,(13|20)
0.1176471,1.0,(11|17)
0.1153846,1.0,(11|18)
0.1090909,1.0,(9|12)
0.1042945,2.0,(9|17)
0.1000000,2.0,(7|16)
0.1000000,2.0,(8|11)
0.09890110,2.0,(9|15)
0.09469697,1.0,(11|11)
0.08955224,2.0,(15|49)
0.08910891,3.0,(9|21)
0.08383234,1.0,(10|17)
0.08064516,1.0,(5|16)
0.06896552,2.0,(0|38)
0.06666667,1.0,(10|9)
0.06603774,1.0,(18|1)
0.06500000,1.0,(13|21)
0.06214689,1.0,(22|43)
0.05882353,1.0,(11|24)
0.05633803,1.0,(9|9)
0.05594406,1.0,(10|10)
0.05369128,2.0,(43|0)
0.05263158,2.0,(15|11)
0.05263158,1.0,(21|17)
0.05128205,2.0,(35|3)
0.05000000,1.0,(5|17)
0.05000000,1.0,(6|18)
0.05000000,1.0,(13|47)
0.05000000,1.0,(14|23)
0.05000000,2.0,(26|3)
0.04838710,1.0,(10|11)
0.04794521,1.0,(10|16)
0.04651163,2.0,(45|2)
0.04545455,1.0,(17|18)
0.04430380,3.0,(8|14)
0.04411765,1.0,(14|21)
0.04054054,2.0,(6|16)
0.03738318,1.0,(11|19)
0.03703704,1.0,(30|47)
0.03703704,1.0,(43|7)
0.03571429,1.0,(43|1)
