Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 56 | Sales/Use (jp:56,idx:2)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,2407.0,(20|40)
1.000000,18.0,(20|41)
0.9888889,89.0,(21|40)
0.9774011,173.0,(20|39)
0.9645390,136.0,(21|39)
0.8780488,72.0,(21|41)
0.8721805,116.0,(22|40)
0.8634146,177.0,(20|38)
0.7692308,110.0,(19|38)
0.7142857,15.0,(22|39)
0.7037037,76.0,(19|39)
0.6883117,53.0,(19|40)
0.6751592,106.0,(24|37)
0.6515151,43.0,(23|39)
0.6238938,141.0,(23|38)
0.6237624,63.0,(21|38)
0.6100629,97.0,(23|40)
0.5714286,80.0,(25|37)
0.5592105,85.0,(19|37)
0.5333334,8.0,(22|41)
0.5049505,102.0,(22|38)
0.4800000,60.0,(20|37)
0.4307692,28.0,(21|37)
0.3149606,40.0,(19|36)
0.3103448,63.0,(22|37)
0.2616822,28.0,(23|37)
0.2500000,28.0,(23|30)
0.2500000,21.0,(23|42)
0.2444444,22.0,(24|36)
0.2376238,24.0,(23|41)
0.2266667,34.0,(24|39)
0.2083333,15.0,(25|36)
0.2071429,29.0,(24|31)
0.1954887,26.0,(20|36)
0.1800000,18.0,(24|32)
0.1774193,11.0,(24|38)
0.1590909,14.0,(24|30)
0.1477832,30.0,(6|9)
0.1470588,10.0,(19|41)
0.1346154,14.0,(21|36)
0.1184211,9.0,(22|36)
0.1052632,2.0,(48|7)
0.1034483,12.0,(25|31)
0.1025641,8.0,(23|36)
0.1020408,10.0,(7|9)
0.09433962,10.0,(47|8)
0.08235294,21.0,(23|32)
0.08080808,8.0,(19|35)
0.07645260,25.0,(46|18)
0.07092199,10.0,(23|28)
0.06726457,15.0,(46|19)
0.06557377,8.0,(23|43)
0.05976096,15.0,(21|30)
0.05902778,17.0,(47|19)
0.05882353,4.0,(24|40)
0.05714286,2.0,(26|37)
0.05555556,5.0,(26|41)
0.04945055,9.0,(44|19)
0.04854369,5.0,(22|29)
0.04587156,5.0,(48|25)
0.04545455,1.0,(24|7)
0.04494382,4.0,(16|21)
0.04494382,4.0,(26|34)
0.04363636,12.0,(20|27)
0.04137931,12.0,(0|20)
0.04000000,6.0,(1|11)
0.03703704,6.0,(42|28)
0.03636364,2.0,(7|22)
