Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 79 | Corp Law (jp:79,idx:11)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9155313,1008.0,(12|0)
0.8210526,78.0,(13|0)
0.7111111,32.0,(13|49)
0.6406250,82.0,(14|0)
0.4938776,121.0,(12|2)
0.4843750,62.0,(12|49)
0.4835681,103.0,(11|0)
0.4814815,104.0,(13|2)
0.4645833,223.0,(14|2)
0.4358974,17.0,(13|1)
0.4145078,80.0,(14|1)
0.4040816,99.0,(15|0)
0.4035608,136.0,(12|1)
0.3857143,27.0,(14|49)
0.3688525,45.0,(15|1)
0.3286713,94.0,(12|48)
0.3010204,59.0,(12|3)
0.2692308,7.0,(15|48)
0.2656250,17.0,(14|3)
0.2602740,38.0,(11|49)
0.2500000,1.0,(42|41)
0.2485876,88.0,(11|1)
0.2367021,89.0,(10|0)
0.2063492,13.0,(13|3)
0.2009569,42.0,(11|48)
0.2000000,1.0,(8|32)
0.1785714,15.0,(13|48)
0.1704545,30.0,(11|2)
0.1694915,30.0,(14|48)
0.1666667,15.0,(10|49)
0.1492537,10.0,(15|49)
0.1474654,32.0,(10|1)
0.1402214,38.0,(9|0)
0.1298077,27.0,(31|21)
0.1243243,23.0,(9|49)
0.1153846,3.0,(2|3)
0.1004184,24.0,(2|43)
0.09774436,13.0,(9|1)
0.09655172,14.0,(10|2)
0.09589041,14.0,(10|47)
0.08965518,13.0,(10|48)
0.08955224,6.0,(2|44)
0.08943089,44.0,(5|2)
0.08910891,18.0,(3|44)
0.08450704,6.0,(19|45)
0.08000000,4.0,(4|48)
0.08000000,2.0,(22|44)
0.07179487,14.0,(27|24)
0.07142857,3.0,(5|46)
0.07058824,6.0,(1|43)
0.06832298,11.0,(10|3)
0.06756756,10.0,(9|3)
0.06666667,2.0,(16|30)
0.06626506,11.0,(19|44)
0.06603774,7.0,(4|2)
0.06588235,28.0,(35|9)
0.06486487,12.0,(7|18)
0.06086956,7.0,(9|48)
0.06000000,3.0,(8|4)
0.05882353,1.0,(46|43)
0.05847953,10.0,(9|46)
0.05681818,5.0,(2|1)
0.05670103,11.0,(1|44)
0.05555556,1.0,(35|13)
0.05327869,13.0,(6|2)
0.04918033,12.0,(5|3)
0.04861111,7.0,(0|42)
0.04854369,5.0,(16|3)
0.04819277,4.0,(16|0)
0.04761905,2.0,(3|0)
0.04712042,18.0,(7|41)
0.04605263,7.0,(12|12)
0.04504504,5.0,(10|46)
0.04477612,3.0,(31|2)
0.04395605,4.0,(29|1)
0.04210526,8.0,(5|45)
0.04132231,5.0,(9|47)
0.04081633,4.0,(30|21)
0.04081633,2.0,(34|21)
0.04000000,1.0,(19|1)
0.03947368,3.0,(29|2)
0.03875969,5.0,(14|47)
0.03846154,10.0,(4|1)
0.03846154,2.0,(17|12)
0.03703704,2.0,(8|46)
0.03663004,10.0,(7|30)
0.03614458,3.0,(29|19)
0.03603604,4.0,(6|44)
0.03589744,7.0,(10|41)
0.03508772,2.0,(3|46)
0.03488372,3.0,(3|1)
0.03448276,8.0,(6|48)
0.03333334,1.0,(19|11)
0.03301887,7.0,(23|21)
0.03225806,2.0,(17|48)
0.03157895,3.0,(4|3)
0.03125000,4.0,(12|41)
0.03125000,2.0,(18|48)
0.03097345,7.0,(15|44)
0.03076923,4.0,(30|23)
0.03061225,6.0,(30|22)
0.03030303,1.0,(4|28)
0.03030303,4.0,(49|43)
0.03012048,5.0,(8|49)
0.02941176,5.0,(7|40)
0.02941176,1.0,(31|20)
0.02898551,2.0,(28|30)
0.02884615,3.0,(6|45)
0.02857143,5.0,(41|45)
0.02824859,5.0,(28|24)
0.02777778,6.0,(4|36)
0.02727273,3.0,(11|47)
0.02651515,7.0,(11|11)
0.02640264,8.0,(7|4)
0.02608696,3.0,(7|12)
0.02597403,2.0,(12|47)
0.02597403,2.0,(27|23)
0.02586207,3.0,(3|42)
0.02580645,4.0,(49|41)
0.02564103,4.0,(24|21)
0.02515723,4.0,(5|33)
0.02479339,3.0,(6|12)
0.02439024,3.0,(0|43)
0.02439024,3.0,(8|44)
0.02439024,2.0,(10|40)
0.02439024,3.0,(20|11)
0.02427184,5.0,(11|12)
0.02400000,6.0,(2|6)
0.02380952,1.0,(5|40)
0.02380952,2.0,(21|6)
0.02380952,4.0,(33|14)
0.02366864,4.0,(6|41)
0.02352941,2.0,(8|15)
0.02298851,2.0,(18|46)
0.02290076,3.0,(17|44)
0.02279202,8.0,(8|31)
0.02247191,2.0,(24|5)
0.02222222,9.0,(7|3)
0.02197802,2.0,(40|49)
0.02189781,6.0,(33|37)
0.02173913,1.0,(0|39)
0.02173913,5.0,(7|47)
0.02173913,1.0,(18|2)
0.02127660,2.0,(9|38)
0.02121212,7.0,(8|47)
0.02097902,3.0,(27|5)
0.02083333,5.0,(6|49)
0.02083333,2.0,(26|10)
0.02051282,8.0,(33|39)
0.02040816,1.0,(2|5)
0.02040816,2.0,(4|45)
0.02040816,5.0,(27|22)
0.02032520,5.0,(28|3)
0.02030457,4.0,(9|35)
0.02000000,3.0,(3|2)
0.02000000,1.0,(6|33)
