Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 91 | ERISA (jp:91,idx:15)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9364162,486.0,(23|5)
0.5617977,50.0,(24|5)
0.5492958,78.0,(23|6)
0.5238096,33.0,(23|4)
0.4917012,237.0,(24|4)
0.4905405,363.0,(20|2)
0.4804878,197.0,(22|6)
0.4780059,163.0,(21|5)
0.4756757,176.0,(20|3)
0.4711539,98.0,(22|4)
0.4645669,354.0,(23|2)
0.4640884,84.0,(22|2)
0.4617564,163.0,(21|3)
0.4529412,77.0,(21|2)
0.4526316,86.0,(24|2)
0.4395604,120.0,(22|3)
0.4360465,75.0,(21|1)
0.4347826,100.0,(22|1)
0.4228856,85.0,(20|4)
0.4213836,67.0,(23|3)
0.3865031,63.0,(19|2)
0.3803681,62.0,(23|1)
0.3611111,26.0,(22|5)
0.3382353,23.0,(24|3)
0.3333333,72.0,(20|1)
0.3333333,2.0,(22|7)
0.3290156,127.0,(25|26)
0.3200000,8.0,(19|1)
0.2975207,72.0,(19|4)
0.2945736,76.0,(19|3)
0.2936803,79.0,(21|4)
0.2720588,37.0,(9|11)
0.2261905,19.0,(21|6)
0.2083333,10.0,(18|3)
0.1904762,20.0,(25|25)
0.1842105,21.0,(25|4)
0.1544401,40.0,(8|8)
0.1410256,11.0,(23|49)
0.1333333,2.0,(20|5)
0.1197183,17.0,(24|6)
0.1190476,5.0,(5|40)
0.1111111,2.0,(25|0)
0.1086956,5.0,(18|2)
0.1077844,18.0,(40|47)
0.1034483,6.0,(10|12)
0.1018519,11.0,(22|48)
0.09302326,36.0,(23|20)
0.08823530,3.0,(25|1)
0.08333334,1.0,(30|38)
0.08000000,6.0,(25|21)
0.07792208,18.0,(25|24)
0.06896552,6.0,(21|0)
0.06493507,5.0,(27|23)
0.06451613,6.0,(18|4)
0.06250000,1.0,(29|22)
0.06122449,3.0,(24|49)
0.06060606,2.0,(4|28)
0.05970149,8.0,(26|19)
0.05882353,18.0,(7|35)
0.05882353,1.0,(11|24)
0.05882353,1.0,(21|42)
0.05882353,1.0,(22|42)
0.05882353,2.0,(27|3)
0.05769231,9.0,(18|19)
0.05714286,6.0,(6|35)
0.05555556,3.0,(8|46)
0.05555556,2.0,(26|26)
0.05102041,10.0,(12|3)
0.04878049,2.0,(36|46)
0.04545455,1.0,(9|36)
0.04545455,1.0,(17|18)
0.04545455,1.0,(19|0)
0.04545455,1.0,(24|7)
