Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 111 | International Trade (jp:111,idx:21)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,407.0,(19|47)
0.8750000,14.0,(19|48)
0.8214286,46.0,(19|46)
0.6562500,42.0,(18|48)
0.6547619,55.0,(18|47)
0.5747126,50.0,(18|46)
0.5657895,86.0,(17|47)
0.4910714,55.0,(20|47)
0.3709677,23.0,(17|48)
0.3383459,45.0,(18|45)
0.3043478,7.0,(20|46)
0.2647059,9.0,(18|49)
0.2222222,14.0,(17|46)
0.1267606,9.0,(19|45)
0.05691057,7.0,(17|45)
0.04477612,3.0,(16|47)
0.04477612,6.0,(18|44)
0.04444445,2.0,(13|49)
0.03529412,9.0,(7|13)
0.03448276,1.0,(14|44)
0.02985075,2.0,(8|37)
0.02531646,2.0,(16|19)
0.02469136,2.0,(43|7)
0.02325581,2.0,(45|0)
0.02105263,2.0,(13|43)
0.02040816,1.0,(2|5)
0.02010050,4.0,(16|42)
0.02000000,1.0,(4|48)
0.01840491,3.0,(41|37)
0.01709402,2.0,(2|45)
0.01694915,3.0,(14|48)
0.01570681,6.0,(27|21)
0.01550388,2.0,(45|2)
0.01538462,1.0,(14|11)
0.01492537,1.0,(2|44)
0.01428571,1.0,(14|49)
0.01369863,1.0,(5|48)
0.01351351,2.0,(9|3)
0.01298701,2.0,(11|40)
0.01282051,2.0,(10|22)
0.01282051,1.0,(49|37)
0.01265823,1.0,(9|23)
0.01250000,2.0,(0|32)
0.01234568,1.0,(16|2)
0.01204819,2.0,(19|44)
0.01200000,3.0,(41|36)
0.01176471,1.0,(6|15)
0.01136364,1.0,(2|1)
0.01133144,4.0,(24|27)
0.01081081,2.0,(37|1)
0.01052632,2.0,(5|45)
0.01048951,3.0,(12|48)
0.01034483,3.0,(32|10)
0.01020408,1.0,(13|12)
0.01015228,2.0,(17|30)
0.009900990,2.0,(20|13)
0.009708738,2.0,(8|35)
0.009661836,2.0,(21|43)
0.009615385,1.0,(23|11)
0.008695652,1.0,(9|48)
0.008620690,2.0,(28|22)
0.008333334,1.0,(28|18)
0.008333334,2.0,(43|38)
0.008264462,1.0,(9|47)
0.008264462,2.0,(47|43)
0.008130081,1.0,(15|42)
0.007874016,2.0,(33|12)
0.007633588,1.0,(36|42)
0.007575758,1.0,(16|13)
0.007518797,1.0,(22|10)
0.007380074,2.0,(9|0)
0.007246377,1.0,(10|38)
0.007092198,2.0,(35|8)
0.007042253,1.0,(15|41)
0.006944444,1.0,(4|46)
0.006928407,3.0,(40|45)
0.006896552,1.0,(0|38)
0.006896552,1.0,(10|48)
0.006802721,1.0,(3|5)
0.006802721,4.0,(26|48)
0.006622517,2.0,(6|3)
0.006451613,1.0,(21|18)
0.006211180,1.0,(10|3)
0.005952381,1.0,(33|14)
0.005681818,1.0,(27|30)
0.005617978,2.0,(27|28)
0.005366726,3.0,(29|20)
0.005181347,1.0,(45|22)
0.005154639,1.0,(1|44)
0.005025126,1.0,(4|5)
0.004950495,1.0,(26|20)
0.004878049,1.0,(14|12)
0.004807692,1.0,(22|4)
0.004629630,1.0,(17|2)
0.004587156,1.0,(44|2)
0.004566210,1.0,(11|15)
0.004566210,1.0,(34|41)
0.004474273,2.0,(30|5)
0.004366812,2.0,(28|19)
0.004329004,1.0,(25|24)
0.004310345,1.0,(6|48)
0.004081632,1.0,(15|0)
0.004081632,2.0,(29|17)
0.004016064,1.0,(1|7)
0.004016064,1.0,(7|45)
0.004008016,2.0,(5|1)
0.003913894,2.0,(29|47)
0.003913894,2.0,(29|48)
0.003861004,1.0,(0|36)
0.003558719,1.0,(23|8)
0.003490401,2.0,(34|7)
0.003333333,1.0,(28|7)
0.003129890,2.0,(24|48)
0.003125000,1.0,(37|28)
0.003030303,1.0,(8|47)
0.002949852,1.0,(31|8)
0.002915452,1.0,(32|21)
0.002762431,1.0,(9|37)
0.002577320,1.0,(6|1)
0.002469136,1.0,(7|3)
0.002352941,1.0,(35|9)
0.002288329,1.0,(30|12)
0.002136752,1.0,(23|45)
0.002020202,1.0,(38|35)
0.001960784,1.0,(22|25)
0.001949318,1.0,(29|23)
0.001895735,2.0,(41|46)
0.001683502,1.0,(33|1)
0.001449275,1.0,(21|44)
0.001231527,1.0,(32|17)
0.001013171,1.0,(23|27)
