Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 130 | Securities (jp:130,idx:28)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8442623,309.0,(5|44)
0.4854497,367.0,(4|43)
0.4520548,33.0,(5|43)
0.4405594,63.0,(5|42)
0.3894737,74.0,(5|45)
0.3508772,20.0,(4|44)
0.3364486,36.0,(4|42)
0.3333333,5.0,(3|45)
0.3221476,48.0,(6|43)
0.3168317,64.0,(3|44)
0.3163265,31.0,(4|45)
0.2980769,31.0,(3|43)
0.2947977,51.0,(6|42)
0.2342342,26.0,(6|44)
0.1933085,52.0,(6|40)
0.1904762,8.0,(5|46)
0.1694915,10.0,(5|39)
0.1656805,28.0,(6|41)
0.1428571,1.0,(30|3)
0.1057692,11.0,(34|32)
0.1000000,2.0,(5|17)
0.1000000,2.0,(6|18)
0.09259259,5.0,(5|41)
0.09036145,15.0,(7|42)
0.07792208,12.0,(11|39)
0.07792208,6.0,(12|47)
0.06382979,6.0,(9|38)
0.06274510,16.0,(5|38)
0.06250000,1.0,(30|20)
0.06113537,14.0,(6|39)
0.06106870,8.0,(10|39)
0.06020942,23.0,(7|41)
0.06000000,3.0,(20|48)
0.05769231,6.0,(6|45)
0.05769231,9.0,(24|21)
0.05263158,3.0,(27|20)
0.05194805,16.0,(4|37)
0.05050505,5.0,(8|36)
0.05000000,1.0,(13|47)
0.04680851,11.0,(30|25)
0.04615385,6.0,(30|23)
0.04444445,4.0,(24|20)
0.04285714,9.0,(8|41)
0.04225352,6.0,(3|36)
0.03797468,3.0,(12|45)
0.03731343,5.0,(7|44)
0.03703704,2.0,(8|46)
0.03673469,9.0,(27|22)
0.03623188,5.0,(10|38)
0.03468208,6.0,(23|10)
0.03333334,1.0,(46|32)
0.03296703,3.0,(0|34)
0.03244838,11.0,(31|8)
0.03076923,2.0,(16|43)
0.03030303,1.0,(33|3)
0.02941176,1.0,(31|20)
0.02884615,3.0,(31|43)
0.02830189,3.0,(24|26)
0.02777778,1.0,(26|26)
0.02777778,3.0,(49|34)
0.02762431,5.0,(9|40)
0.02739726,4.0,(23|22)
0.02702703,5.0,(9|49)
0.02666667,2.0,(19|13)
0.02666667,2.0,(25|21)
0.02614379,4.0,(18|0)
0.02586207,3.0,(3|42)
0.02586207,6.0,(28|22)
0.02564103,3.0,(2|45)
0.02564103,5.0,(10|41)
0.02564103,4.0,(49|33)
0.02542373,3.0,(9|41)
0.02469136,2.0,(16|2)
0.02453988,4.0,(5|37)
0.02439024,1.0,(36|46)
0.02380952,1.0,(5|40)
0.02380952,1.0,(13|45)
0.02380952,2.0,(13|48)
0.02380952,2.0,(25|6)
0.02352941,4.0,(7|40)
0.02325581,2.0,(13|46)
0.02287582,7.0,(7|35)
0.02272727,4.0,(8|42)
0.02272727,2.0,(31|45)
0.02150538,2.0,(1|39)
0.02112676,3.0,(24|6)
0.02097902,6.0,(12|48)
0.02092050,5.0,(10|42)
0.02054795,3.0,(7|36)
0.02040816,1.0,(14|25)
0.02020202,2.0,(38|33)
0.02000000,3.0,(12|40)
0.01967800,11.0,(29|20)
0.01941748,4.0,(8|35)
0.01941748,2.0,(32|1)
0.01935484,3.0,(13|40)
0.01923077,8.0,(27|25)
0.01923077,2.0,(44|37)
0.01913876,4.0,(7|43)
0.01869159,2.0,(24|24)
0.01863354,3.0,(8|2)
0.01818182,3.0,(18|26)
0.01801802,6.0,(29|24)
0.01785714,4.0,(10|45)
0.01773050,5.0,(35|8)
0.01754386,2.0,(9|45)
0.01754386,1.0,(29|4)
0.01746032,11.0,(16|26)
0.01739130,2.0,(9|44)
0.01739130,4.0,(11|25)
0.01724138,2.0,(9|39)
0.01694915,1.0,(8|13)
0.01694915,3.0,(28|24)
0.01652892,2.0,(1|45)
0.01626016,8.0,(5|2)
0.01626016,2.0,(15|42)
0.01621622,3.0,(7|18)
0.01619433,4.0,(36|48)
0.01579779,10.0,(5|35)
0.01562500,2.0,(12|49)
0.01562500,1.0,(14|3)
0.01562500,1.0,(18|48)
0.01538462,3.0,(27|24)
0.01538462,1.0,(31|47)
0.01515152,2.0,(0|30)
0.01507538,3.0,(16|42)
0.01492537,1.0,(6|46)
0.01492537,1.0,(8|37)
0.01492537,4.0,(25|23)
0.01459854,4.0,(33|37)
0.01456311,3.0,(23|26)
0.01449275,2.0,(26|25)
0.01435407,3.0,(11|48)
0.01428571,2.0,(0|29)
0.01428571,2.0,(49|29)
0.01418440,2.0,(48|34)
0.01404494,5.0,(27|28)
0.01388889,3.0,(4|36)
0.01388889,1.0,(22|5)
0.01379310,2.0,(0|38)
0.01379310,2.0,(10|48)
0.01351351,1.0,(1|36)
0.01333333,2.0,(7|34)
0.01324503,2.0,(26|23)
0.01324503,2.0,(33|32)
0.01321586,3.0,(6|37)
0.01315789,1.0,(29|2)
0.01308900,5.0,(27|21)
0.01298701,3.0,(25|24)
0.01298701,1.0,(47|42)
0.01287554,3.0,(2|32)
0.01282051,5.0,(33|39)
0.01282051,1.0,(49|37)
0.01265823,1.0,(6|26)
0.01250000,2.0,(0|32)
0.01250000,6.0,(32|13)
0.01242236,2.0,(13|44)
0.01234568,1.0,(0|49)
0.01204819,3.0,(1|7)
0.01204819,2.0,(8|49)
0.01204819,1.0,(16|0)
0.01196172,5.0,(24|23)
0.01190476,2.0,(33|14)
0.01183432,2.0,(30|32)
0.01176471,1.0,(11|17)
0.01171875,3.0,(32|25)
0.01169591,4.0,(35|27)
0.01136364,3.0,(11|11)
0.01136364,1.0,(15|21)
0.01125704,6.0,(6|36)
0.01123596,2.0,(32|0)
0.01111111,1.0,(10|49)
0.01109057,6.0,(29|21)
0.01098901,1.0,(40|49)
0.01058201,2.0,(44|38)
0.01041667,2.0,(31|32)
0.01036269,2.0,(14|1)
0.01030928,1.0,(2|40)
0.01027397,3.0,(6|34)
0.01025641,2.0,(33|40)
0.01020408,1.0,(39|32)
0.01015228,2.0,(9|35)
0.01005025,2.0,(4|5)
0.01003344,3.0,(10|43)
0.01000000,1.0,(19|18)
0.009966778,3.0,(6|13)
0.009852217,2.0,(6|0)
0.009803922,1.0,(33|36)
0.009708738,1.0,(15|43)
0.009615385,1.0,(0|37)
0.009615385,1.0,(0|40)
0.009615385,2.0,(31|21)
0.009615385,2.0,(49|31)
0.009523810,1.0,(49|32)
0.009478673,2.0,(14|24)
0.009345794,1.0,(11|19)
0.009259259,1.0,(42|45)
0.009216590,2.0,(4|40)
0.009174312,3.0,(25|20)
0.009090909,1.0,(1|33)
0.009090909,3.0,(8|47)
0.009074410,5.0,(8|1)
0.008928572,2.0,(30|10)
0.008810572,2.0,(38|32)
0.008695652,1.0,(9|48)
0.008695652,1.0,(34|13)
0.008620690,1.0,(38|0)
0.008474576,2.0,(0|33)
0.008474576,2.0,(4|38)
0.008368201,2.0,(28|21)
0.008287293,3.0,(9|37)
0.008264462,2.0,(5|31)
0.008130081,1.0,(8|44)
0.007978723,3.0,(10|0)
0.007968128,2.0,(21|30)
0.007936508,1.0,(12|39)
0.007905139,2.0,(36|22)
