Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 205 | Real Estate Finance (jp:205,idx:36)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9939148,490.0,(32|36)
0.7364865,109.0,(31|36)
0.7348837,158.0,(32|37)
0.5000000,4.0,(31|35)
0.5000000,1.0,(39|31)
0.3333333,37.0,(31|37)
0.2846715,78.0,(33|37)
0.2727273,57.0,(34|22)
0.2549020,26.0,(33|36)
0.1971831,28.0,(38|31)
0.1818182,4.0,(24|7)
0.1805556,52.0,(38|30)
0.1142857,4.0,(30|36)
0.1052632,2.0,(32|35)
0.08000000,2.0,(47|44)
0.06666667,1.0,(10|9)
0.05932203,7.0,(48|43)
0.05882353,5.0,(1|43)
0.04347826,2.0,(0|39)
0.04347826,2.0,(34|37)
0.04225352,3.0,(34|30)
0.04081633,2.0,(34|21)
0.04000000,1.0,(22|44)
0.03896104,3.0,(1|42)
0.03883495,4.0,(37|30)
0.03846154,4.0,(33|22)
0.03409091,9.0,(30|24)
0.03370786,3.0,(49|42)
0.03333334,2.0,(38|36)
0.03278688,2.0,(33|35)
0.03225806,2.0,(8|43)
0.03030303,2.0,(31|38)
0.02985075,2.0,(2|44)
0.02314815,5.0,(4|36)
0.02285714,4.0,(41|43)
0.02259887,4.0,(44|41)
0.02127660,1.0,(20|8)
0.02127660,1.0,(35|22)
0.02083333,3.0,(0|42)
0.02054795,3.0,(23|22)
0.01923077,2.0,(34|32)
0.01886792,3.0,(37|34)
0.01744186,3.0,(1|41)
0.01724138,1.0,(21|19)
0.01673640,4.0,(2|43)
0.01652892,2.0,(0|44)
0.01639344,2.0,(34|33)
0.01626016,2.0,(0|43)
0.01600000,4.0,(2|6)
0.01515152,2.0,(49|43)
0.01492537,2.0,(7|44)
0.01413428,4.0,(38|1)
0.01412429,5.0,(11|1)
0.01408451,2.0,(24|6)
0.01382488,3.0,(2|39)
0.01369863,2.0,(11|49)
0.01369863,2.0,(32|32)
0.01333333,2.0,(7|34)
0.01298701,1.0,(0|46)
0.01298701,1.0,(32|24)
0.01298701,3.0,(42|40)
0.01219512,1.0,(10|40)
0.01185771,3.0,(36|22)
0.01176471,3.0,(7|13)
0.01169591,2.0,(45|35)
0.01156069,2.0,(33|31)
0.01136364,1.0,(15|21)
0.01098901,1.0,(29|1)
0.01098901,1.0,(33|33)
0.01092896,2.0,(47|45)
0.01041667,1.0,(13|27)
0.01030928,1.0,(2|40)
0.01030928,4.0,(34|29)
0.01020408,1.0,(33|30)
0.01000000,1.0,(35|35)
0.009900990,1.0,(33|7)
0.009771987,3.0,(35|28)
