Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 224 | Employment Litigation (jp:224,idx:48)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9960707,1014.0,(19|10)
0.9024390,111.0,(18|10)
0.7000000,21.0,(19|9)
0.7000000,21.0,(19|11)
0.6618705,184.0,(17|10)
0.5753425,84.0,(20|10)
0.4942857,173.0,(16|10)
0.4539007,64.0,(18|11)
0.3811475,93.0,(20|9)
0.3551402,76.0,(18|12)
0.3070175,35.0,(17|11)
0.2574258,26.0,(18|9)
0.1896552,22.0,(19|8)
0.1797753,16.0,(15|9)
0.1793313,59.0,(15|10)
0.1680672,20.0,(21|9)
0.1568628,16.0,(16|9)
0.1489362,7.0,(20|8)
0.1401869,30.0,(25|2)
0.1300813,16.0,(20|11)
0.1157895,22.0,(14|10)
0.1041667,5.0,(18|8)
0.1016949,6.0,(16|7)
0.09917355,12.0,(17|8)
0.09893993,28.0,(38|1)
0.09580839,16.0,(40|47)
0.09271523,14.0,(16|8)
0.08333334,5.0,(9|10)
0.08333334,1.0,(36|10)
0.07317073,3.0,(45|1)
0.07017544,4.0,(15|11)
0.06666667,1.0,(20|5)
0.06250000,2.0,(41|42)
0.06140351,7.0,(17|9)
0.06122449,3.0,(24|49)
0.05813954,5.0,(26|2)
0.05769231,3.0,(17|12)
0.05555556,2.0,(41|38)
0.05263158,1.0,(26|4)
0.04761905,4.0,(21|6)
0.04651163,4.0,(14|9)
0.04615385,3.0,(14|11)
0.04255319,2.0,(11|7)
0.04166667,1.0,(16|11)
0.04166667,5.0,(17|7)
0.04081633,8.0,(12|3)
0.03883495,4.0,(16|5)
0.03797468,6.0,(15|5)
0.03669725,4.0,(17|6)
0.03658536,3.0,(21|7)
0.03361345,4.0,(19|7)
0.03246753,5.0,(44|0)
0.03225806,3.0,(18|4)
0.03225806,2.0,(19|12)
0.03205128,5.0,(25|49)
0.03174603,2.0,(48|6)
0.03125000,3.0,(39|0)
0.03061225,9.0,(13|6)
0.02985075,4.0,(39|49)
0.02803738,6.0,(9|8)
0.02631579,1.0,(8|5)
0.02453988,4.0,(15|8)
0.02400000,6.0,(41|36)
0.02380952,1.0,(5|40)
0.02325581,3.0,(14|47)
0.02298851,2.0,(34|1)
0.02222222,6.0,(27|2)
0.02173913,1.0,(0|39)
0.02173913,3.0,(13|4)
0.02173913,1.0,(18|2)
0.02173913,1.0,(34|2)
0.02112676,3.0,(23|6)
0.02097902,3.0,(38|49)
0.02083333,2.0,(16|36)
0.02066116,5.0,(19|4)
0.02061856,4.0,(1|44)
0.02040816,1.0,(14|25)
0.02040816,2.0,(18|5)
0.01869159,4.0,(13|7)
0.01818182,1.0,(9|12)
0.01754386,3.0,(15|6)
0.01754386,1.0,(27|20)
0.01754386,1.0,(43|5)
0.01749271,6.0,(32|21)
0.01590909,7.0,(35|0)
0.01587302,1.0,(13|3)
0.01515152,1.0,(21|8)
0.01470588,2.0,(9|11)
0.01438849,2.0,(49|46)
0.01382488,3.0,(32|22)
0.01369863,1.0,(7|7)
0.01369863,1.0,(25|8)
0.01282051,2.0,(7|6)
0.01282051,1.0,(23|49)
0.01265823,1.0,(17|3)
0.01257862,4.0,(18|1)
0.01250000,1.0,(10|6)
0.01234568,1.0,(39|1)
0.01226994,2.0,(41|37)
0.01190476,2.0,(14|6)
0.01190476,1.0,(35|47)
0.01186944,4.0,(12|1)
0.01176471,1.0,(1|43)
0.01176471,2.0,(21|2)
0.01156069,2.0,(0|41)
0.01149425,1.0,(17|5)
0.01136364,3.0,(30|24)
0.01136364,1.0,(47|41)
0.01123596,1.0,(6|6)
0.01123596,1.0,(24|5)
0.01102941,3.0,(24|1)
0.01098901,3.0,(7|30)
0.01063830,2.0,(21|48)
0.01063830,2.0,(27|26)
0.01052632,2.0,(5|45)
0.01052632,1.0,(13|0)
0.01041667,5.0,(25|3)
0.009803922,1.0,(40|48)
0.009803922,1.0,(48|1)
0.009661836,2.0,(11|30)
0.009661836,2.0,(21|43)
0.009569378,2.0,(11|48)
0.009523810,1.0,(20|7)
0.009345794,1.0,(8|23)
0.009132420,2.0,(24|28)
0.009049774,2.0,(43|44)
0.008695652,1.0,(47|2)
0.008620690,1.0,(38|0)
0.008595988,3.0,(9|5)
0.008474576,1.0,(42|5)
0.008403362,1.0,(3|40)
0.008230452,2.0,(2|46)
0.008196721,1.0,(1|3)
0.008064516,1.0,(37|8)
0.008000000,2.0,(2|6)
0.007812500,1.0,(43|39)
0.007751938,2.0,(19|3)
0.007575758,1.0,(11|9)
0.007299270,2.0,(33|37)
0.007299270,1.0,(44|44)
0.007194245,3.0,(44|43)
0.007042253,1.0,(24|6)
0.006993007,1.0,(10|10)
0.006944444,1.0,(0|42)
