Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 225 | Patent Litigation (jp:225,idx:49)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9905993,843.0,(24|9)
0.7142857,35.0,(24|10)
0.6575342,48.0,(25|8)
0.6478873,46.0,(25|9)
0.6319444,91.0,(25|10)
0.5954198,78.0,(24|11)
0.5873016,37.0,(23|9)
0.4956522,57.0,(26|9)
0.4850746,65.0,(24|8)
0.4340836,135.0,(27|9)
0.3993399,121.0,(26|11)
0.3594771,55.0,(27|10)
0.3183521,85.0,(24|12)
0.3132530,26.0,(26|8)
0.3008850,34.0,(25|7)
0.2842105,54.0,(27|11)
0.2708333,26.0,(26|10)
0.2704626,76.0,(23|8)
0.2674419,46.0,(24|13)
0.2575758,34.0,(25|12)
0.2500000,2.0,(23|7)
0.2500000,35.0,(28|10)
0.2394366,34.0,(23|12)
0.2368421,9.0,(22|9)
0.2142857,48.0,(27|12)
0.2038835,21.0,(25|11)
0.2032520,25.0,(28|9)
0.2012195,33.0,(26|12)
0.1849711,32.0,(23|10)
0.1848740,44.0,(28|11)
0.1821086,57.0,(22|15)
0.1709402,20.0,(29|10)
0.1625000,39.0,(27|13)
0.1578947,30.0,(22|8)
0.1538462,16.0,(23|11)
0.1493506,23.0,(23|13)
0.1219512,15.0,(28|12)
0.1139240,18.0,(23|14)
0.1127820,15.0,(22|10)
0.09090909,2.0,(24|7)
0.08119658,38.0,(27|15)
0.07931034,46.0,(29|16)
0.07801419,11.0,(25|13)
0.07575758,5.0,(31|16)
0.07346939,18.0,(22|14)
0.06956521,8.0,(23|15)
0.06648199,24.0,(29|15)
0.06643356,19.0,(28|15)
0.06060606,4.0,(21|8)
0.06034483,7.0,(27|8)
0.05988024,10.0,(21|15)
0.05970149,8.0,(26|13)
0.05741627,12.0,(26|7)
0.05555556,5.0,(24|20)
0.05387205,16.0,(27|14)
0.05378486,27.0,(30|17)
0.04923077,16.0,(30|14)
0.04918033,3.0,(29|9)
0.04807692,5.0,(24|14)
0.04385965,15.0,(25|16)
0.04285714,6.0,(28|13)
0.04280156,11.0,(26|14)
0.04024768,13.0,(32|12)
0.03954802,7.0,(22|43)
0.03826531,15.0,(31|13)
0.03642384,11.0,(31|11)
0.03640777,15.0,(30|13)
0.03603604,12.0,(30|16)
0.03571429,3.0,(13|48)
0.03571429,5.0,(31|19)
0.03465347,7.0,(26|20)
0.03448276,10.0,(32|10)
0.03389831,10.0,(28|16)
0.03389831,10.0,(32|16)
0.03359173,13.0,(31|14)
0.03305785,8.0,(34|14)
0.03278688,4.0,(11|3)
0.03246753,5.0,(44|0)
0.03125000,1.0,(30|9)
0.03070175,7.0,(26|15)
0.03061225,3.0,(30|21)
0.03048781,10.0,(30|15)
0.02941176,1.0,(18|49)
0.02898551,2.0,(31|17)
0.02857143,3.0,(25|14)
0.02857143,14.0,(29|17)
0.02830189,9.0,(18|1)
0.02788845,14.0,(31|12)
0.02768166,8.0,(32|11)
0.02631579,2.0,(34|19)
0.02631579,2.0,(35|18)
0.02586207,3.0,(38|0)
0.02500000,1.0,(17|42)
0.02500000,3.0,(28|18)
0.02500000,4.0,(31|3)
0.02482270,7.0,(24|16)
0.02469136,2.0,(31|10)
0.02415459,5.0,(21|43)
0.02409638,2.0,(29|19)
0.02380952,3.0,(12|39)
0.02364066,10.0,(29|14)
0.02352941,2.0,(1|43)
0.02352941,6.0,(31|15)
0.02325581,3.0,(27|6)
0.02140673,7.0,(25|20)
0.02127660,1.0,(26|21)
0.02116402,4.0,(22|16)
0.02097902,3.0,(38|49)
0.02095808,7.0,(27|16)
0.02092050,5.0,(2|43)
0.02061856,4.0,(1|44)
0.02040816,2.0,(13|12)
0.02000000,1.0,(34|11)
0.01996370,11.0,(27|17)
0.01960784,1.0,(28|8)
0.01834862,2.0,(44|4)
0.01805869,8.0,(33|9)
0.01793722,4.0,(35|17)
