Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 243 | Family Law (jp:243,idx:63)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,3282.0,(17|40)
1.000000,1.0,(17|41)
0.9888889,89.0,(16|40)
0.9733334,73.0,(17|39)
0.9444444,136.0,(16|39)
0.9435897,184.0,(15|39)
0.8809524,37.0,(15|38)
0.8743169,160.0,(18|40)
0.8433333,253.0,(14|39)
0.7889909,86.0,(16|38)
0.7435898,29.0,(17|38)
0.7000000,7.0,(15|40)
0.6575342,144.0,(14|38)
0.6569343,90.0,(13|37)
0.6279070,135.0,(15|37)
0.6210526,59.0,(17|37)
0.6134454,146.0,(18|39)
0.5053763,47.0,(14|37)
0.5000000,66.0,(13|38)
0.5000000,19.0,(16|37)
0.4000000,2.0,(12|38)
0.3333333,2.0,(16|41)
0.3157895,6.0,(13|39)
0.3118280,58.0,(14|36)
0.2873563,25.0,(15|36)
0.2291667,22.0,(16|36)
0.2280702,26.0,(17|36)
0.2149533,23.0,(8|23)
0.1592357,25.0,(11|34)
0.1538462,10.0,(15|35)
0.1428571,12.0,(12|37)
0.1358025,11.0,(43|7)
0.1142857,20.0,(41|45)
0.1063830,5.0,(13|36)
0.1034483,9.0,(16|35)
0.07594936,6.0,(6|26)
0.05882353,1.0,(11|24)
0.05882353,1.0,(46|43)
0.04950495,10.0,(43|6)
0.04918033,3.0,(13|28)
0.04571429,8.0,(38|7)
0.04390244,9.0,(9|7)
0.04000000,1.0,(6|30)
0.03478261,8.0,(11|25)
0.03389831,2.0,(10|24)
0.03381642,7.0,(14|45)
0.03305785,8.0,(47|43)
0.03271028,7.0,(11|35)
0.03208556,6.0,(36|4)
0.03164557,5.0,(10|35)
0.03053435,8.0,(34|4)
0.03030303,2.0,(42|8)
0.02884615,3.0,(0|7)
0.02816901,4.0,(24|6)
0.02764977,6.0,(32|22)
0.02631579,3.0,(25|4)
0.02631579,1.0,(44|7)
0.02564103,3.0,(10|34)
0.02521008,3.0,(39|38)
0.02459016,3.0,(16|32)
0.02380952,4.0,(9|2)
0.02380952,1.0,(28|49)
0.02380952,1.0,(29|0)
0.02325581,4.0,(35|43)
0.02183406,5.0,(40|1)
0.02173913,1.0,(18|2)
0.02173913,4.0,(33|13)
0.02162162,4.0,(37|1)
