Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 246 | M&A Litigation (jp:246,idx:65)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1244980,31.0,(7|45)
0.05263158,1.0,(9|22)
0.04285714,3.0,(26|22)
0.04132231,5.0,(9|47)
0.02777778,2.0,(22|5)
0.02272727,1.0,(15|3)
0.02238806,3.0,(7|44)
0.02127660,2.0,(9|38)
0.02054795,3.0,(10|47)
0.02040816,5.0,(27|22)
0.02006689,6.0,(10|43)
0.01739130,2.0,(9|44)
0.01694915,1.0,(7|46)
0.01612903,1.0,(8|43)
0.01538462,1.0,(6|47)
0.01526718,4.0,(9|43)
0.01492537,2.0,(24|8)
0.01333333,1.0,(25|21)
0.01330604,13.0,(28|46)
0.01255230,3.0,(10|42)
0.01104972,2.0,(9|40)
0.01102941,6.0,(25|22)
0.01063830,1.0,(22|18)
0.009615385,1.0,(6|45)
0.009523810,2.0,(8|41)
0.008849557,1.0,(13|42)
0.008810572,2.0,(6|37)
0.008403362,1.0,(12|43)
0.008196721,1.0,(15|1)
0.007936508,1.0,(12|39)
0.007812500,1.0,(12|42)
0.007352941,1.0,(9|11)
0.007042253,1.0,(15|41)
0.006944444,1.0,(1|31)
0.006896552,1.0,(10|48)
0.006600660,2.0,(10|44)
0.006535948,2.0,(7|35)
0.006451613,1.0,(13|40)
0.006410256,1.0,(24|21)
0.006116208,2.0,(25|20)
0.006024096,1.0,(8|49)
0.005917160,1.0,(6|41)
0.005780347,1.0,(27|19)
0.005681818,1.0,(8|42)
0.005649718,1.0,(20|19)
0.005649718,1.0,(28|24)
0.005479452,2.0,(9|42)
0.005291005,1.0,(44|1)
0.005291005,1.0,(44|38)
0.005263158,1.0,(5|45)
0.005235602,2.0,(7|41)
0.005235602,1.0,(25|28)
0.005154639,1.0,(8|39)
0.004950495,1.0,(26|20)
0.004926108,1.0,(11|29)
0.004854369,1.0,(8|35)
0.004807692,1.0,(22|4)
0.004608295,1.0,(2|39)
0.004347826,1.0,(7|47)
0.004098360,1.0,(5|3)
0.004098360,1.0,(20|9)
0.003921569,1.0,(7|13)
0.003906250,1.0,(32|25)
0.003676471,1.0,(24|1)
0.003546099,1.0,(8|40)
0.003546099,1.0,(35|8)
0.003311258,1.0,(8|7)
0.003205128,1.0,(5|32)
0.003154574,1.0,(21|28)
0.002808989,1.0,(44|45)
0.002677376,2.0,(8|3)
0.002570694,1.0,(28|48)
0.002439024,1.0,(12|46)
0.002409639,1.0,(46|40)
0.002392344,1.0,(24|23)
0.002183406,1.0,(28|19)
0.001956947,1.0,(8|48)
0.001876173,1.0,(6|36)
0.001788909,1.0,(29|20)
