Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 257 | Entertainment/Sports/Media (jp:257,idx:73)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1176471,2.0,(21|42)
0.1176471,2.0,(22|42)
0.06060606,2.0,(33|3)
0.03703704,1.0,(19|17)
0.03377687,33.0,(28|46)
0.02836879,4.0,(29|6)
0.02352941,4.0,(32|4)
0.02173913,2.0,(28|4)
0.01418440,4.0,(35|8)
0.01250000,2.0,(31|3)
0.009708738,1.0,(20|17)
0.009569378,2.0,(26|7)
0.008474576,1.0,(20|15)
0.006993007,1.0,(27|5)
0.006622517,1.0,(16|1)
0.006369427,1.0,(27|4)
0.005681818,2.0,(32|5)
0.005319149,1.0,(34|26)
0.003184713,1.0,(29|13)
0.002469136,1.0,(30|4)
0.001338688,1.0,(8|3)
