Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 259 | Science/Technology (jp:259,idx:74)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3066667,23.0,(32|19)
0.1176471,2.0,(36|9)
0.08700103,85.0,(28|46)
0.05882353,2.0,(29|3)
0.04000000,17.0,(35|9)
0.03389831,2.0,(7|46)
0.03225806,2.0,(19|12)
0.03225806,5.0,(38|48)
0.02941176,1.0,(31|20)
0.02631579,1.0,(22|9)
0.02392345,5.0,(26|7)
0.02325581,2.0,(26|2)
0.02061856,4.0,(1|44)
0.02054795,3.0,(10|47)
0.02030457,4.0,(9|35)
0.01785714,1.0,(35|12)
0.01754386,2.0,(17|11)
0.01694915,6.0,(11|1)
0.01652892,2.0,(6|12)
0.01626016,4.0,(28|3)
0.01626016,2.0,(28|9)
0.01562500,1.0,(18|48)
0.01492537,1.0,(31|2)
0.01418440,2.0,(18|14)
0.01388889,2.0,(25|10)
0.01369863,1.0,(5|48)
0.01351351,1.0,(34|12)
0.01234568,2.0,(29|33)
0.01204819,1.0,(16|0)
0.01190476,1.0,(13|48)
0.01158301,3.0,(32|15)
0.01129944,2.0,(14|48)
0.01052632,1.0,(13|43)
0.01030928,1.0,(40|36)
0.009708738,2.0,(11|12)
0.009478673,2.0,(14|24)
0.009433962,3.0,(18|1)
0.008849557,1.0,(25|7)
0.008658009,2.0,(42|40)
0.008403362,1.0,(21|9)
0.008333334,1.0,(28|47)
0.008264462,1.0,(9|47)
0.008230452,2.0,(2|46)
0.007874016,2.0,(33|12)
0.007518797,1.0,(9|1)
0.006779661,2.0,(32|16)
0.006622517,2.0,(6|3)
0.006211180,1.0,(8|2)
0.006097561,1.0,(33|8)
0.005988024,1.0,(11|13)
0.005934718,2.0,(12|1)
0.005434783,1.0,(33|13)
0.005263158,1.0,(27|11)
0.004830918,1.0,(14|45)
0.004807692,1.0,(7|0)
0.004784689,1.0,(11|48)
0.004618938,2.0,(40|45)
0.004608295,1.0,(10|1)
0.004576659,2.0,(30|12)
0.004514673,2.0,(33|9)
0.004464286,1.0,(27|12)
0.004464286,1.0,(30|10)
0.004310345,1.0,(6|48)
0.004273504,2.0,(27|15)
0.004201681,1.0,(28|11)
0.004166667,1.0,(27|13)
0.004098360,1.0,(5|3)
0.004000000,1.0,(41|36)
0.003496503,1.0,(12|48)
0.003424658,1.0,(10|16)
0.003300330,1.0,(26|11)
0.003267974,1.0,(7|35)
0.003164557,1.0,(31|9)
0.002932551,1.0,(29|12)
0.002915452,1.0,(32|21)
0.002469136,1.0,(7|3)
0.002469136,1.0,(30|4)
0.002463054,2.0,(32|17)
0.002183406,1.0,(28|19)
0.001992032,1.0,(30|17)
0.001956947,1.0,(8|48)
0.001814882,1.0,(8|1)
0.001700680,1.0,(26|48)
0.001592357,1.0,(28|45)
0.001338688,1.0,(8|3)
0.001135074,1.0,(37|46)
