Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 262 | Estate Planning-Trusts & Estates (jp:262,idx:77)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9937965,801.0,(6|24)
0.9540230,83.0,(6|25)
0.9512195,117.0,(7|24)
0.9020979,129.0,(7|25)
0.8800000,22.0,(5|24)
0.7641509,162.0,(7|26)
0.7088608,56.0,(8|24)
0.6938776,102.0,(10|25)
0.6185567,60.0,(7|23)
0.6117647,52.0,(8|25)
0.5714286,84.0,(7|27)
0.5714286,72.0,(9|24)
0.5570470,83.0,(12|26)
0.5531915,52.0,(9|25)
0.5370370,58.0,(6|28)
0.5294118,9.0,(6|29)
0.5254237,31.0,(10|24)
0.5140187,55.0,(8|23)
0.5111288,643.0,(7|28)
0.5000000,7.0,(6|23)
0.5000000,62.0,(8|26)
0.5000000,72.0,(15|32)
0.4936709,39.0,(6|26)
0.4866920,128.0,(8|28)
0.4701492,126.0,(8|27)
0.4303797,34.0,(9|23)
0.4243543,115.0,(9|28)
0.4235294,36.0,(9|27)
0.4184783,77.0,(10|26)
0.4177215,33.0,(9|26)
0.4029126,83.0,(8|29)
0.3950617,64.0,(7|29)
0.3913043,63.0,(6|27)
0.3843416,108.0,(14|32)
0.3750000,3.0,(7|31)
0.3580247,29.0,(10|27)
0.3540670,74.0,(11|28)
0.3420365,131.0,(10|28)
0.3373494,28.0,(12|27)
0.3333333,89.0,(8|30)
0.3333333,10.0,(10|23)
0.3260073,89.0,(7|30)
0.3248408,51.0,(10|29)
0.3145780,123.0,(16|27)
0.3107345,55.0,(12|35)
0.3064516,57.0,(14|36)
0.3012820,47.0,(11|27)
0.2978723,14.0,(13|36)
0.2868217,37.0,(12|28)
0.2702020,107.0,(9|29)
0.2687500,43.0,(14|33)
0.2500000,8.0,(16|31)
0.2409639,20.0,(11|26)
0.2377049,29.0,(16|32)
0.2352941,8.0,(10|36)
0.2340426,11.0,(5|26)
0.2296296,31.0,(15|33)
0.2250000,18.0,(13|32)
0.2142857,27.0,(15|31)
0.2000000,11.0,(7|22)
0.1926606,21.0,(11|36)
0.1842105,7.0,(16|37)
0.1841360,65.0,(24|27)
0.1822430,78.0,(9|30)
0.1785714,35.0,(10|31)
0.1666667,16.0,(13|27)
0.1639344,10.0,(13|28)
0.1538462,54.0,(8|31)
0.1518987,12.0,(17|29)
0.1472603,43.0,(12|36)
0.1469072,57.0,(39|14)
0.1447964,32.0,(9|31)
0.1445783,12.0,(15|25)
0.1428571,11.0,(14|35)
0.1344538,64.0,(40|14)
0.1333333,18.0,(10|30)
0.1323529,27.0,(13|35)
0.1296296,28.0,(5|27)
0.1284404,14.0,(16|38)
0.1186441,7.0,(12|25)
0.1176471,2.0,(11|24)
0.1111111,1.0,(37|45)
0.1086956,5.0,(10|32)
0.1083744,22.0,(11|29)
0.1077844,18.0,(0|19)
0.1068702,28.0,(15|27)
0.1034483,6.0,(8|22)
0.09696969,16.0,(16|28)
0.09259259,5.0,(39|15)
0.09090909,1.0,(5|25)
0.08750000,28.0,(17|28)
0.08695652,36.0,(17|27)
0.08532424,25.0,(44|14)
0.08333334,7.0,(12|37)
0.08268734,32.0,(15|26)
0.08260869,19.0,(11|25)
0.08212560,17.0,(11|30)
0.08163265,4.0,(2|5)
0.07692308,5.0,(15|35)
