Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 277 | ERISA-Employee Benefits (jp:277,idx:84)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4202335,108.0,(23|48)
0.3548387,121.0,(21|5)
0.3008850,34.0,(22|49)
0.1666667,13.0,(23|49)
0.1044776,21.0,(20|4)
0.06666667,1.0,(10|9)
0.06349207,4.0,(23|4)
0.05882353,1.0,(11|24)
0.05813954,10.0,(21|1)
0.05333333,4.0,(25|21)
0.05172414,3.0,(10|12)
0.05135135,19.0,(20|3)
0.04838710,3.0,(19|12)
0.04460967,12.0,(21|4)
0.04166667,2.0,(18|3)
0.04145078,16.0,(25|26)
0.03913043,9.0,(22|1)
0.03846154,8.0,(22|4)
0.03703704,3.0,(18|32)
0.03703704,4.0,(22|48)
0.03409091,3.0,(2|1)
0.03333334,3.0,(17|17)
0.03314917,6.0,(22|2)
0.03125000,3.0,(16|36)
0.02985075,2.0,(11|38)
0.02941176,4.0,(9|11)
0.02941176,2.0,(24|3)
0.02777778,2.0,(22|5)
0.02631579,3.0,(25|4)
0.02564103,4.0,(18|19)
0.02515723,4.0,(23|3)
0.02453988,4.0,(23|1)
0.02380952,1.0,(3|0)
0.02380952,2.0,(21|6)
0.02266289,8.0,(21|3)
0.02197802,6.0,(22|3)
0.02120141,6.0,(38|1)
0.02116402,4.0,(20|0)
0.01851852,1.0,(8|46)
0.01754386,1.0,(27|20)
0.01709402,2.0,(21|49)
0.01694915,1.0,(10|24)
0.01435407,3.0,(18|21)
0.01408451,1.0,(19|45)
0.01250000,1.0,(20|6)
0.01226994,2.0,(19|2)
0.01197605,2.0,(40|47)
0.01176471,1.0,(6|15)
0.01162791,1.0,(26|2)
0.01158301,3.0,(8|8)
0.01136364,1.0,(15|21)
0.01090909,3.0,(29|38)
0.01069519,2.0,(36|4)
0.01063830,1.0,(22|18)
0.01030928,1.0,(38|13)
0.01000000,1.0,(19|42)
0.009803922,1.0,(48|1)
0.009756098,2.0,(14|12)
0.009615385,1.0,(3|43)
0.009433962,1.0,(24|26)
0.009259259,2.0,(17|2)
0.009259259,2.0,(20|1)
0.008620690,1.0,(9|39)
0.008403362,2.0,(18|39)
0.008264462,2.0,(19|4)
0.008196721,2.0,(20|9)
0.007853403,3.0,(27|21)
0.007751938,2.0,(19|3)
0.007462686,1.0,(26|19)
0.007142857,1.0,(22|0)
0.006896552,1.0,(44|6)
0.006849315,2.0,(29|49)
0.006622517,2.0,(8|7)
0.006451613,1.0,(12|5)
0.006024096,1.0,(1|32)
0.006024096,1.0,(19|44)
0.005882353,1.0,(21|2)
0.005319149,1.0,(21|48)
0.005319149,1.0,(22|32)
0.005291005,1.0,(39|13)
0.005263158,1.0,(24|2)
0.005128205,1.0,(27|24)
0.005102041,1.0,(12|3)
0.004950495,1.0,(26|20)
0.004950495,1.0,(43|6)
0.004878049,2.0,(22|6)
0.004854369,1.0,(11|12)
0.004672897,1.0,(25|2)
0.004524887,1.0,(9|31)
0.004347826,1.0,(11|25)
0.004166667,2.0,(25|3)
0.004149378,2.0,(24|4)
0.003952569,1.0,(33|49)
0.003921569,1.0,(7|13)
0.003853565,2.0,(23|5)
0.003816794,1.0,(15|27)
0.003676471,1.0,(24|1)
0.003669725,2.0,(28|23)
0.003508772,1.0,(26|24)
0.003496503,1.0,(12|48)
0.003300330,1.0,(10|44)
0.003129890,2.0,(24|48)
0.002849003,1.0,(8|31)
0.002583979,1.0,(23|20)
0.002538071,1.0,(30|2)
0.002100840,1.0,(9|14)
0.002032520,1.0,(5|2)
0.002026343,2.0,(23|27)
0.001960784,1.0,(22|25)
0.001876173,1.0,(6|36)
0.001838235,1.0,(25|22)
0.001351351,1.0,(20|2)
0.001342282,1.0,(28|2)
