Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 286 | Corp Law Business Entities (jp:286,idx:93)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(26|45)
0.8665541,513.0,(26|46)
0.1875000,3.0,(26|47)
0.1111111,1.0,(27|46)
0.1000000,10.0,(19|18)
0.09090909,2.0,(17|18)
0.09090909,2.0,(19|0)
0.08474576,5.0,(7|46)
0.06818182,6.0,(31|45)
0.06382979,3.0,(26|21)
0.05970149,4.0,(11|38)
0.05882353,1.0,(1|5)
0.05797102,4.0,(28|30)
0.04545455,7.0,(11|40)
0.04081633,4.0,(4|45)
0.03954802,14.0,(11|1)
0.03883495,4.0,(26|29)
0.03658536,3.0,(10|4)
0.03589744,7.0,(10|41)
0.03260870,3.0,(45|49)
0.03174603,2.0,(48|6)
0.03157895,3.0,(13|43)
0.03088803,8.0,(0|36)
0.03053435,4.0,(10|39)
0.03000000,3.0,(17|1)
0.02985075,2.0,(31|2)
0.02941176,1.0,(10|36)
0.02857143,5.0,(15|22)
0.02631579,3.0,(9|45)
0.02580645,4.0,(13|40)
0.02580645,4.0,(49|41)
0.02531646,2.0,(12|45)
0.02475248,5.0,(26|20)
0.02469136,2.0,(43|7)
0.02409638,2.0,(15|25)
0.02380952,1.0,(13|45)
0.02352941,2.0,(8|25)
0.02222222,2.0,(10|49)
0.02222222,1.0,(36|5)
0.02173913,1.0,(30|33)
0.02173913,1.0,(34|2)
0.02127660,8.0,(10|0)
0.02127660,1.0,(13|36)
0.02112676,3.0,(24|6)
0.02094241,8.0,(27|21)
0.02040816,1.0,(24|49)
0.02030457,4.0,(9|35)
0.01960784,3.0,(11|41)
0.01935484,3.0,(21|18)
0.01923077,2.0,(0|37)
0.01923077,2.0,(31|43)
0.01882353,8.0,(35|9)
0.01869159,2.0,(24|24)
0.01843318,4.0,(4|40)
0.01834862,2.0,(13|41)
0.01826484,4.0,(34|41)
0.01818182,2.0,(29|37)
0.01754386,2.0,(49|35)
0.01739130,2.0,(21|12)
0.01724138,2.0,(9|39)
0.01626016,2.0,(36|41)
0.01587302,3.0,(44|38)
0.01562500,2.0,(34|35)
0.01550388,2.0,(45|2)
0.01538462,1.0,(22|27)
0.01529052,5.0,(25|20)
0.01503759,2.0,(9|1)
0.01459854,2.0,(48|45)
0.01449275,1.0,(12|32)
0.01442308,3.0,(31|21)
0.01435407,3.0,(11|48)
0.01418440,2.0,(48|34)
0.01388889,2.0,(4|46)
0.01333333,2.0,(12|40)
0.01324503,2.0,(16|1)
0.01315789,2.0,(46|27)
0.01298701,1.0,(12|47)
0.01290323,2.0,(18|18)
0.01282051,1.0,(49|37)
0.01265823,1.0,(17|29)
0.01242236,2.0,(8|2)
0.01242236,2.0,(13|44)
0.01234568,2.0,(29|33)
0.01219512,1.0,(10|40)
0.01219512,1.0,(31|41)
0.01212121,2.0,(40|44)
0.01204819,2.0,(19|44)
0.01176471,1.0,(31|33)
0.01169591,2.0,(45|35)
0.01149425,1.0,(22|28)
0.01136364,2.0,(11|2)
0.01092896,2.0,(37|10)
0.01058201,2.0,(46|4)
0.01052632,1.0,(13|0)
0.01041667,1.0,(13|27)
0.01030928,1.0,(7|23)
0.01030928,1.0,(40|36)
0.01010101,1.0,(8|36)
0.01005025,2.0,(4|5)
0.01005025,2.0,(16|42)
0.009803922,1.0,(34|34)
0.009615385,1.0,(21|36)
0.009592326,4.0,(44|43)
0.009569378,2.0,(34|22)
0.009478673,2.0,(14|24)
0.009433962,2.0,(43|18)
0.009345794,1.0,(37|36)
0.009259259,2.0,(17|2)
0.009259259,1.0,(25|39)
0.009009009,1.0,(6|44)
0.009009009,1.0,(31|37)
0.008849557,1.0,(48|5)
0.008810572,2.0,(28|26)
0.008695652,1.0,(36|35)
0.008620690,1.0,(3|42)
0.008620690,1.0,(38|34)
0.008474576,2.0,(37|21)
0.008438818,2.0,(21|27)
0.008403362,1.0,(21|9)
0.008403362,1.0,(39|38)
0.008368201,2.0,(2|43)
0.008333334,1.0,(1|0)
0.008264462,1.0,(6|12)
0.008230452,2.0,(2|46)
0.008196721,1.0,(29|7)
0.008196721,1.0,(42|44)
0.008163265,2.0,(15|0)
0.008130081,1.0,(8|44)
0.008130081,1.0,(15|42)
0.008000000,1.0,(14|26)
