Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 287 | Corp Law Operational (jp:287,idx:94)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2531847,159.0,(28|45)
0.1153846,3.0,(15|48)
0.04464286,5.0,(20|47)
0.04166667,6.0,(4|46)
0.03797468,3.0,(40|0)
0.03333334,1.0,(46|32)
0.03240741,7.0,(17|2)
0.03007519,4.0,(49|47)
0.02985075,2.0,(11|38)
0.02840909,5.0,(11|2)
0.02816901,2.0,(19|45)
0.02380952,2.0,(13|48)
0.02255639,3.0,(9|1)
0.02105263,2.0,(13|0)
0.02000000,2.0,(17|1)
0.01923077,3.0,(11|18)
0.01851852,2.0,(9|13)
0.01834862,2.0,(11|36)
0.01785714,3.0,(9|2)
0.01694915,6.0,(11|1)
0.01694915,3.0,(14|48)
0.01639344,1.0,(10|7)
0.01538462,1.0,(19|14)
0.01428571,2.0,(0|29)
0.01428571,2.0,(49|29)
0.01418440,2.0,(18|14)
0.01360544,2.0,(3|5)
0.01351351,2.0,(14|43)
0.01333333,2.0,(3|2)
0.01176471,1.0,(30|45)
0.01169591,2.0,(7|32)
0.01154734,5.0,(40|45)
0.01129944,2.0,(44|41)
0.01111111,2.0,(35|10)
0.01098901,1.0,(48|48)
0.01052632,1.0,(35|33)
0.01005025,2.0,(4|5)
0.009900990,3.0,(7|4)
0.009569378,2.0,(8|10)
0.009523810,1.0,(0|47)
0.009174312,3.0,(23|47)
0.008695652,2.0,(2|42)
0.008695652,1.0,(7|12)
0.008695652,2.0,(11|25)
0.008333334,1.0,(28|47)
0.008000000,2.0,(2|6)
0.008000000,2.0,(41|36)
0.007812500,1.0,(12|49)
0.007751938,1.0,(14|47)
0.007575758,1.0,(16|13)
0.007299270,1.0,(48|45)
0.007272727,2.0,(32|45)
0.007142857,1.0,(12|21)
0.007117438,2.0,(23|8)
0.007092198,2.0,(35|8)
0.007067138,2.0,(38|1)
0.006756757,1.0,(8|19)
0.006756757,1.0,(33|11)
0.006211180,1.0,(13|44)
0.006134969,1.0,(42|36)
0.006134969,1.0,(43|35)
0.005952381,1.0,(33|14)
0.005813953,1.0,(24|13)
0.005464481,1.0,(16|14)
0.005405406,1.0,(19|43)
0.005319149,2.0,(10|0)
0.005235602,2.0,(27|21)
0.004878049,1.0,(14|12)
0.004807692,1.0,(31|22)
0.004784689,1.0,(11|48)
0.004705882,2.0,(35|9)
0.004672897,1.0,(11|35)
0.004608295,1.0,(10|1)
0.004566210,1.0,(34|41)
0.004184100,1.0,(2|43)
0.004132231,1.0,(19|4)
0.004081632,1.0,(15|0)
0.003633061,4.0,(12|0)
0.003460208,1.0,(32|11)
0.003355705,1.0,(22|45)
0.003322259,1.0,(6|13)
0.003311258,1.0,(8|7)
0.003144654,1.0,(18|1)
0.002915452,1.0,(11|6)
0.001745201,1.0,(34|7)
