Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 289 | Employ Associates (jp:289,idx:96)
Class Probability,Ex Count at BMU,BMU Map Loc
0.08333334,2.0,(16|11)
0.02251791,22.0,(28|46)
0.02247191,2.0,(6|6)
0.01694915,1.0,(33|0)
0.01652892,2.0,(17|8)
0.01136364,2.0,(17|13)
0.01005025,2.0,(16|42)
0.009900990,1.0,(18|9)
0.008849557,1.0,(48|5)
0.008196721,2.0,(20|9)
0.008196721,1.0,(42|44)
0.007751938,1.0,(45|2)
0.007042253,1.0,(24|6)
0.006896552,2.0,(12|4)
0.006622517,2.0,(8|7)
0.003861004,1.0,(8|8)
0.003597122,1.0,(17|10)
