Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 292 | Healthcare Compliance (jp:292,idx:99)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,1479.0,(17|15)
1.000000,15.0,(17|16)
1.000000,19.0,(18|15)
0.9885057,86.0,(16|15)
0.9789473,186.0,(16|16)
0.9576271,113.0,(17|14)
0.9453552,173.0,(16|14)
0.8971428,157.0,(15|14)
0.8848485,146.0,(16|17)
0.8571429,54.0,(15|15)
0.8222222,185.0,(14|14)
0.8111111,73.0,(15|16)
0.7751479,131.0,(15|17)
0.7142857,5.0,(18|13)
0.6978022,127.0,(15|18)
0.6969697,92.0,(16|13)
0.6576577,73.0,(14|15)
0.6263736,57.0,(14|13)
0.6227545,104.0,(11|13)
0.6193182,109.0,(17|13)
0.6170213,87.0,(18|14)
0.6014493,83.0,(13|14)
0.5865922,105.0,(13|15)
0.5548781,91.0,(14|16)
0.5514019,59.0,(14|17)
0.5482759,159.0,(12|13)
0.5447236,542.0,(13|13)
0.5306122,52.0,(13|12)
0.5090909,56.0,(15|13)
0.5070422,36.0,(16|18)
0.4868421,74.0,(12|12)
0.4846626,79.0,(12|14)
0.4343434,43.0,(14|18)
0.4341463,89.0,(14|12)
0.4193548,65.0,(13|16)
0.3725490,38.0,(10|13)
0.3655172,53.0,(14|19)
0.3636364,64.0,(15|19)
0.3511706,105.0,(13|17)
0.3454545,95.0,(15|12)
0.3450704,49.0,(12|15)
0.3318777,76.0,(11|14)
0.3133333,47.0,(12|16)
0.3000000,27.0,(17|17)
0.2773723,38.0,(13|18)
0.2769231,18.0,(14|11)
0.2583333,31.0,(15|20)
0.2531646,20.0,(16|19)
0.2511415,55.0,(11|15)
0.2500000,1.0,(13|25)
0.2129630,23.0,(9|13)
0.2017544,23.0,(12|18)
0.2000000,21.0,(13|19)
0.1878788,31.0,(12|17)
0.1835938,47.0,(14|20)
0.1796117,37.0,(11|12)
0.1796117,37.0,(12|19)
0.1543624,23.0,(11|16)
0.1428571,26.0,(10|14)
0.1346154,7.0,(17|12)
0.1228070,21.0,(12|20)
0.1200000,15.0,(13|20)
0.1176471,10.0,(11|17)
0.1155462,55.0,(9|14)
0.1153846,18.0,(11|18)
0.1118881,16.0,(10|15)
0.1090909,6.0,(9|12)
0.09469697,25.0,(11|11)
0.09202454,15.0,(9|17)
0.08383234,14.0,(10|17)
0.08064516,10.0,(5|16)
0.07954545,7.0,(15|21)
0.07692308,7.0,(9|15)
0.06603774,21.0,(18|1)
0.06500000,13.0,(13|21)
0.06214689,11.0,(22|43)
0.05970149,4.0,(15|49)
0.05882353,1.0,(11|24)
0.05633803,4.0,(9|9)
0.05594406,8.0,(10|10)
0.05517241,8.0,(0|38)
0.05263158,1.0,(21|17)
0.05000000,1.0,(5|17)
0.05000000,1.0,(6|18)
0.05000000,2.0,(7|16)
0.05000000,1.0,(13|47)
0.04838710,3.0,(10|11)
0.04794521,14.0,(10|16)
0.04697987,7.0,(43|0)
0.04545455,1.0,(17|18)
0.04411765,3.0,(14|21)
0.04166667,10.0,(26|3)
0.04126984,13.0,(16|12)
0.04000000,2.0,(8|11)
0.03875969,5.0,(45|2)
0.03738318,4.0,(11|19)
0.03703704,1.0,(30|47)
0.03703704,3.0,(43|7)
0.03571429,2.0,(43|1)
0.03488372,3.0,(26|2)
0.03465347,7.0,(43|6)
0.03448276,2.0,(10|12)
0.03174603,2.0,(23|4)
0.03164557,5.0,(8|14)
0.03141361,6.0,(7|17)
0.03125000,2.0,(18|48)
0.03012048,5.0,(8|49)
0.02985075,4.0,(39|49)
0.02941176,1.0,(7|1)
0.02941176,2.0,(9|16)
0.02857143,4.0,(12|21)
0.02777778,2.0,(19|32)
0.02752294,3.0,(44|4)
0.02702703,2.0,(6|16)
0.02702703,2.0,(34|12)
0.02621723,7.0,(35|4)
0.02617801,5.0,(25|28)
0.02531646,2.0,(39|3)
0.02484472,4.0,(8|16)
0.02469136,2.0,(16|2)
0.02409638,2.0,(29|19)
0.02398081,10.0,(44|43)
0.02380952,1.0,(13|45)
0.02373887,8.0,(12|1)
0.02352941,2.0,(8|15)
0.02325581,2.0,(13|46)
0.02325581,2.0,(14|9)
0.02238806,3.0,(26|19)
0.02189781,6.0,(7|15)
0.02173913,3.0,(10|38)
0.02173913,2.0,(15|23)
0.02116402,4.0,(44|1)
0.02105263,2.0,(2|38)
0.02105263,4.0,(5|45)
0.02097902,3.0,(38|49)
0.02040816,1.0,(24|10)
0.02008032,5.0,(7|45)
0.01941748,2.0,(15|43)
0.01898734,3.0,(10|35)
0.01851852,1.0,(5|41)
0.01851852,3.0,(40|8)
0.01818182,1.0,(4|4)
0.01769911,2.0,(45|37)
0.01754386,1.0,(15|11)
0.01739130,2.0,(7|11)
0.01724138,2.0,(38|0)
0.01715266,10.0,(34|5)
0.01714286,3.0,(15|22)
0.01694915,2.0,(42|5)
0.01671309,6.0,(6|17)
0.01632653,4.0,(15|0)
0.01630435,3.0,(1|6)
0.01587302,1.0,(13|3)
0.01587302,1.0,(23|9)
0.01574803,2.0,(29|5)
0.01562500,2.0,(25|38)
0.01486989,4.0,(21|4)
0.01470588,1.0,(24|3)
0.01459854,2.0,(13|37)
0.01435407,3.0,(11|48)
0.01418440,2.0,(38|9)
0.01412429,5.0,(11|1)
0.01408451,1.0,(19|45)
0.01398601,2.0,(43|40)
0.01388889,1.0,(22|5)
0.01379310,2.0,(44|6)
0.01369863,2.0,(20|10)
0.01369863,1.0,(33|23)
0.01333333,2.0,(34|40)
0.01320132,4.0,(7|4)
0.01307190,2.0,(33|10)
0.01293103,3.0,(0|48)
0.01282051,2.0,(10|22)
0.01282051,1.0,(35|3)
0.01250000,2.0,(12|33)
0.01242236,2.0,(8|2)
0.01213592,5.0,(39|45)
0.01212121,2.0,(40|44)
0.01204819,3.0,(1|7)
0.01197605,2.0,(17|33)
0.01190476,1.0,(48|3)
0.01176471,1.0,(6|15)
0.01176471,1.0,(30|45)
0.01169591,2.0,(9|46)
0.01162791,2.0,(35|43)
0.01158301,3.0,(8|8)
0.01142857,2.0,(41|43)
0.01123596,1.0,(24|5)
0.01111111,1.0,(26|41)
0.01098901,1.0,(0|34)
0.01069519,2.0,(36|4)
0.01067616,3.0,(23|8)
0.01063830,1.0,(22|18)
0.01052632,2.0,(22|8)
0.01041667,1.0,(39|0)
0.01030928,1.0,(6|5)
0.01030928,1.0,(7|23)
0.01025641,2.0,(27|24)
0.01016949,3.0,(33|2)
0.01015228,2.0,(9|35)
0.01015228,2.0,(47|35)
0.01010101,1.0,(8|36)
0.01010101,6.0,(33|1)
0.01010101,1.0,(46|39)
0.009900990,2.0,(9|21)
0.009708738,2.0,(8|35)
0.009615385,2.0,(22|4)
0.009615385,1.0,(45|5)
0.009569378,2.0,(8|10)
0.009523810,1.0,(0|47)
0.009259259,2.0,(17|2)
0.009132420,2.0,(34|41)
0.009049774,2.0,(43|44)
0.009009009,1.0,(43|47)
0.008928572,1.0,(49|6)
0.008849557,1.0,(48|5)
0.008771930,1.0,(25|4)
0.008695652,2.0,(2|42)
0.008695652,1.0,(7|12)
0.008620690,2.0,(6|48)
0.008547009,1.0,(2|45)
0.008547009,2.0,(9|34)
0.008498584,3.0,(24|27)
0.008333334,2.0,(43|38)
0.008264462,1.0,(9|47)
0.008264462,1.0,(17|8)
0.008264462,1.0,(31|23)
0.008196721,2.0,(20|9)
0.008196721,2.0,(40|46)
0.008000000,2.0,(2|6)
0.007843138,2.0,(7|13)
0.007812500,1.0,(12|41)
0.007812500,1.0,(12|49)
0.007751938,1.0,(21|46)
0.007462686,1.0,(7|44)
0.007462686,1.0,(43|2)
0.007272727,2.0,(32|45)
0.007246377,1.0,(34|3)
0.007246377,1.0,(44|33)
0.007246377,1.0,(46|0)
0.007142857,1.0,(8|38)
0.007092198,1.0,(29|6)
0.007092198,2.0,(35|8)
0.007092198,1.0,(37|44)
0.007042253,1.0,(23|6)
0.007042253,1.0,(49|2)
0.006896552,1.0,(4|0)
0.006896552,1.0,(33|18)
0.006711409,1.0,(3|34)
0.006622517,1.0,(16|1)
0.006493506,1.0,(11|40)
0.006369427,1.0,(3|38)
0.006369427,1.0,(27|4)
0.006369427,1.0,(43|4)
0.006329114,1.0,(23|14)
0.006289308,1.0,(0|1)
0.006134969,1.0,(19|2)
0.006134969,1.0,(42|1)
0.006134969,1.0,(42|36)
0.006134969,1.0,(43|35)
0.006116208,2.0,(25|20)
0.006097561,1.0,(39|5)
0.006079027,6.0,(23|27)
0.005952381,1.0,(9|2)
0.005917160,1.0,(30|32)
0.005882353,1.0,(21|2)
0.005865103,2.0,(21|5)
0.005865103,2.0,(36|45)
0.005865103,2.0,(48|40)
0.005780347,1.0,(27|19)
0.005649718,1.0,(14|48)
0.005649718,1.0,(20|19)
0.005649718,1.0,(28|24)
0.005464481,2.0,(5|44)
0.005405406,1.0,(7|18)
0.005405406,1.0,(9|49)
0.005319149,2.0,(6|14)
0.005291005,1.0,(20|0)
0.005291005,1.0,(41|41)
0.005235602,1.0,(1|2)
0.005154639,1.0,(1|44)
0.005102041,1.0,(37|27)
0.005076142,2.0,(30|2)
0.005050505,1.0,(23|17)
0.004950495,1.0,(3|44)
0.004950495,1.0,(26|20)
0.004830918,1.0,(4|49)
0.004784689,2.0,(38|38)
0.004672897,1.0,(11|35)
0.004651163,1.0,(39|42)
0.004651163,1.0,(41|7)
0.004566210,1.0,(24|28)
0.004405286,1.0,(28|26)
0.004405286,1.0,(38|32)
0.004366812,2.0,(28|19)
0.004329004,1.0,(42|40)
0.004237288,1.0,(37|21)
0.004201681,1.0,(18|39)
0.004132231,1.0,(47|43)
0.004065040,2.0,(5|2)
0.004000000,1.0,(41|36)
0.003861004,1.0,(32|15)
0.003846154,1.0,(20|45)
0.003816794,1.0,(34|4)
0.003703704,1.0,(15|2)
0.003703704,1.0,(27|2)
0.003690037,1.0,(9|0)
0.003633061,4.0,(12|0)
0.003389830,1.0,(32|16)
0.003322259,1.0,(6|13)
0.003194888,1.0,(22|15)
0.003194888,1.0,(26|1)
0.003076923,1.0,(30|14)
0.002976191,1.0,(5|15)
0.002898551,2.0,(21|44)
0.002840909,1.0,(32|5)
0.002808989,1.0,(44|45)
0.002739726,1.0,(9|4)
0.002652520,1.0,(49|44)
0.002590674,1.0,(25|26)
0.002590674,1.0,(38|37)
0.002583979,1.0,(31|14)
0.002444988,1.0,(34|28)
0.002352941,1.0,(35|9)
0.002247191,1.0,(47|49)
0.002020202,1.0,(38|35)
0.002000000,1.0,(4|32)
0.001949318,1.0,(29|23)
0.001876173,1.0,(6|36)
0.001814882,1.0,(8|1)
0.001788909,1.0,(29|20)
0.001788909,1.0,(36|3)
0.001766784,1.0,(32|46)
0.001610306,1.0,(30|1)
0.001254705,1.0,(34|10)
0.001023541,1.0,(28|46)
