Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 294 | Insurance Associates (jp:294,idx:101)
Class Probability,Ex Count at BMU,BMU Map Loc
0.06666667,5.0,(0|45)
0.02661208,26.0,(28|46)
0.02597403,2.0,(0|46)
0.02419355,3.0,(1|47)
0.02272727,2.0,(2|1)
0.01923077,2.0,(0|7)
0.01626016,2.0,(44|48)
0.01428571,2.0,(49|0)
0.01379310,2.0,(44|6)
0.01290323,2.0,(49|1)
0.01162791,1.0,(46|47)
0.01149425,2.0,(1|46)
0.01111111,1.0,(47|46)
0.01063830,1.0,(47|4)
0.009803922,1.0,(48|1)
0.008547009,1.0,(2|49)
0.007299270,1.0,(48|45)
0.004587156,1.0,(44|2)
0.004016064,1.0,(1|7)
0.003703704,1.0,(27|2)
0.003472222,1.0,(47|1)
0.002915452,1.0,(32|21)
0.002398082,1.0,(44|43)
