Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 303 | Health Business M&A (jp:303,idx:106)
Class Probability,Ex Count at BMU,BMU Map Loc
0.2021277,76.0,(6|14)
0.2000000,7.0,(7|14)
0.1250000,1.0,(8|21)
0.06666667,1.0,(3|45)
0.06250000,2.0,(4|15)
0.06250000,2.0,(5|14)
0.04705882,4.0,(11|17)
0.04395605,8.0,(10|14)
0.03921569,4.0,(10|13)
0.03529412,3.0,(6|15)
0.03378378,5.0,(8|19)
0.03105590,5.0,(8|16)
0.02439024,5.0,(14|12)
0.02352941,2.0,(8|15)
0.02283105,5.0,(11|15)
0.02197802,2.0,(9|15)
0.02112676,3.0,(12|15)
0.02097902,3.0,(10|15)
0.01913876,4.0,(8|10)
0.01877934,4.0,(8|20)
0.01840491,3.0,(9|17)
0.01801802,2.0,(14|15)
0.01612903,1.0,(10|11)
0.01587302,1.0,(15|15)
0.01550388,2.0,(21|46)
0.01485149,3.0,(9|21)
0.01470588,7.0,(9|14)
0.01470588,1.0,(9|16)
0.01342282,2.0,(11|16)
0.01333333,2.0,(12|16)
0.01333333,1.0,(25|21)
0.01310044,3.0,(11|14)
0.01290323,2.0,(13|40)
0.01282051,2.0,(11|18)
0.01250000,3.0,(43|38)
0.01197605,2.0,(10|17)
0.01169591,2.0,(12|20)
0.01081081,2.0,(7|18)
0.01052632,1.0,(13|43)
0.01047120,2.0,(25|28)
0.01030928,2.0,(28|20)
0.01020408,1.0,(13|12)
0.01010101,1.0,(8|36)
0.01000000,2.0,(8|17)
0.009900990,1.0,(33|7)
0.009803922,1.0,(8|18)
0.009615385,1.0,(21|36)
0.009569378,2.0,(11|48)
0.009523810,1.0,(13|19)
0.009259259,1.0,(9|13)
0.009174312,1.0,(13|41)
0.009009009,1.0,(10|46)
0.008928572,1.0,(10|21)
0.007812500,1.0,(12|49)
0.007575758,2.0,(11|11)
0.007352941,1.0,(39|36)
0.007272727,2.0,(15|12)
0.007142857,1.0,(8|38)
0.007092198,2.0,(35|8)
0.006896552,1.0,(10|48)
0.006578947,1.0,(12|12)
0.006451613,1.0,(13|16)
0.006410256,1.0,(24|21)
0.006329114,1.0,(8|14)
0.006211180,1.0,(13|44)
0.006134969,1.0,(48|38)
0.005988024,1.0,(11|13)
0.005847953,1.0,(9|46)
0.005780347,1.0,(27|19)
0.005649718,1.0,(22|43)
0.005263158,1.0,(22|8)
0.005128205,1.0,(10|41)
0.004854369,1.0,(12|19)
0.004444445,1.0,(14|14)
0.004347826,1.0,(7|47)
0.004016064,1.0,(7|45)
0.003952569,1.0,(33|49)
0.003913894,2.0,(8|48)
0.003898636,2.0,(29|23)
0.003846154,1.0,(10|20)
0.003649635,1.0,(7|15)
0.003424658,1.0,(10|16)
0.003300330,1.0,(7|4)
0.003267974,1.0,(7|35)
0.003154574,1.0,(21|28)
0.002832861,1.0,(21|3)
0.002762431,1.0,(9|37)
0.002439024,1.0,(4|31)
0.002083333,1.0,(14|2)
0.002004008,1.0,(5|1)
0.001956947,1.0,(20|26)
0.001675042,1.0,(26|27)
0.001579779,1.0,(5|35)
0.001474926,1.0,(8|0)
