Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 327 | Banking Lit-Regulatory (jp:327,idx:111)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8439307,146.0,(30|48)
0.2857143,2.0,(13|11)
0.1186441,7.0,(33|0)
0.1098901,10.0,(34|0)
0.08333334,2.0,(16|11)
0.05454545,3.0,(42|37)
0.04950495,5.0,(31|0)
0.04477612,3.0,(31|2)
0.04324324,8.0,(31|1)
0.03296703,3.0,(40|49)
0.03030303,2.0,(46|1)
0.02884615,3.0,(44|37)
0.02469136,2.0,(43|7)
0.02459016,3.0,(49|48)
0.02325581,2.0,(26|2)
0.02298851,2.0,(21|45)
0.02298851,2.0,(34|1)
0.01941748,2.0,(32|1)
0.01923077,2.0,(0|37)
0.01869159,2.0,(37|36)
0.01834862,4.0,(44|2)
0.01801802,2.0,(31|37)
0.01785714,2.0,(45|47)
0.01388889,4.0,(47|1)
0.01379310,2.0,(0|38)
0.01234568,1.0,(39|1)
0.01226994,2.0,(42|36)
0.01226994,2.0,(43|35)
0.01190476,1.0,(48|3)
0.01169591,2.0,(7|32)
0.01136364,1.0,(15|21)
0.01129944,2.0,(44|41)
0.01123596,2.0,(32|0)
0.01111111,1.0,(10|49)
0.01098901,1.0,(29|1)
0.01092896,2.0,(47|45)
0.01030928,2.0,(1|44)
0.01030928,1.0,(6|5)
0.009661836,2.0,(14|45)
0.009615385,1.0,(3|43)
0.009259259,1.0,(30|49)
0.009090909,1.0,(15|13)
0.009009009,1.0,(43|47)
0.008403362,1.0,(21|9)
0.008264462,2.0,(47|43)
0.008196721,1.0,(38|46)
0.008032128,2.0,(1|7)
0.007936508,1.0,(12|39)
0.007812500,1.0,(12|42)
0.007117438,2.0,(23|8)
0.006779661,2.0,(33|2)
0.006622517,1.0,(48|46)
0.006535948,1.0,(18|0)
0.006451613,1.0,(49|1)
0.005698006,2.0,(35|1)
0.005405406,1.0,(37|1)
0.005319149,1.0,(45|48)
0.005291005,1.0,(46|4)
0.005263158,1.0,(5|45)
0.005076142,2.0,(30|2)
0.004950495,1.0,(26|20)
0.004854369,1.0,(8|35)
0.004807692,1.0,(31|21)
0.004474273,2.0,(30|5)
0.004366812,1.0,(40|1)
0.004329004,1.0,(42|40)
0.003921569,1.0,(30|0)
0.003906250,1.0,(47|40)
0.003802281,1.0,(42|38)
0.003448276,1.0,(12|4)
0.002427184,1.0,(39|45)
0.001683502,1.0,(33|1)
0.001194743,1.0,(45|3)
