Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 328 | Banking Lit-Instruments (jp:328,idx:112)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3170255,162.0,(29|47)
0.3170255,162.0,(29|48)
0.03448276,3.0,(34|1)
0.03389831,2.0,(33|0)
0.03174603,2.0,(48|6)
0.03076923,2.0,(31|47)
0.02884615,3.0,(44|37)
0.02631579,1.0,(22|9)
0.02173913,1.0,(34|2)
0.02150538,2.0,(14|37)
0.02054795,3.0,(10|47)
0.02000000,1.0,(20|48)
0.01785714,2.0,(38|44)
0.01766784,5.0,(38|1)
0.01754386,3.0,(7|32)
0.01724138,1.0,(37|49)
0.01694915,2.0,(42|5)
0.01680672,2.0,(21|9)
0.01612903,1.0,(19|12)
0.01515152,2.0,(49|43)
0.01492537,1.0,(11|38)
0.01492537,1.0,(31|2)
0.01470588,1.0,(48|41)
0.01418440,2.0,(37|44)
0.01298701,1.0,(47|42)
0.01265823,1.0,(37|2)
0.01234568,1.0,(39|1)
0.01197605,2.0,(40|47)
0.01153846,3.0,(20|45)
0.01016949,3.0,(33|2)
0.009569378,2.0,(11|48)
0.009433962,3.0,(18|1)
0.008695652,1.0,(48|36)
0.008620690,1.0,(38|0)
0.008196721,1.0,(42|44)
0.007843138,2.0,(7|13)
0.007751938,1.0,(45|2)
0.007299270,1.0,(48|45)
0.007194245,1.0,(49|46)
0.007042253,1.0,(24|6)
0.006993007,1.0,(10|10)
0.006928407,3.0,(40|45)
0.006134969,1.0,(19|2)
0.005813953,1.0,(1|41)
0.005405406,1.0,(31|1)
0.005405406,1.0,(37|1)
0.004807692,1.0,(31|22)
0.004608295,1.0,(2|39)
0.004524887,1.0,(34|49)
0.004347826,1.0,(11|25)
0.004237288,1.0,(0|33)
0.004000000,1.0,(2|6)
0.002538071,1.0,(30|2)
0.002433090,1.0,(29|44)
0.002083333,1.0,(25|3)
0.0009082652,1.0,(12|0)
