Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 332 | Bankruptcy-Reorganization (jp:332,idx:116)
Class Probability,Ex Count at BMU,BMU Map Loc
0.9579832,456.0,(44|40)
0.8750000,112.0,(45|40)
0.5614458,233.0,(46|40)
0.5454546,78.0,(43|40)
0.4689265,83.0,(44|41)
0.4206349,53.0,(45|39)
0.4141414,41.0,(46|39)
0.3795181,63.0,(44|39)
0.3636364,20.0,(45|41)
0.3515625,45.0,(43|39)
0.3069307,31.0,(46|41)
0.2436975,29.0,(45|38)
0.2031250,52.0,(47|40)
0.2010582,38.0,(44|38)
0.2000000,1.0,(12|38)
0.1959459,29.0,(46|38)
0.1477273,13.0,(47|41)
0.1428571,2.0,(41|44)
0.1250000,2.0,(48|44)
0.1168831,9.0,(1|42)
0.08943089,11.0,(20|11)
0.08771930,10.0,(1|40)
0.08000000,4.0,(45|42)
0.07526882,7.0,(1|39)
0.06060606,4.0,(47|39)
0.05681818,5.0,(31|45)
0.05309734,6.0,(45|37)
0.05172414,3.0,(36|44)
0.05084746,3.0,(5|39)
0.04347826,2.0,(34|2)
0.04347826,5.0,(48|36)
0.04285714,3.0,(47|34)
0.04166667,10.0,(43|38)
0.04123711,4.0,(2|40)
0.03968254,5.0,(12|39)
0.03862661,9.0,(2|33)
0.03846154,4.0,(44|37)
0.03809524,4.0,(49|32)
0.03658536,3.0,(10|40)
0.03645833,14.0,(49|39)
0.03614458,3.0,(49|38)
0.03529412,3.0,(1|43)
0.03389831,4.0,(9|41)
0.03246753,5.0,(11|39)
0.03030303,1.0,(33|3)
0.03030303,3.0,(42|49)
0.03015075,6.0,(16|42)
0.02985075,4.0,(7|44)
0.02941176,2.0,(13|26)
0.02884615,3.0,(0|40)
0.02857143,1.0,(30|36)
0.02793296,5.0,(48|35)
0.02777778,1.0,(41|38)
0.02777778,2.0,(46|34)
0.02721088,4.0,(49|40)
0.02666667,2.0,(0|45)
0.02666667,2.0,(47|3)
0.02639296,9.0,(48|40)
0.02631579,2.0,(29|2)
0.02608696,3.0,(31|24)
0.02597403,4.0,(11|40)
0.02542373,3.0,(49|36)
0.02484472,4.0,(48|30)
0.02484472,4.0,(49|30)
0.02409638,4.0,(1|32)
0.02312139,4.0,(0|41)
0.02293578,5.0,(44|2)
0.02272727,6.0,(30|24)
0.02272727,1.0,(32|20)
0.02222222,2.0,(24|20)
0.02097902,3.0,(48|32)
0.02083333,3.0,(0|42)
0.02054795,3.0,(46|37)
0.01980198,2.0,(31|0)
0.01960784,1.0,(30|44)
0.01923077,3.0,(49|33)
0.01801802,2.0,(6|44)
0.01709402,2.0,(2|45)
0.01680672,2.0,(34|20)
0.01639344,1.0,(33|35)
0.01633987,5.0,(7|35)
0.01626016,2.0,(44|48)
0.01526718,2.0,(10|39)
0.01492537,1.0,(2|44)
0.01492537,2.0,(24|8)
0.01492537,2.0,(43|2)
0.01485149,3.0,(26|20)
0.01481481,2.0,(32|31)
0.01470588,1.0,(48|41)
0.01456311,3.0,(23|26)
0.01449275,2.0,(44|33)
0.01428571,2.0,(0|29)
0.01428571,2.0,(49|29)
0.01408451,2.0,(3|36)
0.01388889,3.0,(17|2)
0.01388889,1.0,(42|46)
0.01369863,2.0,(1|37)
0.01369863,2.0,(20|10)
0.01369863,2.0,(32|32)
