Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 336 | Tax Prep-Indiv-Tax (jp:336,idx:119)
Class Probability,Ex Count at BMU,BMU Map Loc
1.000000,2850.0,(5|19)
0.9724138,141.0,(6|19)
0.9473684,162.0,(5|20)
0.9310345,27.0,(5|18)
0.8971193,218.0,(6|20)
0.8636364,57.0,(4|19)
0.8382353,57.0,(4|20)
0.8032787,147.0,(6|21)
0.8014184,113.0,(4|18)
0.7848837,135.0,(4|21)
0.7714286,54.0,(3|17)
0.7697368,117.0,(7|21)
0.7500000,147.0,(4|17)
0.7303371,130.0,(3|19)
0.7272727,8.0,(5|23)
0.7230216,201.0,(3|16)
0.7080000,177.0,(3|18)
0.6521739,90.0,(3|20)
0.6315789,120.0,(5|21)
0.6145833,118.0,(4|22)
0.6136364,81.0,(4|16)
0.5639098,75.0,(3|22)
0.5637584,84.0,(2|16)
0.5178571,58.0,(3|21)
0.5064935,78.0,(2|18)
0.5000000,6.0,(7|20)
0.4806451,149.0,(2|15)
0.4797297,71.0,(3|15)
0.4683544,111.0,(3|23)
0.4534884,78.0,(1|19)
0.4348786,197.0,(40|16)
0.4333333,52.0,(2|21)
0.4313726,110.0,(4|13)
0.4274809,112.0,(2|19)
0.4218289,143.0,(44|30)
0.4065041,50.0,(2|20)
0.4029851,81.0,(2|17)
0.3986486,59.0,(1|14)
0.3830846,77.0,(6|22)
0.3622642,96.0,(1|15)
0.3621622,67.0,(2|22)
0.3536585,58.0,(4|14)
0.3405405,63.0,(3|14)
0.3390411,99.0,(42|23)
0.3368984,63.0,(40|17)
0.3312883,54.0,(1|18)
0.3306452,41.0,(1|22)
0.3244681,61.0,(2|14)
0.3231707,53.0,(41|16)
0.3179916,76.0,(1|16)
0.3103448,45.0,(3|24)
0.3081081,57.0,(1|17)
0.3063063,68.0,(0|16)
0.3046875,39.0,(40|15)
0.3043478,49.0,(1|20)
0.3024691,49.0,(3|13)
0.3000000,54.0,(43|30)
0.2988506,26.0,(42|22)
0.2954545,65.0,(5|22)
0.2894737,33.0,(4|23)
0.2857143,4.0,(6|23)
0.2834646,36.0,(2|24)
0.2831325,47.0,(41|17)
0.2741936,68.0,(0|17)
0.2720588,74.0,(1|21)
0.2675159,84.0,(39|16)
0.2619048,22.0,(2|23)
0.2572115,107.0,(0|14)
0.2384106,72.0,(49|14)
0.2371134,23.0,(4|24)
0.2307692,72.0,(0|18)
0.2307692,39.0,(43|29)
0.2275862,66.0,(0|20)
0.2225352,79.0,(42|31)
0.2206897,32.0,(43|23)
0.2197309,49.0,(41|15)
0.2159091,57.0,(49|20)
0.2093023,27.0,(0|21)
0.2000000,11.0,(7|22)
0.2000000,40.0,(39|17)
0.2000000,47.0,(49|19)
0.1978417,55.0,(42|30)
0.1973094,44.0,(49|21)
0.1954546,43.0,(4|12)
0.1952191,49.0,(2|13)
0.1947368,37.0,(0|15)
0.1896552,55.0,(0|13)
0.1787072,47.0,(42|21)
0.1761006,28.0,(0|22)
0.1758242,64.0,(44|10)
0.1733333,13.0,(42|24)
0.1714286,12.0,(41|23)
0.1619718,23.0,(43|31)
0.1600000,28.0,(41|22)
0.1574074,17.0,(25|39)
0.1568628,8.0,(25|45)
0.1568628,8.0,(25|47)
0.1514286,53.0,(42|14)
0.1504854,31.0,(49|12)
0.1501340,56.0,(49|16)
0.1481481,24.0,(41|14)
0.1479290,25.0,(1|23)
0.1467890,16.0,(22|31)
0.1411043,23.0,(41|24)
0.1401274,22.0,(3|12)
0.1392405,22.0,(49|17)
0.1387755,34.0,(1|13)
0.1379310,20.0,(45|30)
0.1370370,37.0,(41|18)
0.1367521,16.0,(41|31)
0.1348837,29.0,(49|13)
0.1342593,29.0,(43|20)
0.1339713,56.0,(18|24)
0.1296296,7.0,(39|15)
0.1273885,20.0,(49|22)
0.1260504,15.0,(43|21)
0.1250000,3.0,(4|25)
0.1216216,27.0,(42|15)
0.1190476,25.0,(49|15)
0.1178571,33.0,(43|14)
0.1172839,19.0,(44|11)
0.1169916,42.0,(48|14)
0.1157895,33.0,(44|16)
0.1139896,22.0,(25|44)
0.1132898,52.0,(45|17)
0.1132075,12.0,(44|28)
0.1118644,33.0,(42|20)
0.1117647,19.0,(44|29)
0.1090909,6.0,(45|31)
0.1086142,29.0,(38|16)
0.1059908,23.0,(44|9)
0.1056911,13.0,(43|22)
0.1046025,25.0,(45|10)
0.1034483,9.0,(22|28)
0.1000000,1.0,(24|42)
0.1000000,17.0,(47|27)
0.09821428,11.0,(23|31)
0.09574468,18.0,(22|32)
