Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 361 | LoanDoc-Syndicated Loans (jp:361,idx:126)
Class Probability,Ex Count at BMU,BMU Map Loc
0.5036497,207.0,(29|44)
0.4295302,64.0,(6|31)
0.3789474,36.0,(2|38)
0.1552795,25.0,(48|30)
0.1552795,25.0,(49|30)
0.1428571,2.0,(41|39)
0.1052632,18.0,(7|32)
0.1000000,5.0,(1|38)
0.09868421,15.0,(2|37)
0.09554140,15.0,(3|37)
0.09137056,18.0,(47|35)
0.08280255,13.0,(3|38)
0.08125000,13.0,(0|32)
0.08000000,2.0,(47|44)
0.07865169,7.0,(48|31)
0.07851240,19.0,(5|31)
0.07843138,4.0,(30|44)
0.07692308,11.0,(48|32)
0.06410257,10.0,(49|33)
0.06250000,13.0,(49|31)
0.06024097,5.0,(49|38)
0.06000000,3.0,(6|33)
0.05714286,6.0,(49|32)
0.05586592,10.0,(48|35)
0.05555556,7.0,(12|39)
0.05217391,6.0,(48|36)
0.05172414,6.0,(38|34)
0.04477612,3.0,(11|38)
0.04347826,1.0,(8|33)
0.04291845,10.0,(2|33)
0.04054054,3.0,(1|36)
0.04000000,6.0,(7|34)
0.03896104,6.0,(11|39)
0.03813559,9.0,(0|33)
0.03738318,4.0,(37|36)
0.03614458,6.0,(44|39)
0.03529412,3.0,(47|36)
0.03525641,11.0,(5|32)
0.03508772,4.0,(49|35)
0.03496503,10.0,(4|33)
0.03424658,10.0,(6|34)
0.03389831,2.0,(33|19)
0.03174603,2.0,(23|9)
0.02884615,3.0,(0|40)
0.02800000,14.0,(4|32)
0.02608696,3.0,(21|12)
0.02608696,3.0,(31|24)
0.02597403,2.0,(27|23)
0.02564103,2.0,(49|37)
0.02512563,5.0,(16|42)
0.02479339,3.0,(6|12)
0.02479339,3.0,(31|23)
0.02453988,4.0,(42|36)
0.02453988,4.0,(43|35)
0.02409638,4.0,(1|32)
0.02307692,3.0,(30|23)
0.02304148,5.0,(2|39)
0.02272727,2.0,(5|30)
0.02222222,2.0,(24|20)
0.02201258,7.0,(18|1)
0.02173913,3.0,(10|38)
0.02173913,1.0,(34|37)
0.02054795,3.0,(46|37)
0.02040816,2.0,(39|32)
0.02020202,2.0,(38|33)
0.02000000,2.0,(19|18)
0.01986755,6.0,(33|27)
0.01960784,2.0,(1|34)
0.01948052,6.0,(4|37)
0.01941748,4.0,(23|26)
0.01886792,3.0,(5|33)
0.01851852,2.0,(49|34)
0.01840491,3.0,(48|38)
0.01818182,2.0,(1|33)
0.01716738,4.0,(2|32)
0.01639344,2.0,(11|3)
0.01612903,1.0,(8|43)
0.01612903,1.0,(24|38)
0.01579779,10.0,(5|35)
0.01538462,1.0,(31|47)
0.01501502,5.0,(29|24)
0.01492537,1.0,(6|46)
0.01481481,2.0,(47|32)
0.01470588,1.0,(48|41)
0.01466276,5.0,(48|40)
0.01465201,4.0,(5|11)
0.01428571,1.0,(47|34)
0.01418440,2.0,(48|34)
0.01408451,1.0,(34|30)
0.01388889,2.0,(1|31)
0.01388889,3.0,(4|36)
0.01388889,1.0,(46|34)
0.01381215,5.0,(4|34)
