Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 367 | Class Action-Substantive-Finance (jp:367,idx:132)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1833333,44.0,(29|46)
0.1421801,60.0,(36|1)
0.04761905,1.0,(36|0)
0.03870968,6.0,(38|48)
0.03389831,2.0,(33|0)
0.03030303,1.0,(35|46)
0.02597403,2.0,(37|47)
0.02262443,5.0,(34|49)
0.02238806,3.0,(39|49)
0.02197802,2.0,(34|0)
0.02097902,3.0,(34|48)
0.01633987,5.0,(7|35)
0.01587302,2.0,(9|24)
0.01578947,3.0,(22|8)
0.01310044,3.0,(40|1)
0.01265823,1.0,(40|0)
0.01226994,2.0,(42|1)
0.01204819,1.0,(44|42)
0.01149425,1.0,(34|1)
0.01041667,1.0,(39|0)
0.01030928,2.0,(39|48)
0.01020408,1.0,(4|45)
0.009615385,1.0,(3|43)
0.009615385,1.0,(45|5)
0.007905139,2.0,(33|49)
0.006849315,1.0,(10|47)
0.006250000,1.0,(48|47)
0.005952381,1.0,(9|2)
0.005847953,1.0,(9|46)
0.005464481,1.0,(47|45)
0.005263158,1.0,(36|47)
0.004950495,1.0,(43|6)
0.004854369,2.0,(39|45)
0.004608295,1.0,(10|1)
0.004405286,2.0,(32|48)
0.004166667,1.0,(26|3)
0.003676471,1.0,(36|49)
0.002849003,1.0,(35|1)
0.002309469,1.0,(40|45)
0.002237136,1.0,(30|5)
0.001023541,1.0,(28|46)
