Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 373 | Energy-Fracking (jp:373,idx:137)
Class Probability,Ex Count at BMU,BMU Map Loc
0.3333333,2.0,(28|44)
0.3333333,2.0,(29|43)
0.3333333,2.0,(29|45)
0.2439024,10.0,(35|42)
0.2222222,8.0,(41|38)
0.1250000,30.0,(29|46)
0.08064516,5.0,(32|43)
0.06086956,7.0,(35|41)
0.03125000,3.0,(39|0)
0.02857143,2.0,(34|43)
0.02666667,2.0,(0|45)
0.02127660,2.0,(9|25)
0.01960784,1.0,(30|44)
0.01886792,2.0,(35|38)
0.01851852,1.0,(12|24)
0.01694915,2.0,(41|1)
0.01526718,2.0,(36|42)
0.01470588,1.0,(14|21)
0.01176471,2.0,(40|42)
0.01142857,2.0,(41|43)
0.01136364,1.0,(31|40)
0.01136364,1.0,(31|45)
0.01086957,2.0,(36|40)
0.009584664,3.0,(34|38)
0.009345794,1.0,(37|36)
0.007692308,1.0,(36|31)
0.007490637,2.0,(35|4)
0.007272727,2.0,(32|45)
0.006535948,1.0,(11|41)
0.006134969,1.0,(41|37)
0.005434783,1.0,(39|40)
0.005405406,1.0,(37|1)
0.004587156,1.0,(43|49)
0.004566210,1.0,(24|28)
0.004484305,2.0,(41|48)
0.004474273,2.0,(30|5)
0.003787879,1.0,(30|24)
0.002053388,1.0,(35|44)
0.001788909,1.0,(37|41)
