Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 380 | M&A-Structuring Deals (jp:380,idx:144)
Class Probability,Ex Count at BMU,BMU Map Loc
0.8609756,353.0,(12|46)
0.6962025,55.0,(12|45)
0.5952381,50.0,(11|46)
0.5813953,50.0,(13|46)
0.4818182,53.0,(11|47)
0.4704684,231.0,(11|45)
0.3913043,63.0,(13|44)
0.3896104,30.0,(12|47)
0.3214286,72.0,(10|45)
0.2432432,27.0,(10|46)
0.2272727,5.0,(17|18)
0.2027027,30.0,(14|43)
0.1945946,36.0,(12|44)
0.1495727,35.0,(11|44)
0.1473684,14.0,(13|43)
0.1296296,7.0,(5|41)
0.1190476,5.0,(13|45)
0.1155116,35.0,(10|44)
0.1000000,2.0,(13|47)
0.1000000,1.0,(15|40)
0.08724833,13.0,(6|43)
0.08015267,21.0,(9|43)
0.07547170,8.0,(24|26)
0.07228915,12.0,(7|42)
0.07142857,15.0,(8|41)
0.07142857,5.0,(26|22)
0.06923077,9.0,(30|23)
0.06896552,4.0,(8|22)
0.06737588,19.0,(8|40)
0.06722689,8.0,(12|43)
0.06629834,12.0,(9|40)
0.06250000,11.0,(8|42)
0.06250000,34.0,(25|22)
0.06129032,19.0,(24|22)
0.06000000,9.0,(7|34)
0.05932203,7.0,(9|41)
0.05882353,1.0,(36|9)
0.05769231,6.0,(6|45)
0.05529954,12.0,(4|40)
0.05263158,6.0,(9|45)
0.05172414,6.0,(9|39)
0.04958678,6.0,(1|45)
0.04878049,4.0,(10|40)
0.04854369,5.0,(15|43)
0.04602510,11.0,(28|21)
0.04516129,7.0,(49|41)
0.04450262,17.0,(7|41)
0.04347826,6.0,(10|38)
0.04123711,8.0,(28|20)
0.04065040,5.0,(15|42)
0.04000000,1.0,(6|30)
0.04000000,1.0,(31|49)
0.03939394,13.0,(8|47)
0.03921569,12.0,(7|35)
0.03921569,2.0,(28|32)
0.03835616,14.0,(9|42)
0.03809524,4.0,(6|35)
0.03809524,4.0,(49|32)
0.03608247,7.0,(8|39)
0.03597122,5.0,(17|26)
0.03508772,2.0,(29|4)
0.03472222,5.0,(1|31)
0.03465347,7.0,(26|20)
0.03463203,8.0,(25|24)
0.03389831,4.0,(48|43)
0.03326810,17.0,(8|48)
0.03311258,5.0,(26|23)
0.03305785,4.0,(9|47)
0.03246753,5.0,(11|39)
0.03225806,2.0,(8|43)
0.03205128,5.0,(49|33)
0.03191489,3.0,(22|18)
0.03125000,4.0,(12|49)
0.03061225,3.0,(39|32)
0.03012048,5.0,(1|32)
0.02985075,2.0,(2|44)
0.02985075,2.0,(6|46)
0.02985075,2.0,(11|38)
0.02985075,2.0,(31|2)
0.02958580,5.0,(6|41)
0.02941176,2.0,(24|3)
0.02898551,2.0,(28|30)
0.02884615,3.0,(31|43)
0.02884615,6.0,(49|31)
0.02857143,1.0,(26|37)
0.02797203,4.0,(10|15)
0.02702703,3.0,(6|44)
0.02654867,3.0,(13|42)
0.02608696,6.0,(7|47)
0.02608696,3.0,(9|48)
0.02580645,4.0,(18|18)
0.02564103,1.0,(2|30)
0.02564103,5.0,(10|41)
0.02500000,1.0,(17|42)
0.02453988,4.0,(5|37)
0.02448980,6.0,(27|22)
0.02427184,5.0,(8|35)
0.02380952,2.0,(23|42)
0.02341137,7.0,(10|43)
0.02290076,3.0,(10|39)
0.02259887,4.0,(28|24)
0.02222222,2.0,(17|17)
0.02173913,2.0,(15|23)
0.02173913,1.0,(34|37)
0.02155172,5.0,(28|22)
0.02150538,2.0,(28|41)
0.02127660,3.0,(23|28)
